Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Aftermath.java",5,5,5,1,20,0,17,2,,,,,1,3,7,3,,3,0,0,3,,0,1,0,2,,83,9,66,23,43,8,,,,35,50,23,27,,,,,,10,10,11,3,,,2,,,,0,12,16,16,17,5
File,"AftermathProcessor.java",2,2,2,1,9,0,8,0,,,,,1,1,0,8,,8,7,3,8,,0,4,0,4,,115,17,98,49,42,0,,,,55,75,45,30,,,,,,8,8,8,6,,,5,,,,0,00,16,16,16,13
File,"AftermathProcessorTest.java",1,1,1,1,50,2,48,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,70,10,60,16,46,0,,,,11,13,12,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BindingClass.java",2,2,2,1,15,1,14,0,,,,,2,1,2,7,,7,6,7,7,,2,2,0,3,,153,22,131,53,81,0,,,,70,90,51,39,,,,,,4,4,5,1,,,3,,,,0,00,16,16,18,7
File,"IAftermathDelegate.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,14,3,8,7,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,38,0,0,0,0
File,"MainActivity.java",1,1,1,1,6,0,5,0,,,,,2,0,3,13,,13,13,4,13,,0,1,3,9,,140,25,113,52,44,4,,,,54,76,43,33,,,,,,3,3,3,1,,,2,,,,0,04,20,20,21,13
File,"MainActivityTest.java",1,1,1,1,7,1,6,0,,,,,1,0,1,5,,5,5,2,5,,0,0,0,5,,82,19,63,36,24,0,,,,40,46,29,17,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"OnActivityResult.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,2,7,6,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"OnRequestPermissionResult.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,12,2,10,9,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"org.michaelevans",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"org.michaelevans.aftermath",2,2,2,1,13,0,12,0,,,,,9,5,10,,8,,23,12,28,,6,7,0,15,,538,84,443,199,236,11,,,,225,291,177,114,,,,,,10,10,11,6,,,5,,,,0,02,54,54,57,31
Public Class,"org.michaelevans.aftermath.Aftermath",5,5,5,1,20,0,17,2,1,1,1,0,,3,7,,,,0,0,3,3,0,1,0,2,,75,6,61,18,43,8,,,,30,45,18,27,,,,,,10,10,11,3,,1,2,,0,0,0,13,16,16,17,5
Private Static Method,"org.michaelevans.aftermath.Aftermath.findActivityForResultForClass",,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,0,32,4,24,8,11,10,1,15,23,4,19,10,10,11,3,8,,,,,2,,2,2,,,0,25,10,10,11,3
Public Static Method,"org.michaelevans.aftermath.Aftermath.onActivityResult",,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,0,10,3,6,0,5,4,1,4,7,3,4,3,3,3,1,0,,,,,0,,1,0,,,0,00,3,3,3,1
Public Static Method,"org.michaelevans.aftermath.Aftermath.onRequestPermissionResult",,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,0,10,3,6,0,5,4,1,4,7,3,4,3,3,3,1,0,,,,,0,,1,0,,,0,00,3,3,3,1
