Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CommonAdapter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,7,7,3,7,,0,0,0,7,,53,13,40,23,12,0,,,,21,28,18,10,,,,,,2,2,2,1,,,0,,,,0,00,7,7,7,6
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"FileUtils.java",4,4,4,1,20,4,16,0,,,,,1,2,1,2,,2,0,0,2,,0,0,0,2,,63,20,43,20,23,0,,,,23,32,20,12,,,,,,5,5,5,1,,,3,,,,0,00,8,8,8,2
File,"Folder.java",2,2,2,1,9,0,9,0,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,23,5,18,10,6,0,,,,10,13,9,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"FolderAdapter.java",2,2,2,1,8,0,7,0,,,,,2,0,1,10,,10,10,9,10,,1,1,0,8,,136,29,107,40,53,0,,,,57,80,37,43,,,,,,6,6,6,1,,,3,,,,0,00,20,20,22,10
File,"GlideLoader.java",1,1,1,1,7,0,7,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,22,6,16,9,6,0,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"GridViewForScrollView.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,27,6,21,12,5,0,,,,9,14,10,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"Image.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,25,4,21,9,9,0,,,,11,15,8,7,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"ImageAdapter.java",2,2,2,1,9,0,8,0,,,,,2,0,3,14,,14,14,12,14,,1,1,0,12,,197,40,157,50,82,0,,,,77,115,47,68,,,,,,9,9,9,4,,,3,,,,0,00,35,35,37,19
