Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CachePostReceiver.java",9,9,11,1,61,14,47,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,83,19,64,33,39,0,,,,36,46,28,18,,,,,,9,9,11,1,,,5,,,,0,00,9,9,11,1
File,"CachedRecord.java",1,1,1,1,6,0,5,0,,,,,1,0,3,27,,27,27,8,27,,0,1,0,26,,224,47,177,58,105,0,,,,88,133,60,73,,,,,,4,4,4,1,,,3,,,,0,00,42,42,42,27
File,"ChromeHelpPopup.java",1,1,1,1,13,3,9,0,,,,,2,0,0,12,,15,15,9,15,,3,0,1,11,,210,59,148,65,84,3,,,,94,116,59,57,,,,,,8,8,8,1,,,1,,,,0,02,23,23,23,12
File,"DatabaseOpenHelper.java",3,3,3,2,28,7,21,0,,,,,1,0,6,7,,7,7,2,7,,0,4,0,3,,244,62,181,67,124,1,,,,101,131,60,71,,,,,,14,14,14,10,,,9,,,,0,01,27,27,27,16
File,"DatabaseOpenHelper.java",1,1,1,1,6,0,6,0,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,35,7,28,11,14,0,,,,9,13,9,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DatabaseTableHelper.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,8,0,,0,0,0,0,,18,4,14,12,8,0,,,,10,12,12,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"MainActivity.java",3,3,3,1,28,6,22,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,45,11,34,17,17,0,,,,20,24,15,9,,,,,,3,3,3,1,,,2,,,,0,00,3,3,3,1
File,"MainActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,4,10,6,2,0,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"MainActivity.java",1,1,1,1,10,1,8,0,,,,,2,0,0,4,,4,4,1,4,,0,0,2,2,,56,14,42,17,21,0,,,,24,30,17,13,,,,,,2,2,2,1,,,0,,,,0,00,5,5,5,4
File,"MainActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,27,7,20,12,5,0,,,,10,14,10,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
