Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,1,,0,0,0,,0,0,0,0,,22,5,17,17,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"Button.java",2,2,2,1,8,0,8,0,,,,,1,0,2,11,,12,12,11,12,,0,0,3,9,,154,19,127,55,73,10,,,,81,102,50,52,,,,,,6,6,12,1,,,2,,,,0,08,23,23,29,11
File,"FloatingActionButton.java",1,1,1,1,7,0,7,0,,,,,1,0,0,10,,10,10,4,10,,0,0,2,8,,115,16,99,43,53,1,,,,63,78,40,38,,,,,,3,3,3,1,,,2,,,,0,01,14,14,14,10
File,"ProgressBarCircular.java",2,2,2,1,16,1,12,2,,,,,1,0,1,8,,8,8,9,8,,0,2,3,3,,176,27,125,48,88,25,,,,86,106,47,59,,,,,,8,8,8,1,,,2,,,,0,20,22,22,23,8
File,"SampleActivity.java",2,1,2,1,20,2,18,0,,,,,3,0,0,6,,6,6,7,6,,0,0,2,4,,130,21,109,36,67,0,,,,69,80,31,49,,,,,,5,3,5,3,,,1,,,,0,00,13,10,13,8
File,"SampleFragment.java",3,1,3,1,19,2,16,0,,,,,1,1,1,2,,2,1,1,2,,0,0,0,2,,55,11,44,17,29,0,,,,31,35,16,19,,,,,,5,2,5,1,,,1,,,,0,00,6,3,6,2
File,"SlidingTabLayout.java",2,2,2,1,11,1,8,2,,,,,4,0,3,18,,19,19,9,19,,1,2,2,14,,323,53,196,72,102,74,,,,107,149,69,80,,,,,,8,8,9,3,,,2,,,,0,38,39,39,45,20
File,"SlidingTabStrip.java",1,1,1,1,10,1,7,1,,,,,2,2,4,10,,10,8,10,10,,6,2,1,1,,169,33,108,55,59,28,,,,70,85,52,33,,,,,,5,5,6,1,,,3,,,,0,26,14,14,15,10
File,"ToolBarMaterial.java",0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,22,5,17,17,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
