Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Album.java",1,1,1,1,5,0,4,0,,,,,2,1,6,14,,14,13,4,14,,1,0,0,13,,141,18,96,36,47,32,,,,47,66,35,31,,,,,,5,5,5,5,,,1,,,,0,33,18,18,18,18
File,"AlbumAdapter.java",1,1,1,1,6,0,6,0,,,,,2,0,0,3,,3,3,4,3,,0,0,0,3,,68,9,42,27,12,17,,,,30,35,25,10,,,,,,1,1,1,1,,,0,,,,0,40,3,3,3,3
File,"AlbumCollection.java",1,1,1,1,6,0,6,0,,,,,3,0,2,13,,15,15,6,15,,2,0,0,13,,152,22,111,53,44,19,,,,61,83,50,33,,,,,,3,3,3,1,,,2,,,,0,17,20,20,20,13
File,"AlbumLoader.java",1,1,1,1,6,0,6,0,,,,,1,1,5,3,,3,2,0,3,,0,1,0,2,,71,9,37,24,15,25,,,,24,30,23,7,,,,,,3,3,3,1,,,2,,,,0,68,5,5,5,3
File,"BundleUtils.java",1,1,1,1,2,0,2,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,13,2,8,4,1,3,,,,2,5,4,1,,,,,,1,1,1,1,,,0,,,,0,38,2,2,2,2
File,"CloseableUtils.java",2,2,2,1,6,0,5,0,,,,,1,1,1,2,,2,1,0,2,,0,1,0,1,,28,7,18,8,6,3,,,,7,12,8,4,,,,,,3,3,3,1,,,2,,,,0,17,4,4,4,2
File,"ExifInterfaceCompat.java",3,2,3,2,12,0,11,0,,,,,1,4,1,5,,5,1,0,5,,0,1,0,4,,87,12,71,22,42,4,,,,35,48,22,26,,,,,,6,4,6,6,,,2,,,,0,06,15,13,15,13
File,"GlideEngine.java",1,1,1,1,5,0,5,0,,,,,2,0,1,12,,12,12,2,12,,0,1,1,10,,107,18,78,27,38,11,,,,28,44,23,21,,,,,,3,3,3,1,,,1,,,,0,14,15,15,15,12
File,"GridViewItemRelativeLayout.java",1,1,2,1,12,0,10,1,,,,,2,0,0,8,,8,8,4,8,,0,1,1,6,,129,12,86,29,43,31,,,,51,66,29,37,,,,,,5,5,6,4,,,1,,,,0,36,15,15,17,11
File,"HandlerUtils.java",1,1,1,1,2,0,2,0,,,,,1,3,0,4,,4,1,0,4,,0,1,0,3,,23,5,16,8,3,2,,,,6,11,8,3,,,,,,1,1,1,1,,,0,,,,0,12,4,4,4,4
