Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConnectionLog.java",1,1,1,1,7,0,6,0,,,,,1,1,1,7,,7,6,2,7,,0,1,1,5,,80,14,62,30,20,4,,,,30,39,24,15,,,,,,2,2,2,1,,,1,,,,0,06,8,8,8,7
File,"PushActivity.java",1,1,1,1,13,1,11,0,,,,,3,0,0,4,,4,4,1,4,,0,0,1,3,,57,7,49,21,28,1,,,,33,38,21,17,,,,,,1,1,1,1,,,0,,,,0,02,4,4,4,4
File,"PushService.java",2,2,2,1,11,1,8,1,,,,,3,3,22,31,,31,28,9,31,,0,16,0,15,,530,82,340,119,216,109,,,,196,259,114,145,,,,,,6,6,6,1,,,3,,,,0,32,65,65,70,31
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.tokudu",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.tokudu.demo",1,1,1,1,10,1,8,1,,,,,7,4,23,,3,,38,12,42,,0,17,2,23,,667,103,451,170,264,114,,,,259,336,159,177,,,,,,6,6,6,1,,,3,,,,0,25,77,77,82,42
Public Class,"com.tokudu.demo.ConnectionLog",1,1,1,1,7,0,6,0,1,0,0,0,,1,1,,,,6,2,7,7,0,1,1,5,,64,10,53,21,20,1,,,,21,30,15,15,,,,,,2,2,2,1,,1,1,,64,35,0,02,8,8,8,7
Public Constructor,"com.tokudu.demo.ConnectionLog.ConnectionLog",,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,1,11,4,6,1,7,2,0,5,7,3,4,2,2,2,1,0,,,,,0,,1,0,,,0,09,2,2,2,1
Public Constructor,"com.tokudu.demo.ConnectionLog.ConnectionLog",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.tokudu.demo.ConnectionLog.close",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.tokudu.demo.ConnectionLog.getPath",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Static Method,"com.tokudu.demo.ConnectionLog.getTodayString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,2,2,0,2,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.tokudu.demo.ConnectionLog.open",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,1,8,3,4,0,5,1,0,4,5,2,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.tokudu.demo.ConnectionLog.println",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,4,0,3,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.tokudu.demo.PushActivity",1,1,1,1,19,2,17,0,1,1,1,0,,0,0,,,,2,1,2,2,0,0,1,1,,44,5,38,11,28,1,,,,23,28,11,17,,,,,,1,1,1,1,,2,0,,50,50,0,03,2,2,2,2
Public Method,"com.tokudu.demo.PushActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,3,30,2,27,4,23,1,8,1,0,17,20,6,14,1,1,1,1,0,,,,,0,,0,0,,,0,04,1,1,1,1
Anonymous Class,"com.tokudu.demo.PushActivity.onCreate.(Anon_1)",1,1,1,1,8,0,8,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,10,1,9,0,,,,6,7,2,5,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.tokudu.demo.PushActivity.onCreate.(Anon_1).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,7,0,7,1,0,6,7,2,5,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.tokudu.demo.PushActivity.onCreate.(Anon_2)",1,1,1,1,5,0,5,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,7,0,6,0,,,,3,4,1,3,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.tokudu.demo.PushActivity.onCreate.(Anon_2).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,4,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.tokudu.demo.PushActivity.onResume",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,2,7,3,5,0,5,1,0,5,6,3,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.tokudu.demo.PushService",2,2,2,1,11,1,9,1,1,3,3,0,,3,22,,,,20,8,23,23,0,14,0,9,,498,78,317,97,216,104,,,,174,237,92,145,,,,,,6,6,6,1,,2,3,,93,83,0,33,49,49,51,23
Anonymous Class,"com.tokudu.demo.PushService.(Anon_1)",4,4,5,1,18,3,12,3,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,20,3,14,3,12,3,,,,7,10,3,7,,,,,,4,4,5,1,,2,1,,0,0,0,21,4,4,5,1
Public Method,"com.tokudu.demo.PushService.(Anon_1).onReceive",,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,3,12,2,10,3,7,3,0,7,10,3,7,4,4,5,1,1,,,,,0,,1,0,,,0,25,4,4,5,1
Private Class,"com.tokudu.demo.PushService.MQTTConnection",1,1,2,1,10,0,7,2,2,1,1,0,,0,0,,,,7,1,7,7,0,2,0,5,,97,10,58,13,38,30,,,,28,40,13,27,,,,,,3,3,3,1,,1,1,,42,28,0,52,12,12,14,7
