Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,1,,0,0,0,,0,0,0,0,,95,0,0,0,0,95,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Algorithm.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,28,9,13,12,0,6,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,46,0,0,0,0
File,"AliPayModel.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,6,13,,0,0,0,13,,91,14,53,21,18,24,,,,25,39,21,18,,,,,,1,1,1,1,,,0,,,,0,45,13,13,13,13
File,"AliPayOrderInfoUtil.java",2,2,2,1,29,4,15,9,,,,,1,6,0,6,,6,0,0,6,,0,2,0,4,,202,37,106,40,75,59,,,,77,89,42,47,,,,,,3,3,3,1,,,2,,,,0,56,13,13,13,6
File,"AliPaySignUtils.java",2,2,2,1,11,2,9,0,,,,,1,2,4,2,,2,0,0,2,,0,1,0,1,,41,13,28,16,17,0,,,,19,23,16,7,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,2
File,"AliPayTools.java",1,1,1,1,19,2,13,4,,,,,2,2,3,5,,5,1,0,3,,0,0,0,3,,113,17,69,39,43,27,,,,46,52,35,17,,,,,,3,3,3,1,,,2,,,,0,39,7,7,7,5
File,"AmountView.java",2,2,2,1,10,1,9,0,,,,,2,0,0,8,,9,9,6,9,,1,0,0,8,,136,25,99,41,49,12,,,,56,76,37,39,,,,,,6,6,6,3,,,2,,,,0,12,18,18,18,10
File,"AppManager.java",2,2,2,1,8,0,5,3,,,,,1,10,1,10,,10,0,0,10,,0,0,0,10,,111,15,60,16,25,36,,,,18,42,19,23,,,,,,4,4,4,3,,,3,,,,0,60,20,20,20,12
File,"AutoLinesLayoutManager.java",2,2,2,1,19,3,15,2,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,59,11,39,15,24,11,,,,23,29,13,16,,,,,,4,4,4,1,,,3,,,,0,28,5,5,5,2
File,"AutoPollRecyclerAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,30,5,14,9,2,11,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,79,2,2,2,2
File,"AutoPollRecyclerView.java",2,1,2,1,7,0,6,1,,,,,2,0,0,8,,8,8,5,8,,0,0,0,8,,110,14,68,25,30,28,,,,31,46,23,23,,,,,,7,4,7,1,,,2,,,,0,41,16,13,18,8
File,"AutoPollRecyclerViewActivity.java",1,1,1,1,8,1,7,0,,,,,1,0,0,3,,3,2,2,2,,0,0,2,0,,61,11,39,23,16,11,,,,29,32,20,12,,,,,,2,2,2,1,,,1,,,,0,28,4,4,4,3
File,"Base64.java",5,5,7,3,35,5,26,4,,,,,1,6,10,6,,6,0,0,6,,0,4,0,2,,265,47,197,53,154,28,,,,136,168,54,114,,,,,,13,13,19,12,,,3,,,,0,14,32,32,43,19
File,"BaseActivity.java",1,1,1,1,9,0,7,2,,,,,2,0,0,27,,31,28,5,28,,2,2,11,13,,343,46,211,78,94,86,,,,91,134,63,71,,,,,,5,5,5,1,,,2,,,,0,41,44,44,44,27
File,"BaseAutoPollAdapter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,6,6,3,6,,0,0,1,5,,65,11,42,28,10,12,,,,26,32,24,8,,,,,,2,2,2,1,,,0,,,,0,29,7,7,7,5
File,"BaseFragment.java",1,1,1,1,7,0,5,2,,,,,1,0,0,24,,27,27,10,27,,0,1,9,17,,298,42,178,76,65,78,,,,77,116,59,57,,,,,,4,4,4,1,,,3,,,,0,44,38,38,38,24
File,"BaseMvpActivity.java",2,2,2,1,5,0,5,0,,,,,1,0,0,2,,3,3,1,3,,0,0,3,0,,34,6,18,8,5,10,,,,6,11,6,5,,,,,,2,2,2,1,,,1,,,,0,56,4,4,4,2
File,"BaseMvpFragment.java",2,2,2,1,5,0,5,0,,,,,1,0,0,2,,3,3,1,3,,0,0,3,0,,29,5,18,8,5,6,,,,6,11,6,5,,,,,,2,2,2,1,,,1,,,,0,33,4,4,4,2
File,"BasePresenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,13,3,5,4,0,5,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"BaseResponse.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,3,8,,0,0,0,8,,59,12,41,15,16,6,,,,15,25,14,11,,,,,,2,2,2,1,,,1,,,,0,15,9,9,9,8
File,"BaseResponse.java",1,1,1,1,4,0,4,0,,,,,1,0,0,12,,12,12,5,12,,0,0,0,12,,82,16,59,21,24,7,,,,22,37,20,17,,,,,,3,3,3,3,,,1,,,,0,12,14,14,14,14
File,"BaseView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,7,0,0,0,,53,11,12,11,0,30,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,2,50,0,0,0,0
File,"BaseVlayoutAdapter.java",1,1,1,1,6,0,5,1,,,,,3,0,0,20,,23,21,9,21,,2,1,2,16,,219,30,142,64,53,47,,,,71,100,56,44,,,,,,4,4,4,3,,,2,,,,0,33,30,30,31,22
File,"BaseWebView.java",1,1,1,1,8,0,7,1,,,,,2,0,0,10,,11,10,3,10,,0,1,5,4,,121,20,82,28,38,20,,,,34,50,23,27,,,,,,2,2,3,1,,,1,,,,0,24,16,16,17,10
File,"BottomDialogImagePreviewFragment.java",1,1,1,1,8,0,6,0,,,,,3,0,0,5,,7,7,4,7,,2,0,0,5,,88,18,54,27,21,16,,,,32,42,25,17,,,,,,3,3,3,1,,,1,,,,0,30,7,7,7,5
File,"BottomDialogPayFragment.java",1,1,1,1,12,0,10,1,,,,,3,0,0,7,,8,7,7,7,,1,0,0,6,,120,21,79,36,39,20,,,,50,61,34,27,,,,,,3,2,3,1,,,1,,,,0,25,10,9,10,7
File,"Bounds.java",1,1,2,1,4,0,3,0,,,,,1,0,0,6,,6,6,6,6,,0,0,0,6,,47,12,32,14,11,3,,,,18,25,14,11,,,,,,1,1,4,1,,,0,,,,0,09,6,6,15,6
File,"CameraxDemoActivity.java",1,1,1,1,13,1,11,1,,,,,2,0,0,10,,10,7,2,7,,0,2,3,2,,145,25,103,48,60,17,,,,63,72,43,29,,,,,,5,2,5,1,,,1,,,,0,17,14,11,14,10
File,"CircleProgressView.java",1,1,1,1,8,0,7,1,,,,,3,0,19,53,,53,53,31,53,,0,5,2,46,,595,78,474,153,310,85,,,,302,372,147,225,,,,,,8,6,8,1,,,2,,,,0,18,77,71,77,53
File,"ClickViewPager.java",1,1,1,1,3,0,3,0,,,,,4,0,0,14,,15,15,5,15,,1,1,0,13,,102,20,74,23,37,8,,,,30,46,29,17,,,,,,1,1,2,1,,,0,,,,0,11,14,14,15,14
File,"Cluster.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,2,0,0,1,,21,7,8,7,0,6,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"ClusterItem.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,22,6,7,6,0,9,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,29,0,0,0,0
File,"ClusterManager.java",1,1,1,1,7,0,6,0,,,,,6,0,0,23,,27,27,14,27,,0,0,2,25,,284,43,196,73,86,45,,,,100,140,65,75,,,,,,3,3,4,1,,,2,,,,0,23,27,27,28,23
File,"ClusterRenderer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,0,7,,7,0,0,0,,42,12,14,13,0,16,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,1,14,0,0,0,0
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,24,0,,0,0,0,0,,0,0,0,0,,115,18,44,31,38,54,,,,28,29,29,0,,,,,,0,0,0,0,,,0,,,,1,23,0,0,0,0
File,"ControlViewPager.java",2,2,2,1,8,0,7,0,,,,,1,0,0,11,,11,11,6,11,,0,0,0,11,,147,22,100,28,54,25,,,,41,66,25,41,,,,,,12,10,12,5,,,4,,,,0,25,27,24,27,15
File,"CustomWebviewActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,22,4,12,7,2,7,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,58,2,2,2,2
File,"DecimalEditText.java",2,2,2,1,8,0,7,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,82,14,59,21,27,9,,,,28,41,18,23,,,,,,6,6,7,3,,,2,,,,0,15,12,12,13,8
File,"DefaultClusterRenderer.java",1,1,2,1,10,0,8,2,,,,,11,2,7,59,,59,57,45,59,,0,12,7,40,,922,110,620,245,339,193,,,,342,466,230,236,,,,,,14,14,22,4,,,4,,,,0,31,107,107,122,65
File,"DisplayUtil.java",1,1,1,1,3,0,3,0,,,,,1,10,1,10,,10,0,0,10,,0,1,0,9,,55,13,42,17,14,0,,,,18,30,17,13,,,,,,2,2,2,1,,,1,,,,0,00,11,11,11,10
File,"DrivingRouteOverlay.java",2,2,3,1,13,0,10,2,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,131,16,93,35,47,22,,,,43,66,35,31,,,,,,5,5,6,3,,,3,,,,0,24,19,19,23,11
File,"Event.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,37,7,24,10,7,6,,,,10,17,10,7,,,,,,1,1,1,1,,,0,,,,0,25,6,6,6,6
File,"EventBusUtil.java",1,1,1,1,8,0,3,5,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,57,7,19,8,5,31,,,,7,13,8,5,,,,,,1,1,1,1,,,0,,,,1,63,5,5,5,5
File,"GsonUtil.java",2,2,2,1,12,0,7,5,,,,,4,5,1,6,,6,1,0,6,,0,1,0,5,,107,11,59,20,30,37,,,,24,38,19,19,,,,,,3,3,3,3,,,2,,,,0,63,12,12,12,8
File,"HintDialog.java",1,1,1,1,12,0,7,3,,,,,2,0,1,11,,13,13,6,13,,2,0,1,10,,194,28,112,39,54,54,,,,58,81,37,44,,,,,,4,4,4,1,,,1,,,,0,48,21,21,21,11
File,"IClickListener.java",1,1,1,1,8,0,5,2,,,,,1,0,1,2,,3,3,1,3,,0,0,2,1,,41,7,18,9,7,16,,,,8,12,8,4,,,,,,2,2,2,1,,,1,,,,0,89,3,3,3,2
File,"IconGenerator.java",2,1,2,1,13,0,8,4,,,,,1,2,7,16,,16,14,8,16,,0,3,0,13,,277,34,159,52,97,84,,,,82,109,51,58,,,,,,8,5,8,1,,,2,,,,0,53,42,27,43,16
File,"ImageLoader.java",1,1,1,1,7,0,5,1,,,,,2,0,4,14,,14,14,8,14,,0,1,0,13,,157,21,105,42,50,33,,,,56,81,42,39,,,,,,6,6,7,1,,,1,,,,0,31,23,23,25,14
File,"ImageLoaderGlideModule.java",1,1,1,1,7,0,4,3,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,33,5,19,15,2,9,,,,13,15,13,2,,,,,,1,1,1,1,,,0,,,,0,47,1,1,1,1
File,"ImagePreviewActivity.java",1,1,1,1,9,1,6,1,,,,,3,2,0,11,,11,9,5,11,,0,0,2,9,,149,31,91,40,39,27,,,,50,65,38,27,,,,,,3,3,3,1,,,0,,,,0,30,13,13,13,11
