Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActivityComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,20,5,12,11,0,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"ActivityContext.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,4,8,7,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ActivityModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,2,0,0,1,,30,8,22,15,3,0,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"AndroidTvBoilerplateApplication.java",1,1,1,1,5,0,5,0,,,,,1,1,0,4,,4,3,1,4,,0,0,0,4,,44,11,32,14,12,1,,,,15,22,13,9,,,,,,2,2,2,1,,,1,,,,0,03,6,6,6,4
File,"AndroidTvBoilerplateService.java",1,1,1,1,14,1,12,1,,,,,3,1,0,2,,2,1,1,2,,0,0,0,2,,47,9,34,18,18,5,,,,19,23,18,5,,,,,,1,1,1,1,,,0,,,,0,15,2,2,2,2
File,"ApplicationComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,27,7,20,19,0,0,,,,15,16,16,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApplicationContext.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,3,8,7,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApplicationModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,4,0,0,1,,49,10,35,24,5,4,,,,15,21,16,5,,,,,,1,1,1,1,,,0,,,,0,11,5,5,5,5
File,"ApplicationTestModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,1,7,,6,0,0,1,,68,16,47,32,7,5,,,,20,28,21,7,,,,,,1,1,1,1,,,0,,,,0,11,7,7,7,7
File,"BaseActivity.java",1,1,1,1,7,0,7,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,42,8,34,15,13,0,,,,15,21,13,8,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"BasePresenter.java",1,1,1,1,3,0,3,0,,,,,2,0,0,6,,6,6,1,6,,0,0,0,6,,41,9,27,12,7,5,,,,8,17,10,7,,,,,,2,2,2,1,,,1,,,,0,19,7,7,7,6
File,"CardPresenter.java",1,1,1,1,9,1,8,0,,,,,2,0,2,5,,5,5,3,5,,0,1,0,4,,72,14,58,30,32,0,,,,38,44,27,17,,,,,,2,2,2,1,,,0,,,,0,00,6,6,6,5
File,"Cat.java",1,1,1,1,4,0,3,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,18,5,13,7,3,0,,,,7,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ContentActivity.java",1,1,1,1,6,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,33,9,24,14,7,0,,,,15,18,12,6,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ContentActivityTest.java",1,1,1,1,8,0,7,0,,,,,1,0,0,3,,3,3,3,3,,0,2,0,1,,72,15,57,37,18,0,,,,38,44,33,11,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"ContentFragment.java",1,1,1,1,8,0,7,0,,,,,6,1,1,17,,17,16,9,17,,0,5,1,11,,210,29,171,77,87,10,,,,105,130,76,54,,,,,,3,3,3,1,,,2,,,,0,06,24,24,24,17
File,"ContentMvpView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,14,6,8,7,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ContentPresenter.java",1,1,1,1,6,0,6,0,,,,,2,0,0,5,,5,5,2,5,,0,0,0,5,,53,12,41,19,16,0,,,,21,28,19,9,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"ContentPresenterTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,4,5,,0,1,0,4,,73,18,55,36,16,0,,,,37,43,30,13,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"CustomMatchers.java",1,1,1,1,7,0,7,0,,,,,2,1,0,3,,3,2,0,3,,0,0,0,3,,33,6,27,13,10,0,,,,15,19,15,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DataManager.java",1,1,1,1,4,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,37,10,25,17,4,2,,,,14,18,14,4,,,,,,1,1,1,1,,,0,,,,0,08,3,3,3,3
File,"DataManagerTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,40,10,30,23,6,0,,,,21,24,20,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DefaultConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,1,4,3,1,1,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"MvpView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,10,2,3,2,0,5,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,67,0,0,0,0
File,"NetworkUtil.java",1,1,2,1,7,1,6,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,17,5,12,9,3,0,,,,7,9,8,1,,,,,,1,1,2,1,,,0,,,,0,00,1,1,2,1
File,"PerActivity.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,3,8,7,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,62,0,0,0,0
File,"PreferencesHelper.java",1,1,1,1,3,0,3,0,,,,,1,0,2,4,,4,4,1,4,,0,0,0,4,,38,11,27,18,6,0,,,,14,19,15,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
