Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AdditionalParamsProcessor.java",2,2,2,1,11,1,10,0,,,,,1,4,0,5,,5,1,0,5,,4,1,0,0,,100,16,68,34,29,16,,,,34,49,30,19,,,,,,3,3,3,1,,,2,,,,0,24,12,12,13,5
File,"AnyBrowserMatcher.java",1,1,1,1,3,0,2,0,,,,,1,0,1,2,,2,2,0,2,,0,1,0,1,,37,6,11,7,2,20,,,,4,7,6,1,,,,,,1,1,1,1,,,0,,,,1,82,2,2,2,2
File,"AnyBrowserMatcherTest.java",1,1,1,1,10,0,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,40,5,22,12,8,13,,,,11,13,9,4,,,,,,1,1,1,1,,,0,,,,0,59,1,1,1,1
File,"AppAuthConfiguration.java",1,1,1,1,7,0,4,3,,,,,2,0,1,6,,6,6,4,6,,0,1,0,5,,107,17,48,29,14,42,,,,22,30,19,11,,,,,,1,1,1,1,,,0,,,,0,88,6,6,6,6
File,"AppAuthGlideModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,23,4,6,5,0,13,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,2,17,0,0,0,0
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,3,9,5,2,17,,,,4,6,4,2,,,,,,1,1,1,1,,,0,,,,1,89,1,1,1,1
File,"AsciiStringListUtil.java",2,2,2,1,13,1,9,3,,,,,1,2,0,3,,3,1,0,3,,0,1,0,2,,77,11,39,17,17,27,,,,20,29,16,13,,,,,,4,4,4,3,,,1,,,,0,69,7,7,7,5
File,"AsciiStringListUtilTest.java",1,1,1,1,4,0,4,0,,,,,1,0,2,3,,3,3,0,3,,0,0,0,3,,56,8,35,24,10,13,,,,22,26,19,7,,,,,,1,1,1,1,,,0,,,,0,37,3,3,3,3
File,"AuthState.java",2,2,2,1,16,1,10,4,,,,,3,2,8,40,,41,39,10,41,,4,0,0,37,,779,103,460,138,253,216,,,,165,253,85,168,,,,,,6,6,6,6,,,2,,,,0,47,86,84,93,59
File,"AuthStateManager.java",1,1,1,1,10,0,9,0,,,,,1,1,4,9,,9,8,3,9,,0,3,0,6,,168,24,126,61,56,18,,,,60,80,40,40,,,,,,3,3,3,3,,,2,,,,0,14,17,17,17,13
File,"AuthStateTest.java",1,1,1,1,18,2,14,1,,,,,1,0,2,34,,34,34,1,34,,0,0,0,34,,745,119,573,253,429,53,,,,284,319,174,145,,,,,,1,1,1,1,,,0,,,,0,09,34,34,34,34
File,"AuthorizationException.java",1,1,1,1,10,0,7,2,,,,,5,14,51,21,,21,7,5,21,,0,5,0,16,,715,94,314,174,166,307,,,,123,160,107,53,,,,,,5,5,5,3,,,3,,,,0,98,37,37,39,25
File,"AuthorizationManagementActivity.java",2,2,2,1,14,0,11,2,,,,,1,4,5,12,,12,8,5,12,,0,5,4,3,,339,33,168,61,97,138,,,,82,107,42,65,,,,,,4,4,6,3,,,2,,,,0,82,25,25,28,14
File,"AuthorizationManagementActivityTest.java",1,1,1,1,21,3,13,3,,,,,1,0,0,20,,20,20,14,20,,0,5,0,15,,513,103,322,101,225,88,,,,166,188,72,116,,,,,,2,2,2,1,,,1,,,,0,27,21,21,21,20
File,"AuthorizationRequest.java",1,1,1,1,16,0,9,6,,,,,6,3,47,29,,29,26,30,29,,0,2,0,27,,1098,112,456,239,230,530,,,,217,261,141,120,,,,,,3,3,3,1,,,1,,,,1,16,37,37,37,29
File,"AuthorizationRequestTest.java",1,1,1,1,6,0,6,0,,,,,1,0,2,73,,73,73,1,73,,0,2,0,71,,715,106,578,264,325,31,,,,185,260,151,109,,,,,,2,2,2,1,,,1,,,,0,05,74,74,74,73
File,"AuthorizationResponse.java",1,1,1,1,11,0,7,3,,,,,2,3,13,28,,28,25,18,28,,2,1,0,25,,576,66,322,154,148,188,,,,135,172,85,87,,,,,,3,3,3,3,,,1,,,,0,58,35,35,36,30
File,"AuthorizationResponseTest.java",1,1,1,1,8,0,7,0,,,,,1,0,4,12,,12,12,3,12,,0,1,0,11,,186,26,143,71,79,17,,,,64,77,52,25,,,,,,1,1,1,1,,,0,,,,0,12,12,12,12,12
File,"AuthorizationService.java",2,2,2,1,20,0,14,5,,,,,5,0,0,25,,27,27,15,27,,5,3,4,15,,689,66,435,158,247,188,,,,187,241,105,136,,,,,,8,8,8,7,,,3,,,,0,43,51,51,53,39
File,"AuthorizationServiceConfiguration.java",1,1,1,1,15,0,10,5,,,,,3,6,6,14,,15,9,8,15,,3,0,2,10,,368,36,190,85,94,142,,,,87,110,54,56,,,,,,4,4,4,4,,,2,,,,0,75,22,22,22,19
File,"AuthorizationServiceConfigurationTest.java",1,1,1,1,6,0,6,0,,,,,2,1,18,19,,19,18,7,19,,0,3,0,16,,282,27,242,124,142,23,,,,126,147,94,53,,,,,,1,1,1,1,,,0,,,,0,10,19,19,19,19
File,"AuthorizationServiceDiscovery.java",1,1,1,1,7,0,3,4,,,,,2,5,36,45,,45,40,2,45,,0,7,0,38,,611,90,287,183,92,234,,,,101,151,102,49,,,,,,3,3,4,1,,,2,,,,0,82,47,47,48,45
File,"AuthorizationServiceDiscoveryTest.java",1,1,1,1,5,0,5,0,,,,,1,0,12,22,,22,22,2,22,,0,0,0,22,,227,29,184,78,90,19,,,,74,103,52,51,,,,,,2,2,2,1,,,1,,,,0,10,28,28,28,22
File,"AuthorizationServiceTest.java",1,1,1,1,8,0,8,0,,,,,4,1,7,42,,42,41,17,42,,4,9,0,29,,577,71,483,245,266,23,,,,298,349,197,152,,,,,,2,2,3,1,,,1,,,,0,05,45,45,47,42
File,"BrowserBlacklist.java",2,2,2,2,7,0,5,1,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,68,8,19,9,5,41,,,,8,14,9,5,,,,,,3,3,3,3,,,2,,,,2,16,4,4,4,4
File,"BrowserBlacklistTest.java",1,1,1,1,7,0,7,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,56,8,35,20,15,13,,,,20,24,14,10,,,,,,1,1,1,1,,,0,,,,0,37,3,3,3,3
File,"BrowserDescriptor.java",1,1,2,1,14,0,9,4,,,,,1,2,2,7,,7,5,4,7,,0,0,0,7,,172,23,85,37,42,64,,,,37,52,30,22,,,,,,3,3,7,3,,,1,,,,0,75,13,13,17,9
File,"BrowserDescriptorTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,0,9,,0,0,0,9,,100,15,72,47,32,13,,,,32,42,33,9,,,,,,1,1,1,1,,,0,,,,0,18,9,9,9,9
File,"BrowserMatcher.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,5,5,4,0,21,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,4,20,0,0,0,0
File,"BrowserSelectionAdapter.java",1,1,1,1,6,0,6,0,,,,,4,0,1,16,,16,16,6,16,,2,1,2,11,,202,33,150,72,62,19,,,,77,105,60,45,,,,,,4,4,4,1,,,2,,,,0,13,23,23,23,16
File,"BrowserSelector.java",5,5,5,3,34,3,22,8,,,,,1,4,4,4,,4,0,0,4,,0,2,0,2,,212,24,123,57,68,66,,,,61,84,46,38,,,,,,9,9,9,5,,,4,,,,0,54,20,20,23,13
File,"BrowserSelectorTest.java",1,1,1,1,9,0,8,0,,,,,4,1,9,34,,34,33,14,34,,3,5,0,26,,480,69,374,142,209,37,,,,178,232,110,122,,,,,,6,6,6,1,,,1,,,,0,10,44,44,46,34
File,"BrowserWhitelist.java",2,2,2,2,7,0,5,1,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,64,8,19,9,5,37,,,,8,14,9,5,,,,,,3,3,3,3,,,2,,,,1,95,4,4,4,4
File,"BrowserWhitelistTest.java",1,1,1,1,9,0,9,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,75,9,53,24,30,13,,,,31,36,16,20,,,,,,1,1,1,1,,,0,,,,0,25,4,4,4,4
File,"Browsers.java",1,1,1,1,5,0,2,2,,,,,4,6,12,10,,10,4,0,10,,0,4,0,6,,182,29,62,39,21,91,,,,22,36,30,6,,,,,,1,1,1,1,,,0,,,,1,47,10,10,10,10
File,"ClientAuthentication.java",1,1,1,1,5,0,3,1,,,,,2,0,0,2,,4,4,1,4,,2,0,0,2,,52,8,17,10,3,27,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,,1,59,2,2,2,2
File,"ClientSecretBasic.java",1,1,1,1,6,0,4,2,,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,68,10,27,20,8,31,,,,16,20,17,3,,,,,,1,1,1,1,,,0,,,,1,15,3,3,3,3
File,"ClientSecretBasicTest.java",1,1,1,1,9,1,7,1,,,,,1,0,0,6,,6,6,0,6,,0,0,0,6,,103,22,62,45,30,19,,,,34,41,34,7,,,,,,1,1,1,1,,,0,,,,0,31,6,6,6,6
File,"ClientSecretPost.java",1,1,1,1,5,0,4,1,,,,,1,0,3,3,,3,3,1,3,,0,0,0,3,,65,10,26,17,9,29,,,,15,19,14,5,,,,,,1,1,1,1,,,0,,,,1,12,3,3,3,3
File,"ClientSecretPostTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,49,6,30,21,8,13,,,,16,20,16,4,,,,,,1,1,1,1,,,0,,,,0,43,3,3,3,3
File,"Clock.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,26,3,4,3,0,19,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,4,75,0,0,0,0
File,"CodeVerifierUtil.java",1,1,1,1,12,0,7,4,,,,,1,5,7,6,,6,1,0,6,,0,1,0,5,,166,21,67,29,39,78,,,,39,48,27,21,,,,,,3,3,3,1,,,1,,,,1,16,9,9,9,6
