Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AppActivity.java",1,1,2,1,25,2,19,2,,,,,8,0,1,16,,16,16,5,16,,0,1,0,15,,330,48,238,62,128,44,,,,112,142,64,78,,,,,,4,4,6,1,,,1,,,,0,18,30,29,33,16
File,"AppInfo.java",1,1,1,1,9,0,6,3,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,44,5,26,10,7,13,,,,11,16,10,6,,,,,,2,2,3,1,,,1,,,,0,50,4,4,5,3
File,"AppSettingsOverlayDialog.java",1,1,1,1,8,0,6,1,,,,,5,1,0,11,,10,11,5,12,,0,1,0,11,,125,20,82,34,29,23,,,,37,50,34,16,,,,,,2,2,2,1,,,1,,,,0,28,12,12,12,11
File,"AppStarter.java",2,2,3,1,28,1,20,6,,,,,1,4,3,4,,4,0,0,4,,0,0,0,4,,148,15,104,32,48,29,,,,50,64,32,32,,,,,,4,4,6,1,,,3,,,,0,28,11,11,14,4
File,"AppStarterUpdater.java",2,2,3,1,14,1,12,1,,,,,1,0,0,4,,4,4,1,4,,0,0,1,3,,86,12,65,26,27,11,,,,30,41,23,18,,,,,,7,7,9,3,,,2,,,,0,17,10,10,12,6
File,"CustomFragment.java",1,1,1,1,5,0,4,1,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,23,3,14,6,2,6,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,43,2,2,2,2
File,"FileDialog.java",1,1,1,1,10,0,9,0,,,,,10,0,1,22,,25,25,9,25,,3,4,0,18,,246,30,202,58,79,14,,,,81,126,66,60,,,,,,6,6,7,6,,,4,,,,0,07,37,37,38,27
File,"InfoOverlayDialog.java",1,1,1,1,9,1,6,2,,,,,1,1,0,5,,5,4,2,5,,0,0,0,5,,79,14,46,24,15,19,,,,26,32,22,10,,,,,,1,1,1,1,,,0,,,,0,41,5,5,5,5
File,"InfosPrefActivity.java",1,1,1,1,24,3,20,0,,,,,4,0,2,5,,5,5,0,5,,0,0,0,5,,110,19,88,29,49,3,,,,47,55,31,24,,,,,,4,4,5,3,,,2,,,,0,03,8,8,9,7
File,"InstalledAppsAdapter.java",2,2,2,1,23,2,16,4,,,,,3,1,1,16,,16,15,6,16,,0,1,0,15,,416,55,278,77,126,83,,,,119,165,82,83,,,,,,13,13,17,1,,,2,,,,0,30,41,41,45,16
