Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BabushkaText.java",1,1,1,1,11,0,5,5,,,,,3,0,2,27,,27,27,21,27,,0,2,0,25,,425,52,195,75,94,178,,,,108,150,78,72,,,,,,6,6,6,1,,,1,,,,0,91,36,36,37,27
File,"MainActivity.java",1,1,1,1,66,4,59,3,,,,,2,0,0,2,,2,2,0,2,,0,0,1,1,,160,13,123,18,110,24,,,,48,51,18,33,,,,,,1,1,1,1,,,0,,,,0,20,2,2,2,2
Package,"babushkatext",1,1,1,1,11,0,5,5,,,,,3,0,2,,1,,27,21,27,,0,2,0,25,,425,52,195,75,94,178,,,,108,150,78,72,,,,,,6,6,6,1,,,1,,,,0,91,36,36,37,27
Public Class,"babushkatext.BabushkaText",1,1,1,1,12,1,6,4,1,1,1,0,,0,2,,,,13,1,13,13,0,2,0,11,,386,49,176,56,94,161,,,,89,131,59,72,,,,,,6,6,6,1,,2,1,,74,58,0,91,22,22,23,13
Public Constructor,"babushkatext.BabushkaText.BabushkaText",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,4,1,2,4,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Constructor,"babushkatext.BabushkaText.BabushkaText",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"babushkatext.BabushkaText.BabushkaText",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"babushkatext.BabushkaText.Piece",1,1,1,1,12,0,6,6,1,1,1,0,,0,0,,,,3,10,3,3,0,0,0,3,,195,19,84,36,41,92,,,,52,68,36,32,,,,,,1,1,1,1,,1,0,,60,60,1,10,3,3,3,3
Public Static Class,"babushkatext.BabushkaText.Piece.Builder",1,1,1,1,9,0,3,5,1,2,2,0,,0,0,,,,11,10,11,11,0,0,0,11,,133,13,54,22,29,66,,,,30,42,22,20,,,,,,1,1,1,1,,1,0,,90,90,1,22,11,11,11,11
Public Constructor,"babushkatext.BabushkaText.Piece.Builder.Builder",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,67,1,1,1,1
Public Method,"babushkatext.BabushkaText.Piece.Builder.backgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"babushkatext.BabushkaText.Piece.Builder.build",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Public Method,"babushkatext.BabushkaText.Piece.Builder.strike",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,4,1,2,5,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,25,1,1,1,1
Public Method,"babushkatext.BabushkaText.Piece.Builder.style",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
