Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActivityType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,11,2,4,3,0,5,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,1,25,2,2,2,2
File,"AutoScheduleActivity.java",2,1,2,1,9,0,8,0,,,,,1,0,0,7,,7,7,3,7,,0,1,3,3,,109,11,92,40,42,6,,,,52,66,32,34,,,,,,3,3,3,1,,,1,,,,0,07,14,13,14,7
File,"AutoScheduleAssistFragment.java",1,1,1,1,10,0,9,2,,,,,5,0,1,25,,25,25,10,25,,0,6,0,19,,341,25,272,130,137,62,,,,159,193,112,81,,,,,,3,3,3,1,,,2,,,,0,23,33,33,33,25
File,"AutoScheduleMainFragment.java",1,1,1,1,9,0,8,0,,,,,6,0,4,30,,30,30,13,30,,0,3,0,27,,337,31,276,117,136,30,,,,145,188,101,87,,,,,,3,3,4,1,,,2,,,,0,11,42,42,43,30
File,"AutoScheduleMainFragmentComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,27,5,9,8,0,13,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,1,44,0,0,0,0
File,"AutoSchedulePresenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,31,6,9,8,0,16,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,78,0,0,0,0
File,"AutoSchedulePresenterImpel.java",1,1,1,1,14,0,14,0,,,,,3,0,4,11,,11,11,2,11,,0,1,0,10,,178,15,153,61,89,10,,,,97,114,57,57,,,,,,5,5,6,4,,,2,,,,0,07,18,16,19,14
File,"AutoSchedulePresenterImpelModule.java",1,1,1,1,6,0,3,3,,,,,1,0,1,3,,3,3,1,3,,2,0,0,1,,40,5,21,14,4,14,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,67,3,3,3,3
File,"AutoScheduleView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,10,10,0,10,,10,0,0,0,,66,15,15,14,0,36,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,2,40,0,0,0,0
File,"BitmapCompress.java",1,1,1,1,10,0,6,4,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,37,5,19,13,8,13,,,,13,16,13,3,,,,,,1,1,1,1,,,0,,,,0,68,2,2,2,2
File,"BlurUtil.java",1,1,1,1,5,0,3,2,,,,,1,2,0,2,,3,1,0,3,,1,1,0,1,,35,6,14,7,3,15,,,,6,9,6,3,,,,,,1,1,1,1,,,0,,,,1,07,2,2,2,2
File,"ButtonSwith.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,11,2,4,3,0,5,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,1,25,2,2,2,2
File,"DatePickerFragment.java",2,2,2,1,29,0,29,0,,,,,2,0,2,3,,3,3,0,3,,0,0,0,3,,85,3,79,44,50,3,,,,47,53,34,19,,,,,,3,3,3,1,,,1,,,,0,04,7,6,7,3
