Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,7,,0,0,0,,0,0,0,0,,1820,0,0,0,0,1820,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AESUtils.java",1,1,1,1,9,0,8,0,,,,,1,10,1,10,,10,0,0,10,,0,4,0,6,,114,16,92,41,57,7,,,,57,74,42,32,,,,,,3,3,3,1,,,1,,,,0,08,16,16,16,10
File,"AboutCard.java",1,1,1,1,11,0,10,0,,,,,3,0,0,8,,8,8,3,8,,0,2,2,4,,128,17,105,40,63,7,,,,67,78,40,38,,,,,,5,2,5,1,,,1,,,,0,07,13,10,13,8
File,"AbsCard.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,30,8,19,9,6,3,,,,11,15,9,6,,,,,,1,1,1,1,,,0,,,,0,16,3,3,3,3
File,"AbsColorWheelRenderer.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,2,3,,34,8,26,13,8,0,,,,13,20,12,8,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"AbsCustomSlider.java",2,2,2,1,8,0,8,0,,,,,1,0,0,11,,14,14,9,14,,0,0,8,6,,141,22,119,46,66,0,,,,70,95,42,53,,,,,,7,7,7,1,,,2,,,,0,00,26,24,29,11
File,"Adapter.java",1,1,1,1,4,0,4,0,,,,,7,0,0,16,,14,16,11,16,,5,0,0,11,,143,35,105,49,37,3,,,,47,71,42,29,,,,,,4,4,4,1,,,1,,,,0,03,24,22,24,16
File,"Adapter.java",1,1,1,1,4,0,4,0,,,,,7,0,0,16,,14,16,11,16,,5,0,0,11,,143,35,105,49,37,3,,,,47,71,42,29,,,,,,4,4,4,1,,,1,,,,0,03,24,22,24,16
File,"AlphaSlider.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,6,9,,0,0,4,5,,83,14,69,33,32,0,,,,41,55,30,25,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,9
File,"AppInfo.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,22,5,14,8,4,3,,,,10,12,8,4,,,,,,1,1,1,1,,,0,,,,0,21,1,1,1,1
File,"AppItem.java",1,1,2,1,7,0,6,0,,,,,2,1,0,17,,17,16,4,17,,0,1,0,16,,168,19,143,53,65,6,,,,66,101,46,55,,,,,,5,5,6,5,,,3,,,,0,04,33,33,36,28
File,"AppListAdapter.java",1,1,1,1,8,0,7,0,,,,,7,0,1,11,,12,12,12,12,,1,0,0,11,,143,21,117,50,50,6,,,,60,80,49,31,,,,,,4,4,4,1,,,1,,,,0,05,16,16,16,11
File,"AppListAdapter.java",1,1,1,1,8,0,8,0,,,,,9,0,1,16,,19,19,13,19,,3,0,0,16,,182,25,152,55,73,6,,,,75,102,57,45,,,,,,4,4,4,1,,,1,,,,0,04,23,23,23,16
File,"AppManager.java",3,2,3,1,12,0,12,0,,,,,4,1,13,26,,26,25,5,26,,0,6,0,20,,454,38,410,99,260,6,,,,215,313,110,203,,,,,,8,8,8,5,,,4,,,,0,01,79,76,83,39
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"AppsAdapter.java",1,1,1,1,4,0,4,0,,,,,4,0,0,10,,11,11,3,11,,1,0,0,10,,82,17,62,33,18,3,,,,28,42,30,12,,,,,,2,2,2,1,,,1,,,,0,05,11,11,11,10
File,"ArcLayout.java",2,1,2,1,14,1,11,2,,,,,3,6,4,28,,28,22,9,28,,0,9,2,17,,466,72,330,129,222,76,,,,187,233,109,124,,,,,,10,5,10,1,,,2,,,,0,23,60,52,63,28
File,"ArcMenu.java",1,1,1,1,12,1,10,0,,,,,7,2,0,27,,29,27,5,29,,2,7,0,20,,329,48,256,72,165,33,,,,158,198,80,118,,,,,,10,4,10,1,,,2,,,,0,13,50,42,50,27
File,"ArcTipViewController.java",2,2,3,1,22,1,20,0,,,,,20,1,9,52,,54,53,36,54,,2,17,0,35,,1022,104,881,158,639,45,,,,481,640,181,459,,,,,,18,15,25,7,,,4,,,,0,05,153,147,171,61
File,"BBVoiceInteractionService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,15,4,8,7,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,38,0,0,0,0
File,"BBVoiceInteractionSession.java",1,1,1,1,4,0,4,0,,,,,3,0,0,10,,10,10,1,10,,0,0,0,10,,84,12,69,34,23,3,,,,33,45,29,16,,,,,,2,2,2,1,,,0,,,,0,04,11,11,11,10
File,"BBVoiceInteractionSessionService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,6,16,13,1,3,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"BaseActivity.java",2,2,2,1,9,0,9,0,,,,,1,0,0,9,,9,9,1,9,,0,0,6,3,,124,16,104,36,56,4,,,,49,74,33,41,,,,,,4,4,4,1,,,2,,,,0,04,22,22,23,9
File,"BaseFragment.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,5,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"BaseRecyclerFragment.java",2,2,2,1,10,0,10,0,,,,,1,0,0,2,,2,2,4,2,,0,0,1,1,,55,10,42,23,15,3,,,,29,34,21,13,,,,,,3,3,3,1,,,1,,,,0,07,4,4,4,2
File,"BigBangActivity.java",2,2,2,1,18,1,15,2,,,,,7,0,2,29,,29,25,15,25,,0,6,1,18,,571,71,464,119,322,41,,,,279,352,136,216,,,,,,10,10,17,7,,,3,,,,0,09,73,73,82,35
File,"BigBangApp.java",1,1,1,1,9,0,8,0,,,,,2,1,1,3,,3,2,0,3,,0,0,0,3,,51,7,40,22,14,4,,,,29,33,22,11,,,,,,1,1,1,1,,,0,,,,0,10,3,3,3,3
File,"BigBangBottom.java",1,1,1,1,10,0,9,0,,,,,2,0,0,18,,24,24,14,24,,6,3,4,11,,259,44,215,67,132,0,,,,141,176,62,114,,,,,,10,10,10,1,,,2,,,,0,00,33,33,33,18
