Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"API19SpinnerAndFormulaFieldCrashesRegressionTest.java",1,1,1,1,8,0,8,0,,,,,1,0,0,9,,9,9,1,9,,0,0,0,9,,162,16,124,58,58,22,,,,57,67,39,28,,,,,,1,1,1,1,,,0,,,,0,18,9,9,9,9
File,"AboutDialogFragment.java",1,1,1,1,29,8,21,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,72,13,37,25,20,22,,,,26,28,22,6,,,,,,1,1,1,1,,,0,,,,0,59,1,1,1,1
File,"AboutDialogTest.java",1,1,1,1,16,3,13,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,118,20,76,41,35,22,,,,43,47,33,14,,,,,,1,1,1,1,,,0,,,,0,29,3,3,3,3
File,"AccessibilityProfile.java",2,2,3,1,9,0,9,0,,,,,2,2,14,8,,8,6,1,8,,4,2,0,2,,151,17,112,44,63,22,,,,55,82,43,39,,,,,,10,10,10,1,,,2,,,,0,20,22,22,24,8
File,"AccessibilityProfilesFragment.java",2,1,2,1,21,2,19,0,,,,,2,0,2,5,,5,5,6,5,,1,0,0,4,,188,26,140,55,84,22,,,,104,113,49,64,,,,,,8,3,8,1,,,1,,,,0,16,12,7,12,5
File,"AccessibilitySettingsFragment.java",1,1,1,1,6,0,6,0,,,,,1,0,3,7,,7,7,1,7,,0,0,0,7,,104,13,69,33,31,22,,,,37,47,26,21,,,,,,2,2,2,1,,,1,,,,0,32,9,9,9,7
File,"ActionBarFormulaEditorTitleTest.java",1,1,1,1,7,0,7,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,120,13,85,45,36,22,,,,43,50,32,18,,,,,,1,1,1,1,,,0,,,,0,26,6,6,6,6
File,"ActionBarScriptTitleAfterExitingFormulaEditorOneSceneProjectTest.java",1,1,1,1,9,1,8,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,80,10,48,33,16,22,,,,31,34,27,7,,,,,,1,1,1,1,,,0,,,,0,46,2,2,2,2
File,"ActionBarScriptTitleAfterExitingFormulaEditorTwoScenesProjectTest.java",1,1,1,1,12,1,11,0,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,100,14,64,40,30,22,,,,46,50,35,15,,,,,,1,1,1,1,,,0,,,,0,34,3,3,3,3
File,"ActionBarWrapper.java",1,1,1,1,4,0,4,0,,,,,1,1,3,5,,5,4,0,5,,0,1,0,4,,77,11,44,27,15,22,,,,27,33,26,7,,,,,,1,1,1,1,,,0,,,,0,50,5,5,5,5
File,"ActionFactory.java",1,1,1,1,6,0,6,0,,,,,1,3,0,150,,150,147,0,150,,0,3,0,147,,1255,159,1074,462,589,22,,,,741,894,442,452,,,,,,4,2,4,1,,,1,,,,0,02,155,152,155,150
File,"ActionModeDataFragmentTitleTest.java",1,1,1,1,11,1,10,0,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,100,12,66,38,28,22,,,,45,49,33,16,,,,,,1,1,1,1,,,0,,,,0,33,3,3,3,3
File,"ActionModeMergeTest.java",1,1,1,1,14,2,11,0,,,,,1,0,0,5,,5,5,4,5,,0,1,0,4,,156,26,108,57,53,22,,,,70,76,47,29,,,,,,1,1,1,1,,,0,,,,0,20,5,5,5,5
File,"ActionModeWrapper.java",1,1,1,1,4,0,4,0,,,,,1,1,3,5,,5,4,0,5,,0,1,0,4,,69,10,37,19,15,22,,,,22,28,19,9,,,,,,1,1,1,1,,,0,,,,0,59,5,5,5,5
File,"ActionPhysicsFactory.java",1,1,1,1,6,0,6,0,,,,,1,0,0,12,,12,12,0,12,,0,2,0,10,,147,15,108,54,51,24,,,,72,85,44,41,,,,,,1,1,1,1,,,0,,,,0,22,12,12,12,12
File,"AddBrickFragment.java",1,1,1,1,9,1,8,0,,,,,2,1,3,11,,11,10,3,11,,0,2,0,9,,188,30,136,66,69,22,,,,84,103,59,44,,,,,,5,5,6,1,,,2,,,,0,16,18,18,19,11
File,"AddItemToUserListAction.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,3,4,,0,0,1,3,,57,8,27,15,7,22,,,,14,20,14,6,,,,,,3,3,3,1,,,1,,,,0,81,6,6,6,4
File,"AddItemToUserListActionTest.java",1,1,1,1,6,0,6,0,,,,,1,0,2,5,,5,5,4,5,,0,0,0,5,,98,14,62,38,24,22,,,,44,50,32,18,,,,,,1,1,1,1,,,0,,,,0,35,5,5,5,5
File,"AddItemToUserListBrick.java",1,1,1,1,3,0,3,0,,,,,1,0,1,6,,6,6,0,6,,0,0,1,5,,62,9,31,16,9,22,,,,13,20,13,7,,,,,,1,1,1,1,,,0,,,,0,71,6,6,6,6
File,"AllEspressoTestsDebugSuite.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,57,3,32,31,0,22,,,,15,16,16,0,,,,,,0,0,0,0,,,0,,,,0,69,0,0,0,0
File,"AllEspressoTestsSuite.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,31,3,6,5,0,22,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,3,67,0,0,0,0
File,"Android9SnackbarRegressionTest.java",1,1,1,1,8,0,7,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,112,16,74,48,26,22,,,,47,52,41,11,,,,,,1,1,1,1,,,0,,,,0,30,4,4,4,4
File,"AndroidPackageRunner.java",1,1,2,1,7,0,7,0,,,,,2,1,1,5,,6,5,1,6,,1,1,3,1,,103,13,68,42,23,22,,,,41,51,37,14,,,,,,5,5,6,1,,,3,,,,0,32,9,9,10,5
File,"AnimatorUpdateCallback.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,28,2,4,3,0,22,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,5,50,0,0,0,0
File,"ApiLevel19RegressionTestsSuite.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,34,3,9,8,0,22,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,44,0,0,0,0
File,"ArDroneProjectCreator.java",1,1,1,1,63,13,50,0,,,,,1,0,0,3,,3,3,0,3,,0,1,0,2,,263,48,193,89,143,22,,,,111,117,76,41,,,,,,3,3,3,1,,,1,,,,0,11,5,5,5,3
File,"Arduino.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,36,6,8,7,0,22,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,2,75,0,0,0,0
File,"ArduinoImpl.java",1,1,1,1,6,0,6,0,,,,,1,4,7,24,,24,20,5,24,,0,5,0,19,,267,55,190,72,91,24,,,,91,132,60,72,,,,,,4,4,4,3,,,1,,,,0,13,40,40,42,26
File,"ArduinoImplTest.java",1,1,1,1,12,1,11,0,,,,,1,0,9,14,,14,14,3,14,,0,6,0,8,,267,39,201,61,133,27,,,,155,179,58,121,,,,,,5,5,5,1,,,2,,,,0,13,23,23,23,14
File,"ArduinoListener.java",1,1,1,1,5,0,5,0,,,,,1,0,1,12,,12,12,2,12,,0,0,0,12,,131,23,85,39,34,23,,,,38,57,32,25,,,,,,3,3,4,1,,,1,,,,0,27,18,18,20,12
File,"ArduinoSendDigitalValueAction.java",2,2,2,1,8,0,8,0,,,,,1,0,0,5,,5,5,6,5,,0,0,2,3,,98,15,61,28,25,22,,,,33,43,26,17,,,,,,6,6,8,1,,,1,,,,0,36,11,11,13,5
