Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,17,3,11,6,2,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,27,2,2,2,2
File,"CircularBar.java",1,1,1,1,11,0,6,3,,,,,3,1,23,64,,62,63,49,64,,1,3,6,54,,1127,148,546,189,327,435,,,,342,438,185,253,,,,,,11,10,12,1,,,4,,,,0,80,98,96,101,64
File,"CircularBarPager.java",1,1,1,1,9,0,6,2,,,,,3,0,0,15,,15,15,6,15,,0,1,1,13,,234,36,110,46,50,88,,,,59,82,45,37,,,,,,6,6,6,1,,,2,,,,0,80,22,22,23,15
File,"DemoPagerAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,66,8,32,19,8,26,,,,16,22,15,7,,,,,,1,1,1,1,,,0,,,,0,81,5,5,5,5
File,"DemoView.java",1,1,1,1,5,1,4,0,,,,,1,0,1,2,,2,2,0,2,,0,1,0,1,,54,8,16,11,5,30,,,,10,13,11,2,,,,,,1,1,1,1,,,0,,,,1,88,2,2,2,2
File,"FadeViewPagerTransformer.java",5,5,8,1,23,0,16,7,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,61,4,24,10,13,33,,,,15,20,9,11,,,,,,5,5,8,1,,,1,,,,1,38,5,5,8,1
File,"MainActivity.java",1,1,1,1,14,1,12,0,,,,,4,0,1,10,,10,10,4,10,,0,2,2,6,,166,23,111,31,71,32,,,,67,83,37,46,,,,,,6,4,7,1,,,3,,,,0,29,17,15,18,10
File,"WrapContentViewPager.java",2,2,3,1,12,0,9,2,,,,,1,0,1,6,,6,6,0,6,,0,0,2,4,,121,11,70,23,36,40,,,,31,47,20,27,,,,,,6,6,7,3,,,5,,,,0,57,15,15,20,10
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.github.omadahealth",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.github.omadahealth.circularbarpager",1,1,1,1,10,1,8,0,,,,,7,0,2,,4,,18,6,18,,0,3,2,13,,299,41,167,66,85,91,,,,97,124,68,56,,,,,,6,4,7,1,,,3,,,,0,54,25,23,26,18
Public Class,"com.github.omadahealth.circularbarpager.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"com.github.omadahealth.circularbarpager.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.github.omadahealth.circularbarpager.DemoPagerAdapter",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,5,2,5,5,0,0,0,5,,35,6,26,13,8,3,,,,10,16,9,7,,,,,,1,1,1,1,,2,0,,60,60,0,12,5,5,5,5
Public Constructor,"com.github.omadahealth.circularbarpager.DemoPagerAdapter.DemoPagerAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.github.omadahealth.circularbarpager.DemoPagerAdapter.destroyItem",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
