Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",1,1,1,1,3,0,2,0,,,,,3,1,0,,3,,4,1,5,,0,0,0,5,,41,12,23,12,4,6,,,,6,14,11,3,,,,,,1,1,1,1,,,0,,,,0,26,5,5,5,5
File,"AboutController.java",2,2,2,1,10,0,10,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,24,4,20,11,7,0,,,,12,15,10,5,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"App.java",2,1,3,2,12,0,12,0,,,,,1,1,1,8,,8,5,2,6,,0,5,0,1,,123,12,111,32,75,0,,,,74,86,32,54,,,,,,15,5,16,13,,,3,,,,0,00,23,13,24,20
File,"BaseMessage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,0,0,3,5,,49,10,36,18,12,3,,,,13,22,13,9,,,,,,1,1,1,1,,,0,,,,0,08,8,8,8,8
File,"BaseMessage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,0,0,2,6,,48,8,37,19,12,3,,,,13,22,13,9,,,,,,1,1,1,1,,,0,,,,0,08,8,8,8,8
File,"BaseMessage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,0,0,2,6,,48,8,37,19,12,3,,,,13,22,13,9,,,,,,1,1,1,1,,,0,,,,0,08,8,8,8,8
File,"BaseMsgCardNum.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,16,4,12,5,4,0,,,,6,9,5,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BaseMsgCardNum.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,16,4,12,5,4,0,,,,6,9,5,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BaseMsgCardNum.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,16,4,12,5,4,0,,,,6,9,5,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BaseMsgSending.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,3,7,,0,0,4,3,,40,10,30,14,9,0,,,,14,22,14,8,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"BasePresenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BaseTcpResponseMsg.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,16,5,11,5,3,0,,,,5,8,5,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BaseTcpResponseMsg.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,16,5,11,5,3,0,,,,5,8,5,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BaseTcpResponseMsg.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,16,5,11,5,3,0,,,,5,8,5,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
