Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CommonRecyclerAdapter.java",1,1,1,1,8,0,6,2,,,,,5,0,0,12,,15,15,8,15,,2,0,0,13,,149,23,87,39,34,46,,,,44,61,36,25,,,,,,2,2,4,1,,,1,,,,0,53,15,15,19,12
File,"CommonRecyclerHolder.java",1,1,1,1,7,0,4,2,,,,,1,1,0,9,,9,8,2,9,,0,1,0,8,,107,15,58,28,25,34,,,,35,46,27,19,,,,,,2,2,2,1,,,1,,,,0,59,10,10,10,9
File,"CoorAppBarActivity.java",1,1,1,1,15,3,12,0,,,,,2,0,0,2,,2,2,4,2,,0,0,1,1,,48,12,36,15,17,0,,,,27,31,16,15,,,,,,2,2,2,1,,,0,,,,0,00,3,3,3,2
File,"CoorToolBarActivity.java",1,1,1,1,12,2,9,0,,,,,2,0,0,3,,3,3,5,3,,0,0,1,2,,59,16,42,18,19,1,,,,31,36,19,17,,,,,,2,2,2,1,,,0,,,,0,02,4,4,4,3
File,"CoordinatorActivity.java",1,1,1,1,11,0,10,0,,,,,2,0,0,2,,2,2,0,2,,0,0,1,1,,27,4,23,9,10,0,,,,12,16,9,7,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"FollowBehavior.java",1,1,1,1,8,0,3,4,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,52,6,22,13,5,24,,,,12,16,11,5,,,,,,1,1,1,1,,,0,,,,1,09,3,3,3,3
File,"MainActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,27,6,21,11,5,0,,,,10,15,10,5,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"SimpleViewBehavior.java",2,2,2,1,13,0,11,2,,,,,2,4,6,14,,14,10,30,14,,0,2,1,11,,280,27,219,93,133,41,,,,155,186,87,99,,,,,,9,9,11,1,,,2,,,,0,19,35,32,40,14
