Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AUCalendar.java",1,1,1,1,4,0,4,0,,,,,4,2,1,29,,33,29,3,31,,4,4,0,23,,187,38,146,54,56,3,,,,60,103,53,50,,,,,,2,2,2,1,,,1,,,,0,02,39,39,39,29
File,"BasePresenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,21,7,11,10,0,3,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"BaseView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,20,7,10,9,0,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"Calendar.java",1,1,1,1,4,0,3,0,,,,,1,0,0,14,,14,14,7,14,,0,0,0,14,,93,22,68,31,24,3,,,,38,54,32,22,,,,,,2,2,2,1,,,1,,,,0,04,15,15,15,14
File,"CalendarFields.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,6,0,,0,0,0,0,,36,6,27,26,6,3,,,,16,17,17,0,,,,,,0,0,0,0,,,0,,,,0,11,0,0,0,0
File,"CalendarItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,3,14,,0,0,0,14,,74,18,53,21,17,3,,,,23,38,21,17,,,,,,1,1,1,1,,,0,,,,0,06,14,14,14,14
File,"CalendarRecyclerView.java",1,1,1,1,7,0,7,0,,,,,3,0,0,15,,15,15,7,15,,0,3,0,12,,145,22,120,54,55,3,,,,63,83,47,36,,,,,,3,3,3,1,,,2,,,,0,03,19,19,19,15
File,"CalendarView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,13,4,6,5,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"CalendarViewAdapter.java",1,1,1,1,4,0,4,0,,,,,2,0,0,10,,10,10,6,10,,1,0,0,9,,100,17,80,44,27,3,,,,44,58,37,21,,,,,,3,3,4,1,,,1,,,,0,04,12,12,13,10
File,"CalendarViewInteractor.java",1,1,1,1,3,0,3,0,,,,,1,0,0,18,,18,18,4,18,,2,0,0,16,,129,30,96,55,22,3,,,,36,58,39,19,,,,,,4,4,5,1,,,2,,,,0,03,21,21,22,18
File,"CustomizableCalendar.java",1,1,1,1,5,0,5,0,,,,,1,0,0,10,,10,10,6,10,,0,1,0,9,,100,22,75,35,29,3,,,,44,57,30,27,,,,,,3,3,3,1,,,2,,,,0,04,12,12,12,10
File,"CustomizableCalendarPresenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,4,7,6,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"CustomizableCalendarPresenterImpl.java",2,2,2,1,9,0,9,0,,,,,1,0,0,12,,12,11,8,11,,0,2,0,9,,196,23,129,61,57,44,,,,69,94,54,40,,,,,,6,6,8,3,,,2,,,,0,34,25,25,28,14
File,"CustomizableCalendarView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,2,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"DateUtils.java",14,3,14,1,21,0,21,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,31,3,25,4,18,3,,,,6,9,4,5,,,,,,14,3,14,1,,,1,,,,0,12,14,3,14,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"HeaderView.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,3,8,,0,1,0,7,,61,13,45,24,11,3,,,,21,31,20,11,,,,,,2,2,2,1,,,1,,,,0,07,9,9,9,8
File,"HeaderView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,8,2,3,2,0,3,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"LayoutInteractor.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,21,8,10,9,0,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"MainActivity.java",1,1,1,1,12,1,8,2,,,,,1,0,0,3,,3,2,2,2,,0,1,1,0,,60,13,39,22,19,8,,,,28,31,20,11,,,,,,1,1,1,1,,,0,,,,0,21,3,3,3,3
File,"MonthAdapter.java",3,3,3,1,14,0,12,0,,,,,1,0,0,17,,17,16,12,16,,0,3,0,13,,307,35,259,83,151,13,,,,134,185,73,112,,,,,,15,15,18,4,,,5,,,,0,05,52,51,61,20
File,"MonthGridView.java",1,1,1,1,6,0,5,0,,,,,1,0,0,15,,15,14,7,14,,0,3,0,11,,141,27,111,51,43,3,,,,56,79,43,36,,,,,,3,3,3,1,,,2,,,,0,03,23,23,23,15
File,"MonthView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,16,6,7,6,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"SubView.java",1,1,1,1,5,0,4,0,,,,,1,0,0,9,,9,9,5,9,,0,1,0,8,,92,18,71,39,24,3,,,,40,53,34,19,,,,,,2,2,2,1,,,1,,,,0,04,12,12,12,9
File,"SubView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,2,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
