Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,3,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,3,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,7,7,2,7,,0,0,7,0,,52,14,34,22,9,4,,,,24,28,20,8,,,,,,1,1,1,1,,,0,,,,0,12,3,3,3,3
File,"BaseAdapterItem.java",1,1,1,1,4,0,4,0,,,,,1,2,0,13,,13,11,5,13,,0,0,5,8,,103,22,77,34,26,4,,,,34,52,30,22,,,,,,3,3,3,1,,,2,,,,0,05,17,17,17,13
File,"BaseViewModel.java",1,1,1,1,6,0,5,1,,,,,3,0,0,3,,4,4,0,4,,1,0,0,3,,37,8,22,11,8,7,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,32,3,3,3,3
File,"Bitmap.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,5,2,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BitmapUtil.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,4,10,7,1,4,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"CodeTemple.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,54,9,35,11,32,11,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,31,0,0,0,0
File,"DBinding.java",1,1,1,1,3,0,3,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,75,14,14,9,2,47,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,3,36,2,2,2,2
File,"EditTextAttrAdapter.java",1,1,1,1,4,0,3,1,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,22,5,10,7,1,7,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,70,1,1,1,1
