Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AIPDIMCrosswalk.java",1,1,1,1,16,0,4,12,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,187,10,54,36,11,123,,,,20,29,20,9,,,,,,1,1,1,1,,,0,,,,2,28,8,8,8,8
File,"AIPTechMDCrosswalk.java",7,7,8,1,43,1,27,14,,,,,1,1,1,9,,9,8,6,9,,0,1,0,8,,495,29,296,108,192,170,,,,151,216,95,121,,,,,,35,35,44,1,,,8,,,,0,57,63,63,76,9
File,"AInprogressItemConverter.java",4,4,4,2,27,3,21,2,,,,,1,0,1,3,,3,3,7,3,,0,1,1,1,,153,24,102,53,47,27,,,,56,73,46,27,,,,,,8,8,8,4,,,5,,,,0,26,14,14,14,6
File,"AInprogressSubmissionRest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,6,13,,0,0,0,13,,93,18,60,30,16,15,,,,26,41,26,15,,,,,,2,2,2,1,,,1,,,,0,25,14,14,14,13
File,"APISpringLoader.java",2,2,2,1,18,2,16,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,40,6,24,9,13,10,,,,16,19,8,11,,,,,,2,2,2,1,,,1,,,,0,42,2,2,2,1
File,"ATOMCollectionGenerator.java",1,1,1,1,8,0,3,5,,,,,1,0,0,1,,2,2,1,2,,0,0,0,2,,43,4,11,8,1,28,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,2,55,1,1,1,1
File,"AbstractBuilder.java",1,1,1,1,16,0,13,2,,,,,1,4,29,6,,10,6,1,10,,1,0,3,6,,216,21,159,82,70,36,,,,137,148,83,65,,,,,,2,2,2,1,,,2,,,,0,23,8,8,8,6
File,"AbstractBuilderCleanupUtil.java",1,1,1,1,11,0,7,3,,,,,1,0,0,4,,4,3,1,3,,0,0,0,3,,90,8,56,29,23,26,,,,44,52,31,21,,,,,,3,3,3,1,,,2,,,,0,46,6,6,6,4
File,"AbstractCRUDBuilder.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,4,4,0,4,,0,0,2,2,,40,8,22,10,8,10,,,,12,17,10,7,,,,,,2,2,2,1,,,2,,,,0,45,3,3,3,2
File,"AbstractControllerIntegrationTest.java",1,1,1,1,6,0,6,0,,,,,1,1,4,9,,9,6,5,7,,1,0,0,6,,159,24,104,63,40,33,,,,60,71,54,17,,,,,,3,3,4,1,,,1,,,,0,32,12,12,13,9
File,"AbstractCurationTask.java",2,2,2,1,18,0,8,9,,,,,1,0,1,13,,14,14,6,14,,0,0,11,3,,303,19,144,56,75,140,,,,73,110,56,54,,,,,,9,9,9,3,,,3,,,,0,97,34,34,34,23
File,"AbstractDSpaceIntegrationTest.java",1,1,1,1,16,2,7,7,,,,,1,3,3,4,,4,1,0,4,,0,0,1,3,,118,20,50,27,21,49,,,,32,39,23,16,,,,,,3,3,3,1,,,2,,,,0,98,6,6,6,4
File,"AbstractDSpaceObjectBuilder.java",2,2,2,1,17,0,11,5,,,,,1,0,1,10,,13,13,0,13,,0,0,10,3,,234,28,136,56,68,70,,,,59,83,38,45,,,,,,3,3,3,1,,,2,,,,0,51,22,22,22,10
File,"AbstractDSpaceObjectTest.java",2,2,2,1,19,1,14,3,,,,,1,0,0,8,,12,12,11,12,,0,0,0,12,,270,36,174,79,104,60,,,,90,114,64,50,,,,,,9,9,9,1,,,1,,,,0,34,20,20,23,8
File,"AbstractDSpaceRestRepository.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,2,,0,0,1,1,,39,6,20,15,4,13,,,,13,16,14,2,,,,,,1,1,1,1,,,0,,,,0,65,2,2,2,2
File,"AbstractDSpaceTest.java",1,1,1,1,13,1,7,5,,,,,1,3,3,4,,4,1,0,4,,0,0,1,3,,122,17,54,30,20,52,,,,33,41,25,16,,,,,,3,3,3,1,,,2,,,,0,96,7,7,7,4
File,"AbstractDSpaceWebapp.java",1,1,1,1,8,0,5,2,,,,,1,0,1,7,,7,7,5,7,,0,0,1,6,,109,19,60,31,23,30,,,,32,43,27,16,,,,,,3,3,3,1,,,1,,,,0,50,11,11,11,7
File,"AbstractEntityIntegrationTest.java",2,2,2,1,80,15,47,18,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,105,21,59,19,44,25,,,,29,32,17,15,,,,,,2,2,2,1,,,1,,,,0,42,2,2,2,1
File,"AbstractGenerator.java",2,2,2,1,19,2,10,7,,,,,1,0,0,5,,14,14,6,14,,0,0,2,12,,246,31,77,37,36,138,,,,51,62,34,28,,,,,,3,3,4,1,,,1,,,,1,79,10,10,11,5
File,"AbstractHibernateDAO.java",1,1,1,1,12,0,5,6,,,,,2,0,0,29,,29,29,0,29,,0,0,3,26,,435,37,185,91,80,213,,,,80,118,69,49,,,,,,3,3,3,3,,,2,,,,1,15,37,37,37,31
File,"AbstractHibernateDSODAO.java",3,3,4,1,23,0,13,9,,,,,1,0,0,5,,5,5,0,5,,0,0,4,1,,154,11,81,29,41,62,,,,44,64,29,35,,,,,,8,8,8,1,,,4,,,,0,77,19,19,20,5
File,"AbstractImportMetadataSourceService.java",1,1,1,1,8,0,3,5,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,86,9,33,22,6,44,,,,17,23,18,5,,,,,,1,1,1,1,,,0,,,,1,33,5,5,5,5
File,"AbstractIntegrationTest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,25,2,5,4,0,18,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,3,60,0,0,0,0
File,"AbstractIntegrationTestWithDatabase.java",3,3,3,1,32,3,18,10,,,,,1,1,1,5,,5,4,5,5,,0,0,1,4,,240,30,130,48,76,80,,,,84,101,43,58,,,,,,5,5,5,1,,,2,,,,0,62,18,18,19,5
File,"AbstractMETSDisseminator.java",5,5,7,2,46,3,29,13,,,,,2,0,4,26,,36,36,7,36,,0,0,18,18,,1575,140,883,323,586,554,,,,467,622,282,340,,,,,,46,46,57,9,,,6,,,,0,63,151,151,192,56
File,"AbstractMETSIngester.java",5,4,5,1,60,6,28,25,,,,,2,1,1,20,,27,26,10,27,,1,1,13,12,,1507,165,663,222,434,687,,,,283,381,163,218,,,,,,17,17,20,5,,,4,,,,1,04,101,99,114,33
File,"AbstractMetadataFieldMapping.java",2,2,2,1,14,0,7,6,,,,,1,0,1,6,,6,6,2,6,,0,0,0,6,,132,17,60,23,28,55,,,,30,45,23,22,,,,,,3,3,3,1,,,2,,,,0,92,12,12,12,6
File,"AbstractPackageDisseminator.java",5,4,5,1,47,3,22,23,,,,,1,0,0,3,,3,3,3,3,,0,0,2,1,,201,17,91,46,49,96,,,,51,68,41,27,,,,,,13,11,13,1,,,4,,,,1,05,16,14,16,3
File,"AbstractPackageIngester.java",4,4,4,1,48,2,16,29,,,,,1,0,1,7,,7,7,5,7,,0,0,3,4,,428,35,151,63,77,248,,,,69,102,54,48,,,,,,12,12,14,1,,,7,,,,1,64,30,30,34,7
File,"AbstractPackagerWrappingCrosswalk.java",1,1,1,1,14,0,3,11,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,102,9,18,9,6,75,,,,8,13,9,4,,,,,,1,1,1,1,,,0,,,,4,17,4,4,4,4
File,"AbstractProcessingStep.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,10,2,,0,0,0,2,,48,5,32,31,12,11,,,,28,29,29,0,,,,,,0,0,0,0,,,0,,,,0,34,0,0,0,0
File,"AbstractQueryResolverTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,4,7,,0,0,5,2,,69,12,49,30,14,8,,,,29,37,28,9,,,,,,1,1,1,1,,,0,,,,0,16,7,7,7,7
