Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActivityScope.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,3,10,9,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"ApiModule.java",1,1,1,1,6,0,6,0,,,,,1,8,1,9,,9,0,0,8,,5,0,1,2,,107,20,84,49,32,6,,,,34,43,32,11,,,,,,1,1,1,1,,,0,,,,0,07,9,9,9,9
File,"AppBindingModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,19,4,12,11,0,3,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"AppComponent.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,6,6,0,6,,6,0,0,0,,46,13,30,28,0,3,,,,18,20,20,0,,,,,,0,0,0,0,,,0,,,,0,10,0,0,0,0
File,"AppDataBindingComponent.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,2,2,0,2,,2,0,0,0,,27,7,16,14,0,4,,,,8,10,10,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"AppDataBindingModule.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,1,0,0,0,,23,5,15,12,1,3,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,0,20,1,1,1,1
File,"AppModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,4,11,10,0,3,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"BaseActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,2,7,,0,0,3,4,,67,15,49,30,11,3,,,,26,34,23,11,,,,,,1,1,1,1,,,0,,,,0,06,7,7,7,7
File,"BaseFragment.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,53,14,36,21,9,3,,,,19,25,16,9,,,,,,1,1,1,1,,,0,,,,0,08,5,5,5,5
File,"BasePresenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,13,5,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"BasePresenterImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,29,8,18,10,5,3,,,,8,12,8,4,,,,,,1,1,1,1,,,0,,,,0,17,3,3,3,3
File,"BaseSchedulerProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,20,6,11,10,0,3,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"BaseTest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,30,10,17,16,0,3,,,,14,15,15,0,,,,,,0,0,0,0,,,0,,,,0,18,0,0,0,0
