Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAdapterItem.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,0,0,0,4,,41,7,10,9,0,24,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,2,40,0,0,0,0
File,"AbstractExpandableAdapterItem.java",1,1,1,1,7,0,4,3,,,,,2,0,0,9,,12,12,3,12,,2,0,3,7,,136,19,58,23,21,59,,,,23,39,21,18,,,,,,3,3,5,1,,,2,,,,1,02,14,14,16,9
File,"AdapterItemUtil.java",2,2,2,1,13,0,8,5,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,29,6,13,6,6,10,,,,7,10,6,4,,,,,,2,2,2,1,,,1,,,,0,77,2,2,2,1
File,"BaseAdapterItem.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,29,6,18,9,6,5,,,,12,15,9,6,,,,,,1,1,1,1,,,0,,,,0,28,2,2,2,2
File,"BaseExpandableAdapter.java",3,3,3,1,13,0,9,3,,,,,2,0,0,30,,33,33,5,33,,2,6,3,22,,544,57,335,118,185,152,,,,162,255,116,139,,,,,,11,11,14,6,,,6,,,,0,45,92,92,116,35
File,"Company.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,35,9,26,15,7,0,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"CompanyItem.java",1,1,1,1,7,0,7,0,,,,,2,0,0,6,,6,6,3,6,,0,0,0,6,,70,12,55,23,25,3,,,,31,39,19,20,,,,,,2,2,2,1,,,1,,,,0,05,7,7,7,6
File,"Department.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,37,9,28,15,9,0,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"DepartmentItem.java",1,1,2,1,8,0,8,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,81,11,67,29,32,3,,,,38,49,23,26,,,,,,3,3,4,1,,,2,,,,0,04,11,11,13,6
File,"Employee.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"EmployeeItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,35,10,25,15,5,0,,,,9,15,11,4,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"ExpandableListItem.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,30,5,7,6,0,18,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,57,0,0,0,0
File,"MainActivity.java",2,1,2,1,20,1,12,6,,,,,4,0,0,10,,10,10,7,10,,0,2,1,7,,184,20,125,45,77,39,,,,75,95,47,48,,,,,,4,4,4,4,,,3,,,,0,31,21,19,21,13
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.zaihuishou",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
