Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BookmarkActivity.java",2,2,2,1,14,1,13,0,,,,,1,1,2,4,,4,3,2,4,,0,1,1,2,,95,16,75,33,41,4,,,,48,59,31,28,,,,,,4,4,4,1,,,2,,,,0,05,11,10,11,4
File,"BookmarkAdapter.java",1,1,1,1,5,0,5,0,,,,,2,0,0,8,,8,8,4,8,,0,0,0,8,,85,17,64,31,24,4,,,,37,49,27,22,,,,,,2,2,3,1,,,1,,,,0,06,10,10,11,8
File,"BroadcastEvent.java",0,0,0,0,0,0,0,0,,,,,2,0,1,0,,0,0,0,0,,0,0,0,0,,12,3,6,4,1,3,,,,2,4,4,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"CustomFormatter.java",5,5,5,1,31,0,31,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,58,6,52,21,31,0,,,,35,41,19,22,,,,,,5,5,5,1,,,3,,,,0,00,5,5,5,1
File,"DbUtils.java",1,1,1,1,4,0,4,0,,,,,1,7,2,8,,8,1,0,8,,0,1,0,7,,69,15,51,23,21,3,,,,26,38,23,15,,,,,,3,3,3,1,,,1,,,,0,06,11,11,11,8
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FakeGpsApp.java",1,1,1,1,6,0,6,0,,,,,1,2,2,5,,5,3,0,5,,0,1,1,3,,62,12,47,19,19,3,,,,23,34,17,17,,,,,,3,3,3,1,,,2,,,,0,06,9,9,9,5
File,"FakeGpsUtils.java",1,1,1,1,8,0,8,0,,,,,1,4,1,5,,5,1,0,5,,0,1,0,4,,65,12,50,23,28,3,,,,27,37,23,14,,,,,,3,3,3,1,,,2,,,,0,06,9,9,9,5
File,"FlyToActivity.java",1,1,1,1,10,0,9,0,,,,,4,1,1,14,,14,13,9,14,,0,5,2,7,,204,33,167,70,92,4,,,,98,123,68,55,,,,,,5,5,6,1,,,4,,,,0,02,25,25,26,14
