Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"FilterMenu.java",1,1,1,1,5,0,4,0,,,,,5,0,0,28,,31,31,13,31,,3,0,0,28,,224,38,171,71,72,15,,,,91,131,71,60,,,,,,3,3,3,1,,,1,,,,0,09,34,34,34,28
File,"FilterMenuDrawable.java",1,1,1,1,4,0,4,0,,,,,2,0,0,16,,14,16,8,16,,0,5,0,11,,120,19,93,50,40,8,,,,50,67,42,25,,,,,,2,2,2,1,,,1,,,,0,09,17,17,17,16
File,"FilterMenuLayout.java",2,2,2,1,13,0,11,1,,,,,5,6,6,52,,52,46,34,52,,6,10,9,27,,898,107,665,210,418,126,,,,379,499,203,296,,,,,,21,21,22,11,,,4,,,,0,19,129,127,142,66
File,"IMenu.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,11,1,7,6,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"MainActivity.java",1,1,1,1,8,0,7,0,,,,,2,0,0,10,,10,10,1,10,,0,4,1,5,,119,17,97,33,59,6,,,,37,49,31,18,,,,,,2,2,2,1,,,1,,,,0,06,11,11,11,10
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.linroid",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.linroid.filtermenu",1,1,1,1,7,0,6,0,,,,,3,0,0,,2,,11,1,11,,0,4,1,6,,132,19,105,38,60,9,,,,41,55,36,19,,,,,,2,2,2,1,,,1,,,,0,09,12,12,12,11
Public Class,"com.linroid.filtermenu.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"com.linroid.filtermenu.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
