Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccelerationInitializer.java",1,1,1,1,8,0,8,0,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,34,8,26,14,11,0,,,,17,21,13,8,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"AccelerationModifier.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,22,6,16,9,5,0,,,,9,12,8,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AlphaModifier.java",1,1,1,1,7,0,7,0,,,,,1,0,0,3,,3,3,7,3,,0,0,0,3,,45,9,36,17,15,0,,,,23,29,16,13,,,,,,3,3,3,1,,,1,,,,0,00,5,5,5,3
File,"AnimatedParticle.java",4,4,4,3,15,0,15,0,,,,,1,0,0,2,,2,2,2,2,,1,0,0,1,,45,6,38,12,20,1,,,,22,31,13,18,,,,,,6,6,6,6,,,3,,,,0,03,8,8,8,7
File,"BaseRefreshDrawable.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,14,14,1,14,,2,0,2,10,,78,18,60,39,12,0,,,,26,38,29,9,,,,,,2,2,2,1,,,1,,,,0,00,12,12,12,8
File,"BezierCurveHelper.java",1,1,1,1,8,0,4,4,,,,,1,2,0,2,,2,0,0,2,,2,0,0,0,,22,2,12,4,5,8,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,67,2,2,2,2
File,"Bubble.java",1,1,1,1,4,0,4,0,,,,,3,2,0,61,,61,59,23,61,,57,4,0,0,,368,73,287,96,131,8,,,,139,211,94,117,,,,,,5,5,7,3,,,1,,,,0,03,73,73,76,63
File,"ClassicFireworksDrawer.java",2,2,2,1,19,2,16,0,,,,,1,0,1,5,,5,5,5,5,,1,2,0,2,,123,20,103,37,68,1,,,,59,74,38,36,,,,,,6,6,7,3,,,2,,,,0,01,13,13,14,7
File,"Configuration.java",1,1,1,1,5,0,3,2,,,,,2,1,0,27,,25,26,11,27,,15,0,0,12,,212,30,115,49,38,67,,,,55,85,49,36,,,,,,3,3,3,3,,,2,,,,0,58,30,30,30,29
File,"FireworkRefreshDrawable.java",1,1,2,1,12,1,10,0,,,,,8,0,10,39,,39,39,28,39,,6,16,2,15,,591,95,444,140,290,52,,,,241,314,133,181,,,,,,8,8,10,3,,,2,,,,0,12,77,77,86,41
File,"FireworksDrawer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,8,2,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"FireworkyPullToRefreshLayout.java",2,2,2,1,14,0,11,1,,,,,7,0,7,27,,29,29,24,29,,3,7,6,13,,537,63,387,127,240,87,,,,224,288,121,167,,,,,,11,7,14,9,,,3,,,,0,22,69,61,77,46
File,"ListViewFragment.java",1,1,1,1,6,0,6,0,,,,,5,0,3,8,,8,8,4,8,,1,0,0,7,,107,17,89,45,33,1,,,,48,61,37,24,,,,,,2,2,2,1,,,1,,,,0,01,9,9,9,8
File,"MainActivity.java",2,2,2,1,11,1,10,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,20,4,16,6,7,0,,,,6,9,5,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"ModernFireworksDrawer.java",2,2,2,1,11,1,10,1,,,,,1,0,1,5,,5,5,4,5,,1,2,0,2,,86,15,71,33,37,5,,,,45,57,32,25,,,,,,4,4,4,1,,,2,,,,0,07,10,10,10,5
File,"Particle.java",1,1,1,1,3,0,3,0,,,,,1,0,0,34,,34,34,22,34,,7,0,1,26,,209,44,164,67,66,1,,,,90,128,68,60,,,,,,3,3,3,1,,,1,,,,0,01,37,37,37,34
