Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FlabbyLayout.java",1,1,1,1,6,0,6,0,,,,,1,0,2,15,,15,15,12,15,,0,6,2,7,,143,19,124,46,66,0,,,,79,99,43,56,,,,,,5,5,6,1,,,2,,,,0,00,23,21,24,15
File,"FlabbyListView.java",2,2,2,1,10,0,8,0,,,,,3,0,2,15,,16,16,12,16,,0,8,1,7,,201,27,162,53,90,12,,,,89,122,54,68,,,,,,5,5,6,1,,,3,,,,0,07,33,31,34,15
File,"ListAdapter.java",1,1,1,1,5,0,5,0,,,,,2,0,0,6,,6,6,4,6,,0,0,0,6,,75,13,59,34,18,3,,,,35,44,29,15,,,,,,2,2,2,1,,,1,,,,0,05,7,7,7,6
File,"MainActivity.java",1,1,1,1,7,0,6,1,,,,,1,0,1,4,,4,4,1,4,,0,1,1,2,,56,10,42,22,17,4,,,,27,34,20,14,,,,,,2,2,2,1,,,1,,,,0,10,6,6,6,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.jpardogo",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.jpardogo.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.jpardogo.android.flabbylistview",1,1,1,1,6,0,5,0,,,,,3,0,1,,2,,10,5,10,,0,1,1,8,,131,23,101,56,35,7,,,,62,78,49,29,,,,,,2,2,2,1,,,1,,,,0,07,13,13,13,10
Public Class,"com.jpardogo.android.flabbylistview.ListAdapter",1,1,1,1,5,0,5,0,1,2,2,0,,0,0,,,,5,3,5,5,0,0,0,5,,55,8,44,19,18,3,,,,20,29,14,15,,,,,,2,2,2,1,,2,1,,60,53,0,07,6,6,6,5
Public Constructor,"com.jpardogo.android.flabbylistview.ListAdapter.ListAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Static Class,"com.jpardogo.android.flabbylistview.ListAdapter.ViewHolder",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,1,1,1,0,0,0,1,,8,1,7,4,1,0,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,100,100,0,00,1,1,1,1
Public Constructor,"com.jpardogo.android.flabbylistview.ListAdapter.ViewHolder.ViewHolder",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jpardogo.android.flabbylistview.ListAdapter.getCount",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jpardogo.android.flabbylistview.ListAdapter.getItem",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jpardogo.android.flabbylistview.ListAdapter.getItemId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.jpardogo.android.flabbylistview.ListAdapter.getView",,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,1,14,3,10,0,11,2,0,9,11,3,8,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Class,"com.jpardogo.android.flabbylistview.MainActivity",1,1,1,1,7,0,6,1,1,1,1,0,,0,1,,,,4,1,4,4,0,1,1,2,,43,6,33,13,17,4,,,,18,25,11,14,,,,,,2,2,2,1,,2,1,,75,75,0,12,6,6,6,4
