Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbsListViewScrollDetector.java",2,2,2,1,6,0,6,0,,,,,1,0,0,6,,8,8,4,8,,2,2,0,4,,64,11,53,22,23,0,,,,26,39,20,19,,,,,,6,6,6,1,,,3,,,,0,00,12,12,13,6
File,"DividerItemDecoration.java",1,1,2,1,9,0,9,0,,,,,1,0,3,6,,6,6,2,6,,0,0,0,6,,104,15,74,41,41,15,,,,46,58,38,20,,,,,,2,2,3,1,,,1,,,,0,20,11,11,12,6
File,"FloatingActionButton.java",1,1,1,1,6,0,6,0,,,,,7,2,3,66,,66,64,17,66,,0,19,1,46,,570,88,481,184,228,1,,,,223,328,153,175,,,,,,7,7,9,4,,,2,,,,0,00,104,104,108,69
File,"ListViewAdapter.java",1,1,1,1,6,0,6,0,,,,,2,0,0,5,,5,5,3,5,,0,0,0,5,,58,10,48,25,18,0,,,,27,35,21,14,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"MainActivity.java",1,1,1,1,9,0,8,0,,,,,10,0,0,21,,21,21,0,21,,0,1,1,19,,208,31,177,67,103,0,,,,81,110,72,38,,,,,,2,2,2,1,,,1,,,,0,00,24,24,24,21
File,"ObservableScrollView.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,6,6,1,6,,1,0,1,4,,39,10,29,14,7,0,,,,12,20,13,7,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"RecyclerViewAdapter.java",1,1,1,1,4,0,4,0,,,,,2,0,0,5,,5,5,3,5,,0,0,0,5,,46,8,38,23,12,0,,,,21,28,20,8,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"RecyclerViewScrollDetector.java",2,2,2,1,6,0,6,0,,,,,1,0,0,2,,4,4,1,4,,2,0,0,2,,27,6,21,10,7,0,,,,9,14,9,5,,,,,,3,3,3,1,,,2,,,,0,00,4,4,4,2
File,"ScrollDirectionListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,7,2,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ScrollViewScrollDetector.java",2,2,2,1,7,0,7,0,,,,,1,0,0,2,,4,4,2,4,,2,0,0,2,,29,6,23,11,8,0,,,,11,16,10,6,,,,,,3,3,3,1,,,2,,,,0,00,4,4,4,2
