Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimalFragment.java",1,1,1,1,9,0,8,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,57,8,29,21,12,20,,,,17,20,17,3,,,,,,1,1,1,1,,,0,,,,0,69,2,2,2,2
File,"BuildConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,1,4,3,1,1,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"FoldingDrawerLayoutActivity.java",1,1,1,1,10,1,7,2,,,,,4,0,0,14,,14,14,7,14,,0,1,2,11,,250,38,136,62,63,83,,,,73,92,51,41,,,,,,2,2,2,1,,,1,,,,0,61,16,16,16,14
File,"R.java",0,0,0,0,0,0,0,0,,,,,15,0,670,0,,0,0,0,0,,0,0,0,0,,3024,121,749,728,684,2154,,,,672,686,686,0,,,,,,0,0,0,0,,,0,,,,2,88,0,0,0,0
File,"R.java",0,0,0,0,0,0,0,0,,,,,6,0,7,0,,0,0,0,0,,0,0,0,0,,27,1,20,14,7,6,,,,8,14,14,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"R.java",0,0,0,0,0,0,0,0,,,,,13,0,563,0,,0,0,0,0,,0,0,0,0,,597,1,590,577,562,6,,,,564,577,577,0,,,,,,0,0,0,0,,,0,,,,0,01,0,0,0,0
Package,"android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.support",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.support.v7",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.support.v7.appcompat",0,0,0,0,0,0,0,0,,,,,13,0,563,,1,,0,0,0,,0,0,0,0,,597,1,590,577,562,6,,,,564,577,577,0,,,,,,0,0,0,0,,,0,,,,0,01,0,0,0,0
