Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"$.java",1,1,2,1,5,0,5,0,,,,,1,32,0,32,,32,0,0,32,,0,0,0,32,,222,38,184,66,96,0,,,,88,156,74,82,,,,,,3,3,3,3,,,2,,,,0,00,63,63,64,44
File,"AndroidLauncher.java",1,1,1,1,11,3,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,27,7,17,10,6,3,,,,12,14,9,5,,,,,,1,1,1,1,,,0,,,,0,18,1,1,1,1
File,"Antialiasing.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,9,4,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Archive.java",1,1,1,1,4,0,3,0,,,,,1,0,2,5,,5,5,8,5,,0,0,0,5,,77,18,37,25,16,22,,,,25,31,24,7,,,,,,1,1,1,1,,,0,,,,0,59,5,5,5,5
File,"ArchiveController.java",1,1,1,1,10,0,5,3,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,73,13,40,16,18,20,,,,22,32,16,16,,,,,,3,3,3,1,,,1,,,,0,50,9,9,9,5
File,"AsyncLoadImage.java",1,1,1,1,6,0,4,1,,,,,1,0,0,11,,11,9,6,9,,0,2,0,7,,100,18,66,25,33,16,,,,37,53,25,28,,,,,,5,5,5,1,,,1,,,,0,24,17,17,18,11
File,"BaseItem.java",2,2,2,1,5,0,5,0,,,,,1,1,1,5,,5,4,10,5,,0,0,0,5,,78,12,48,27,19,18,,,,35,42,27,15,,,,,,6,6,6,1,,,1,,,,0,38,11,11,11,5
File,"Bias.java",1,1,1,1,2,0,2,0,,,,,2,0,0,10,,8,10,5,10,,0,1,1,8,,76,13,42,20,12,21,,,,18,27,15,12,,,,,,1,1,1,1,,,0,,,,0,50,10,10,10,10
File,"Bloom.java",1,1,1,1,5,0,4,0,,,,,2,0,0,30,,30,30,17,30,,0,0,0,30,,258,53,180,67,80,27,,,,104,138,62,76,,,,,,3,3,4,1,,,1,,,,0,15,32,32,33,30
File,"Blur.java",1,1,1,1,10,1,8,1,,,,,3,0,0,19,,15,19,14,19,,0,5,0,14,,270,51,178,53,115,43,,,,122,151,54,97,,,,,,8,5,8,1,,,2,,,,0,24,33,30,33,19
File,"Buff.java",1,1,1,1,5,0,5,0,,,,,1,3,1,4,,4,1,5,4,,0,0,0,4,,64,12,40,24,14,12,,,,29,35,24,11,,,,,,3,3,3,1,,,1,,,,0,30,7,7,7,4
File,"BuffType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,11,1,5,4,0,5,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,1,00,2,2,2,2
File,"Button.java",1,1,1,1,4,0,3,1,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,20,3,11,6,2,6,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,55,2,2,2,2
File,"Callback.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"CameraBlur.java",1,1,1,1,3,0,3,0,,,,,2,0,0,16,,14,16,14,16,,0,1,1,14,,115,20,77,32,31,18,,,,38,54,25,29,,,,,,2,2,2,1,,,1,,,,0,23,17,17,17,16
File,"CameraMotion.java",1,1,1,1,4,0,4,0,,,,,1,0,0,10,,10,10,4,10,,0,0,0,10,,87,14,55,24,21,18,,,,28,39,20,19,,,,,,2,2,2,1,,,1,,,,0,33,11,11,11,10
File,"CollideType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,6,2,,0,0,0,2,,13,1,9,8,0,9,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,1,00,2,2,2,2
File,"Combine.java",1,1,1,1,3,0,3,0,,,,,2,0,0,18,,16,18,13,18,,0,1,1,16,,128,24,87,32,38,17,,,,46,63,26,37,,,,,,1,1,1,1,,,0,,,,0,20,18,18,18,18
