Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BuildConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,13,1,9,8,6,3,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,33,0,0,0,0
File,"MainActivity.java",1,1,1,1,17,3,13,0,,,,,19,0,2,23,,23,23,16,23,,1,0,1,21,,323,69,247,77,168,7,,,,157,182,88,94,,,,,,1,1,1,1,,,0,,,,0,03,23,23,23,23
File,"R.java",0,0,0,0,0,0,0,0,,,,,12,0,85,0,,0,0,0,0,,0,0,0,0,,120,2,110,98,85,8,,,,86,98,98,0,,,,,,0,0,0,0,,,0,,,,0,07,0,0,0,0
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.martinrgb",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.martinrgb.giftcard_android",1,1,1,1,16,3,12,0,,,,,33,0,93,,4,,24,16,24,,1,0,1,22,,469,74,374,188,260,21,,,,254,294,199,95,,,,,,1,1,1,1,,,0,,,,0,06,24,24,24,24
Public Class,"com.example.martinrgb.giftcard_android.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"com.example.martinrgb.giftcard_android.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.example.martinrgb.giftcard_android.BuildConfig",0,0,0,0,0,0,0,0,1,0,0,0,,0,6,,,,0,0,0,0,0,0,0,0,,11,0,8,7,6,3,,,,6,7,7,0,,,,,,0,0,0,0,,1,0,,0,0,0,38,0,0,0,0
Public Class,"com.example.martinrgb.giftcard_android.MainActivity",1,1,1,1,148,30,111,7,1,4,4,0,,0,2,,,,1,15,1,1,0,0,1,0,,294,65,222,52,168,7,,,,132,157,63,94,,,,,,1,1,1,1,,2,0,,6,6,0,03,1,1,1,1
Public Class,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener",1,1,1,1,21,5,16,0,2,0,0,0,,0,0,,,,5,1,5,5,1,0,0,4,,122,31,91,29,67,0,,,,50,62,30,32,,,,,,1,1,1,1,,1,0,,80,80,0,00,5,5,5,5
Constructor,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.ViewSpringListener",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.onSpringActivate",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.onSpringAtRest",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.onSpringEndStateChange",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.onSpringUpdate",,,,,,,,,,,,,,,,,,,,,,,,,,,0,99,24,75,19,66,0,1,1,0,48,55,24,31,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.onSpringUpdate.(Anon_12)",1,1,1,1,33,8,25,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,35,8,27,8,25,0,,,,22,23,8,15,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.onSpringUpdate.(Anon_12).run",,,,,,,,,,,,,,,,,,,,,,,,,,,8,33,8,25,8,23,0,9,1,0,22,23,8,15,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.example.martinrgb.giftcard_android.MainActivity.ViewSpringListener.onSpringUpdate.(Anon_13)",1,1,1,1,9,3,6,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,11,3,8,2,7,0,,,,4,5,3,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
