Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DisplayUtils.java",1,1,1,1,7,0,5,2,,,,,1,11,1,11,,11,0,0,11,,0,0,0,11,,109,16,70,31,30,23,,,,33,50,29,21,,,,,,4,4,4,1,,,2,,,,0,33,16,16,18,11
File,"GuideHelper.java",2,2,2,1,14,0,13,1,,,,,7,0,3,29,,29,29,20,29,,0,3,0,26,,533,65,415,109,271,53,,,,240,317,113,204,,,,,,33,25,36,7,,,2,,,,0,13,78,70,85,39
File,"InnerChildRelativeLayout.java",3,3,3,1,11,0,11,0,,,,,1,0,0,4,,4,4,0,4,,0,0,1,3,,63,5,55,21,30,3,,,,30,43,21,22,,,,,,9,9,9,1,,,3,,,,0,05,12,12,12,4
File,"MainActivity.java",1,1,1,1,15,3,11,0,,,,,4,0,0,4,,4,4,4,4,,0,0,1,3,,82,23,57,25,37,2,,,,40,45,26,19,,,,,,1,1,1,1,,,0,,,,0,04,4,4,4,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.shizhefei",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.shizhefei.guide",2,2,2,1,14,0,12,1,,,,,8,0,3,,2,,33,20,33,,0,3,1,29,,596,70,470,130,301,56,,,,270,360,134,226,,,,,,33,25,36,7,,,3,,,,0,12,90,82,97,43
Public Class,"com.shizhefei.guide.GuideHelper",4,3,4,1,25,1,21,2,1,3,3,0,,0,2,,,,14,8,14,14,0,3,0,11,,489,59,389,83,271,41,,,,214,291,87,204,,,,,,33,25,36,7,,1,2,,80,70,0,11,57,49,61,24
Anonymous Class,"com.shizhefei.guide.GuideHelper.(Anon_3)",3,3,4,1,7,0,7,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,8,1,6,0,,,,2,5,1,4,,,,,,3,3,4,1,,2,1,,0,0,0,00,3,3,4,1
Public Method,"com.shizhefei.guide.GuideHelper.(Anon_3).handleMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,0,5,0,3,3,0,2,5,1,4,3,3,4,1,1,,,,,0,,1,0,,,0,00,3,3,4,1
Public Constructor,"com.shizhefei.guide.GuideHelper.GuideHelper",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.shizhefei.guide.GuideHelper.TipData",1,1,1,1,4,0,4,0,1,0,0,0,,0,1,,,,10,9,10,10,0,0,0,10,,75,13,56,21,27,6,,,,34,45,21,24,,,,,,1,1,1,1,,1,0,,83,76,0,11,10,10,10,10
