Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutThisApp.java",2,2,2,1,8,1,7,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,44,7,22,9,8,15,,,,10,15,7,8,,,,,,2,2,2,1,,,1,,,,0,68,4,4,4,2
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ImageTransition.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,0,6,,0,0,0,6,,72,10,37,22,8,25,,,,16,23,16,7,,,,,,1,1,1,1,,,0,,,,0,68,6,6,6,6
File,"ImageTransitionCompat.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,63,7,28,16,7,28,,,,12,17,11,6,,,,,,1,1,1,1,,,0,,,,1,00,4,4,4,4
File,"ImageTransitionCompatHelper.java",2,2,2,1,19,2,12,3,,,,,1,3,1,3,,3,0,0,3,,3,0,0,0,,96,16,50,24,26,30,,,,27,35,20,15,,,,,,3,3,3,3,,,1,,,,0,60,7,7,8,5
File,"ImageTransitionUtil.java",3,3,3,1,28,3,13,11,,,,,3,1,1,5,,5,4,0,5,,0,0,0,5,,145,21,59,11,35,65,,,,16,36,17,19,,,,,,4,4,4,1,,,3,,,,1,10,15,15,15,5
File,"ImageViewTouchListener.java",3,2,3,1,13,2,11,0,,,,,2,0,0,5,,5,5,13,5,,1,2,0,2,,121,23,80,31,47,18,,,,50,62,30,32,,,,,,9,6,9,1,,,3,,,,0,23,16,13,16,5
File,"MainActivity.java",3,3,3,2,16,1,14,1,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,97,11,60,21,34,29,,,,30,40,18,22,,,,,,7,7,7,4,,,3,,,,0,48,9,9,9,6
File,"MainFragment.java",1,1,1,1,17,3,13,1,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,73,11,34,22,14,28,,,,23,26,20,6,,,,,,1,1,1,1,,,0,,,,0,82,2,2,2,2
File,"SecondActivity.java",1,1,1,1,11,1,7,3,,,,,1,0,1,3,,3,3,1,3,,0,0,1,2,,83,13,35,16,14,35,,,,20,26,13,13,,,,,,2,2,2,1,,,1,,,,1,00,5,5,5,3
File,"TransitionImageView.java",1,1,1,1,8,0,6,0,,,,,3,0,4,32,,30,32,15,32,,1,8,2,21,,425,78,257,98,129,90,,,,133,181,81,100,,,,,,6,6,7,6,,,3,,,,0,35,51,51,53,40
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.appeaser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.appeaser.imagetransition",2,2,2,1,12,1,9,0,,,,,9,0,1,,7,,17,16,17,,1,2,3,11,,446,70,248,110,119,131,,,,141,181,98,83,,,,,,9,7,9,4,,,3,,,,0,53,38,35,38,20
Public Class,"com.appeaser.imagetransition.AboutThisApp",2,2,2,1,8,1,7,0,1,0,0,0,,0,0,,,,2,0,2,2,0,0,1,1,,22,4,18,5,8,0,,,,6,11,3,8,,,,,,2,2,2,1,,2,1,,0,0,0,00,4,4,4,2
Protected Method,"com.appeaser.imagetransition.AboutThisApp.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,7,1,4,0,4,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.appeaser.imagetransition.AboutThisApp.onOptionsItemSelected",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,7,1,4,0,4,2,0,3,5,1,4,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Class,"com.appeaser.imagetransition.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"com.appeaser.imagetransition.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.appeaser.imagetransition.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,5,3,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,0,60,1,1,1,1
Public Method,"com.appeaser.imagetransition.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
