Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AlphaCrossFadeAnimator.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,17,3,11,6,2,3,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,27,2,2,2,2
File,"AlphaInAnimator.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,7,1,3,2,0,3,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"BaseItemAnimator.java",2,2,2,1,15,0,13,1,,,,,12,0,2,46,,54,54,23,54,,2,11,0,41,,776,66,593,154,399,117,,,,336,453,171,282,,,,,,18,18,22,4,,,4,,,,0,20,115,115,137,51
File,"BaseScaleAnimator.java",2,2,2,1,20,1,17,2,,,,,1,0,0,1,,4,4,0,4,,0,0,0,4,,51,6,25,13,14,20,,,,19,22,13,9,,,,,,2,2,2,1,,,1,,,,0,80,2,2,2,1
File,"DefaultAnimator.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,48,12,30,13,8,6,,,,12,21,13,8,,,,,,1,1,1,1,,,0,,,,0,20,8,8,8,8
File,"DefaultItemAnimator.java",2,2,3,1,15,0,14,0,,,,,12,0,1,40,,40,40,22,40,,1,12,0,27,,645,42,557,135,395,46,,,,316,426,152,274,,,,,,18,18,22,4,,,4,,,,0,08,107,107,128,45
File,"ImageDummyData.java",2,2,2,1,17,0,17,11,,,,,1,3,0,3,,3,0,0,3,,0,1,0,2,,70,7,60,12,44,37,,,,14,22,13,9,,,,,,3,3,3,3,,,1,,,,0,62,6,6,6,5
File,"ImageItem.java",1,1,1,1,7,0,5,0,,,,,2,0,0,8,,8,8,7,8,,0,0,0,8,,110,20,78,44,29,12,,,,51,61,37,24,,,,,,1,1,1,1,,,0,,,,0,15,8,8,8,8
File,"SampleActivity.java",2,1,2,1,15,0,13,1,,,,,5,0,0,13,,11,13,14,13,,1,0,2,10,,256,25,208,79,116,23,,,,118,144,71,73,,,,,,12,8,12,1,,,2,,,,0,11,29,25,30,13
File,"ScaleUpAnimator.java",1,1,1,1,3,0,3,0,,,,,1,0,0,11,,11,11,0,11,,0,0,0,11,,60,13,44,16,16,3,,,,20,32,16,16,,,,,,1,1,1,1,,,0,,,,0,07,11,11,11,11
