Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ChangesDetector.java",3,3,3,1,18,1,16,0,,,,,3,0,0,4,,10,10,2,10,,6,2,0,2,,134,26,93,47,45,15,,,,53,67,36,31,,,,,,4,4,5,3,,,3,,,,0,16,12,12,13,6
File,"ChangesDetectorTest.java",1,1,1,1,6,0,5,0,,,,,3,0,0,19,,19,19,4,19,,0,0,0,19,,179,34,130,44,65,15,,,,70,91,34,57,,,,,,1,1,2,1,,,0,,,,0,12,19,19,20,19
File,"ChatMessage.java",1,1,1,1,5,0,4,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,69,12,42,20,17,15,,,,18,27,13,14,,,,,,3,3,4,3,,,1,,,,0,36,8,8,9,8
File,"DataMessage.java",1,1,1,1,5,0,5,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,71,12,44,20,19,15,,,,20,31,13,18,,,,,,5,5,5,5,,,1,,,,0,34,10,10,10,10
File,"ErrorMessage.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,60,11,34,16,14,15,,,,15,24,11,13,,,,,,4,4,4,4,,,1,,,,0,44,8,8,8,8
File,"GsonObjectSerializer.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,74,12,47,25,13,15,,,,16,25,14,11,,,,,,2,2,2,1,,,1,,,,0,32,8,8,8,6
File,"LoggingObservables.java",1,1,1,1,5,0,5,0,,,,,3,4,0,10,,10,6,0,10,,0,0,0,10,,77,13,49,16,22,15,,,,15,26,18,8,,,,,,2,2,2,1,,,0,,,,0,31,11,11,11,10
File,"MainActivity.java",1,1,1,1,14,0,13,0,,,,,5,0,1,9,,9,9,3,9,,0,1,1,7,,171,23,133,57,79,16,,,,67,82,56,26,,,,,,3,3,4,1,,,1,,,,0,12,13,13,14,9
File,"MainAdapter.java",1,1,1,1,4,0,4,0,,,,,3,0,0,10,,12,12,7,12,,0,0,0,12,,117,27,90,53,27,0,,,,46,60,39,21,,,,,,3,3,3,1,,,1,,,,0,00,12,12,12,10
File,"MainPresenter.java",1,1,1,1,8,0,7,0,,,,,23,0,0,57,,57,57,20,57,,0,12,0,45,,462,64,381,121,207,17,,,,134,206,113,93,,,,,,5,5,8,3,,,2,,,,0,04,73,73,77,59
File,"Message.java",2,2,2,2,8,0,7,0,,,,,2,0,0,6,,6,6,1,6,,0,0,0,6,,95,17,63,30,27,15,,,,27,43,21,22,,,,,,7,7,7,6,,,1,,,,0,24,14,14,14,13
File,"MessageType.java",2,2,2,1,5,0,5,0,,,,,2,0,0,4,,2,4,7,4,,0,0,0,4,,64,11,38,19,13,15,,,,19,26,16,10,,,,,,4,4,4,3,,,1,,,,0,39,8,8,8,6
