Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimatedImageCapture.java",2,2,2,1,14,0,13,0,,,,,4,0,2,11,,11,11,11,11,,0,2,0,9,,224,24,193,70,110,10,,,,111,144,71,73,,,,,,13,13,16,7,,,1,,,,0,05,29,29,32,17
File,"AudioDemoFragment.java",2,1,2,1,11,0,10,0,,,,,1,0,1,4,,4,4,6,4,,0,0,1,3,,94,15,73,40,29,6,,,,44,51,29,22,,,,,,5,3,5,1,,,1,,,,0,08,8,6,8,4
File,"AudioFuncFragment.java",1,1,1,1,11,0,11,0,,,,,7,0,1,17,,17,17,10,17,,0,0,7,10,,230,27,198,81,108,5,,,,94,123,65,58,,,,,,8,8,13,1,,,1,,,,0,03,28,28,33,17
File,"AudioStreamingActivity.java",1,1,2,1,9,0,8,0,,,,,7,1,6,33,,33,32,24,33,,0,3,21,9,,429,47,358,111,205,24,,,,180,238,98,140,,,,,,7,4,7,1,,,3,,,,0,07,65,57,67,33
File,"AutoFocusCallback.java",1,1,1,1,6,0,6,0,,,,,1,0,2,2,,2,2,2,2,,1,0,0,1,,48,9,24,13,10,15,,,,15,19,13,6,,,,,,2,2,2,1,,,1,,,,0,62,3,3,3,2
File,"BaseCameraActivity.java",2,1,2,1,11,0,9,0,,,,,8,1,4,39,,39,38,32,39,,0,2,26,11,,564,59,464,140,276,43,,,,239,309,123,186,,,,,,9,8,9,4,,,2,,,,0,09,82,68,84,42
File,"BaseDemoFragment.java",3,2,3,1,20,1,17,1,,,,,1,0,1,5,,5,5,10,5,,0,0,2,3,,164,22,131,54,66,11,,,,74,89,40,49,,,,,,14,9,14,1,,,2,,,,0,08,19,14,19,5
File,"BluetoothHeadsetUtils.java",2,2,2,1,13,0,10,2,,,,,3,0,1,9,,9,9,8,9,,0,2,0,7,,176,21,125,33,74,30,,,,63,88,34,54,,,,,,9,9,9,3,,,3,,,,0,24,24,24,25,11
File,"CameraConfigurationManager.java",3,3,3,1,17,1,13,2,,,,,1,4,4,13,,13,9,5,13,,7,5,0,1,,281,46,194,59,123,42,,,,105,148,61,87,,,,,,14,14,16,5,,,3,,,,0,22,40,40,44,19
File,"CameraHintView.java",1,1,1,1,8,0,8,0,,,,,3,0,5,11,,11,11,9,11,,0,2,0,9,,138,19,116,43,66,3,,,,77,92,41,51,,,,,,3,3,3,1,,,1,,,,0,03,15,15,15,11
