Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ArgbEvaluator.java",1,1,1,1,22,1,9,12,,,,,1,1,1,2,,2,1,0,2,,0,0,0,2,,74,7,24,16,16,43,,,,15,18,16,2,,,,,,1,1,1,1,,,0,,,,1,79,2,2,2,2
File,"AttributesFragment.java",1,1,1,1,12,1,11,0,,,,,3,0,0,10,,10,10,9,10,,0,3,0,7,,146,18,123,41,72,5,,,,71,88,40,48,,,,,,5,5,5,1,,,1,,,,0,04,17,16,17,10
File,"CreatedFragment.java",1,1,1,1,9,0,8,0,,,,,5,0,2,11,,11,11,8,11,,0,2,0,9,,159,19,135,56,72,5,,,,76,92,50,42,,,,,,5,2,5,1,,,1,,,,0,04,16,13,16,11
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"HeartShapePathController.java",1,1,1,1,12,1,10,1,,,,,1,0,5,3,,3,3,16,3,,0,1,0,2,,77,10,57,30,30,10,,,,49,53,30,23,,,,,,1,1,1,1,,,0,,,,0,18,3,3,3,3
File,"LikeView.java",1,1,2,1,10,0,8,1,,,,,2,0,10,49,,49,49,36,49,,0,20,4,25,,692,79,485,154,287,137,,,,296,381,148,233,,,,,,14,14,18,1,,,3,,,,0,28,92,88,100,49
File,"LikeViewBuilder.java",1,1,1,1,8,0,5,2,,,,,1,0,0,18,,18,18,17,18,,0,0,0,18,,197,14,131,48,65,52,,,,93,112,48,64,,,,,,1,1,1,1,,,0,,,,0,40,18,18,18,18
