Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"App.java",1,1,1,1,3,0,3,0,,,,,1,1,0,3,,3,2,1,3,,0,0,0,3,,27,7,17,9,4,3,,,,9,14,9,5,,,,,,2,2,2,1,,,1,,,,0,18,4,4,4,3
File,"AppComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,28,8,17,16,0,3,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,0,18,0,0,0,0
File,"AppComponentBuilder.java",1,1,1,1,8,0,8,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,3,13,5,6,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,23,1,1,1,1
File,"AppComponentBuilder.java",1,1,1,1,13,0,13,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,32,4,25,12,11,3,,,,11,13,12,1,,,,,,1,1,1,1,,,0,,,,0,12,1,1,1,1
File,"AppModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,1,5,,4,0,0,1,,57,12,39,28,5,6,,,,21,27,22,5,,,,,,1,1,1,1,,,0,,,,0,15,5,5,5,5
File,"BaseActivity.java",1,1,1,1,4,0,4,0,,,,,1,1,0,22,,22,21,2,22,,0,0,4,18,,167,31,129,61,46,7,,,,58,91,45,46,,,,,,3,3,4,1,,,1,,,,0,05,33,33,34,22
File,"BasePresenter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,22,5,17,9,5,0,,,,9,13,9,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"BaseRecyclerAdapter.java",1,1,1,1,4,0,4,0,,,,,3,0,0,12,,14,14,2,14,,0,0,0,14,,86,17,66,28,29,3,,,,33,48,26,22,,,,,,3,3,3,1,,,1,,,,0,05,15,15,15,12
File,"BaseView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,11,4,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BitmapUtil.java",1,1,1,1,5,0,4,1,,,,,2,5,1,6,,6,1,2,6,,0,0,1,5,,59,10,44,22,19,7,,,,24,32,22,10,,,,,,2,2,2,1,,,1,,,,0,16,7,7,7,6
File,"DataModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,67,14,50,32,10,4,,,,25,33,25,8,,,,,,1,1,1,1,,,0,,,,0,08,7,7,7,7
File,"DataUtil.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,4,10,,0,0,0,10,,70,13,54,29,17,3,,,,29,42,26,16,,,,,,2,2,2,1,,,1,,,,0,06,14,14,14,10
File,"DevDataModule.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,35,6,26,16,6,4,,,,13,17,14,3,,,,,,1,1,1,1,,,0,,,,0,15,3,3,3,3
File,"DevServiceFactory.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,2,0,2,,32,6,23,11,7,3,,,,11,18,10,8,,,,,,2,2,3,1,,,1,,,,0,13,6,6,7,4
File,"DomainModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,5,0,0,0,,44,8,33,22,5,3,,,,15,21,16,5,,,,,,1,1,1,1,,,0,,,,0,09,5,5,5,5
File,"Environment.java",1,1,1,1,5,0,5,0,,,,,1,3,0,8,,8,5,4,8,,0,0,0,8,,59,11,48,16,23,1,,,,22,37,17,20,,,,,,6,6,7,6,,,4,,,,0,02,13,13,15,13
File,"GetEnvironmentInteractor.java",1,1,1,1,3,0,3,0,,,,,2,0,0,2,,3,3,1,3,,1,0,0,2,,21,5,13,7,2,3,,,,5,9,7,2,,,,,,1,1,1,1,,,0,,,,0,23,2,2,2,2
File,"GetEnvironmentsInteractor.java",1,1,1,1,3,0,3,0,,,,,2,0,0,2,,3,3,1,3,,1,0,0,2,,23,6,14,8,2,3,,,,6,10,8,2,,,,,,1,1,1,1,,,0,,,,0,21,2,2,2,2
File,"GetThingInteractor.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,18,4,11,6,2,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,27,2,2,2,2
File,"GetThingInteractorTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,34,9,22,15,5,3,,,,14,17,13,4,,,,,,1,1,1,1,,,0,,,,0,14,2,2,2,2
File,"GetThingListInteractor.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,21,7,14,7,3,0,,,,6,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"GetThingListInteractorTest.java",1,1,1,1,7,0,6,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,41,10,28,17,8,3,,,,18,23,16,7,,,,,,2,2,2,1,,,1,,,,0,11,3,3,3,2
