Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BlackList.java",1,1,1,1,2,0,2,0,,,,,3,0,0,14,,10,14,11,14,,0,0,0,14,,97,23,49,26,10,25,,,,19,30,20,10,,,,,,1,1,1,1,,,0,,,,0,51,14,14,14,14
File,"BlackListController.java",4,4,5,1,21,1,20,0,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,79,12,64,29,33,3,,,,39,47,24,23,,,,,,6,6,8,1,,,2,,,,0,05,9,9,11,2
File,"BlackListMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,25,7,15,14,0,3,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,20,0,0,0,0
File,"BlackListService.java",1,1,1,1,8,0,7,0,,,,,3,0,1,8,,8,8,4,8,,0,0,0,8,,95,20,72,34,31,3,,,,38,51,33,18,,,,,,2,2,3,1,,,1,,,,0,04,12,12,13,8
File,"CodeMap.java",2,2,2,1,16,0,6,10,,,,,1,1,4,1,,1,0,0,1,,0,0,0,1,,44,10,20,10,10,14,,,,12,15,9,6,,,,,,2,2,2,1,,,1,,,,0,70,2,2,2,1
File,"Config.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,4,8,,0,0,0,8,,49,14,32,15,8,3,,,,14,23,15,8,,,,,,1,1,1,1,,,0,,,,0,09,8,8,8,8
File,"ConfigController.java",3,3,4,1,17,0,16,0,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,69,9,57,29,27,3,,,,36,42,24,18,,,,,,4,4,5,1,,,2,,,,0,05,7,7,8,2
File,"ConfigMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,22,6,13,12,0,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,23,0,0,0,0
File,"ConfigService.java",1,1,1,1,7,0,7,0,,,,,3,0,1,8,,8,8,4,8,,0,0,0,8,,92,22,67,34,27,3,,,,37,49,33,16,,,,,,2,2,2,1,,,1,,,,0,04,11,11,11,8
File,"DimensionService.java",3,3,5,2,16,1,12,2,,,,,1,0,2,19,,19,19,4,19,,0,5,0,14,,386,61,270,79,167,55,,,,143,214,87,127,,,,,,7,7,12,5,,,2,,,,0,20,60,60,108,56
File,"DocumentDecoder.java",1,1,1,1,10,2,7,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,16,12,5,5,,,,11,13,11,2,,,,,,1,1,1,1,,,0,,,,0,31,1,1,1,1
File,"DruidConfiguration.java",1,1,1,1,8,0,8,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,64,8,53,26,23,6,,,,35,41,21,20,,,,,,2,2,2,1,,,1,,,,0,11,5,5,5,4
File,"EnumScene.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,3,2,,0,0,0,2,,12,3,6,5,0,3,,,,2,2,2,0,,,,,,1,1,1,1,,,0,,,,0,50,2,2,2,2
