Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Api.java",1,1,1,1,5,1,4,0,,,,,1,2,1,6,,6,4,3,6,,0,2,0,4,,58,20,35,18,13,3,,,,19,27,18,9,,,,,,2,2,2,1,,,1,,,,0,09,7,7,7,6
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"CustomMediaContoller.java",2,2,2,1,16,1,14,1,,,,,11,0,6,36,,37,37,38,37,,1,7,0,29,,632,75,520,139,351,37,,,,300,384,137,247,,,,,,10,7,15,1,,,2,,,,0,07,95,82,102,36
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"Gif.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,40,8,29,12,10,3,,,,11,18,11,7,,,,,,1,1,1,1,,,0,,,,0,10,6,6,6,6
File,"GifActivity.java",1,1,1,1,10,1,8,0,,,,,2,0,0,3,,3,3,6,3,,0,1,1,1,,66,14,50,30,17,2,,,,36,41,28,13,,,,,,2,2,2,1,,,1,,,,0,04,4,4,4,3
File,"GifRecyclerViewAdapter.java",2,1,2,1,14,2,11,0,,,,,11,0,0,24,,25,25,11,25,,1,0,0,24,,321,75,242,68,139,6,,,,112,163,74,89,,,,,,7,7,7,3,,,2,,,,0,02,48,47,48,26
File,"Gif_Fragment.java",1,1,1,1,12,1,11,0,,,,,6,1,0,13,,13,12,11,13,,0,2,0,11,,182,31,148,55,76,3,,,,84,106,52,54,,,,,,4,4,4,1,,,1,,,,0,02,21,21,21,13
File,"HttpService.java",1,1,1,1,3,0,3,0,,,,,4,0,0,32,,34,34,16,34,,2,0,0,32,,181,47,131,63,32,3,,,,57,93,61,32,,,,,,1,1,1,1,,,0,,,,0,02,32,32,32,32
File,"IMediaController.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8,8,0,8,,8,0,0,0,,41,10,13,12,0,18,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,1,38,0,0,0,0
File,"IRenderView.java",0,0,0,0,0,0,0,0,,,,,3,0,0,0,,16,16,6,16,,16,0,0,0,,86,20,40,37,6,28,,,,30,33,33,0,,,,,,0,0,0,0,,,0,,,,0,70,0,0,0,0
File,"IjkVideoView.java",2,2,3,1,13,0,11,1,,,,,9,2,11,72,,72,70,41,72,,0,13,0,59,,1242,146,944,224,633,154,,,,493,672,202,470,,,,,,15,12,18,5,,,5,,,,0,16,204,179,237,87
File,"InfoHudViewHolder.java",2,2,2,1,11,0,10,0,,,,,2,2,1,8,,8,6,4,8,,0,5,0,3,,125,18,107,39,67,0,,,,59,80,39,41,,,,,,9,8,10,4,,,3,,,,0,00,21,20,22,13
File,"Ip.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,16,4,9,8,6,9,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"JsoupText.java",3,3,3,1,58,7,10,41,,,,,1,1,2,1,,1,0,0,1,,0,0,0,1,,101,16,27,20,8,60,,,,21,25,21,4,,,,,,3,3,3,1,,,2,,,,2,22,3,3,3,1
File,"JsoupUtil.java",5,3,5,1,27,4,20,2,,,,,1,3,3,3,,3,0,0,3,,0,0,0,3,,114,26,78,27,50,10,,,,46,58,29,29,,,,,,9,7,9,1,,,4,,,,0,13,17,11,17,3
File,"LoadRecyclerView.java",2,2,2,1,8,1,6,0,,,,,2,0,0,6,,7,7,3,7,,1,0,0,6,,79,18,58,23,24,3,,,,27,41,21,20,,,,,,6,6,8,1,,,3,,,,0,05,12,12,14,6
File,"LogoActivity.java",1,1,1,1,13,0,13,0,,,,,3,0,0,3,,3,3,0,3,,0,0,1,2,,34,5,29,8,16,0,,,,13,18,9,9,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"MainActivity.java",2,1,2,1,15,2,11,2,,,,,2,0,0,5,,5,5,9,5,,0,1,1,3,,139,33,96,50,41,10,,,,64,74,43,31,,,,,,3,3,3,1,,,1,,,,0,10,10,9,10,5
File,"MeasureHelper.java",4,3,5,1,19,0,16,2,,,,,1,1,0,10,,10,9,9,10,,0,0,0,10,,248,25,182,38,129,41,,,,98,132,37,95,,,,,,30,22,41,1,,,4,,,,0,23,46,33,57,10
File,"MediaPlayerCompat.java",2,2,3,1,9,0,9,0,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,75,7,53,17,33,15,,,,27,42,17,25,,,,,,4,4,5,3,,,2,,,,0,28,14,14,15,7
File,"MediaPlayerService.java",1,1,1,1,4,0,4,0,,,,,1,5,1,6,,6,1,0,6,,0,0,0,6,,62,10,37,18,12,15,,,,18,27,16,11,,,,,,3,3,4,1,,,2,,,,0,41,8,8,9,6
File,"NewsRecyclerViewAdapter.java",1,1,1,1,6,0,5,0,,,,,6,0,0,18,,20,20,12,20,,2,0,0,18,,191,49,139,53,61,3,,,,69,103,51,52,,,,,,3,3,3,3,,,2,,,,0,02,30,29,30,20
