Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DataModel.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,4,10,7,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"DroidconApplication.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,22,6,16,11,2,0,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"IDataModel.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,12,5,7,6,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"IPresenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,11,3,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"IView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,11,3,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"MVPActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,2,6,,0,2,3,1,,59,12,44,25,12,3,,,,23,30,18,12,,,,,,1,1,1,1,,,0,,,,0,07,6,6,6,6
File,"MVVMActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,3,8,,0,5,3,0,,71,17,54,29,16,0,,,,28,37,22,15,,,,,,1,1,1,1,,,0,,,,0,00,8,8,8,8
File,"Presenter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,3,4,,0,1,0,3,,43,11,29,17,7,3,,,,13,18,12,6,,,,,,1,1,1,1,,,0,,,,0,10,4,4,4,4
File,"PresenterTest.java",1,1,1,1,6,1,5,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,38,11,27,19,6,0,,,,17,20,15,5,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ViewModel.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,24,6,15,10,2,3,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,20,2,2,2,2
File,"ViewModelTest.java",1,1,1,1,7,1,5,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,39,12,27,19,7,0,,,,18,21,16,5,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
Package,"upday",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"upday.mvpvsmvvm",1,1,1,1,3,0,3,0,,,,,1,0,0,,1,,2,1,2,,0,0,0,2,,22,6,16,11,2,0,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
Public Class,"upday.mvpvsmvvm.DroidconApplication",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,2,1,2,2,0,0,0,2,,14,3,11,6,2,0,,,,3,6,4,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,2,2,2,2
Public Constructor,"upday.mvpvsmvvm.DroidconApplication.DroidconApplication",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"upday.mvpvsmvvm.DroidconApplication.getDataModel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"upday.mvpvsmvvm.datamodel",1,1,1,1,3,0,3,0,,,,,2,0,0,,2,,2,0,2,,1,0,0,1,,26,9,17,13,1,0,,,,8,11,10,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
