Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ABaseMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,8,2,3,2,0,3,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"Address.java",1,1,1,1,4,0,4,0,,,,,1,1,1,6,,6,5,2,6,,0,0,0,6,,46,8,35,14,14,3,,,,16,25,13,12,,,,,,3,3,5,1,,,1,,,,0,09,8,8,10,6
File,"AddressTypeHandler.java",1,1,2,1,5,0,5,0,,,,,1,0,0,5,,5,5,0,5,,0,1,0,4,,49,7,39,19,13,3,,,,17,26,15,11,,,,,,4,4,7,1,,,1,,,,0,08,8,8,11,5
File,"AggregateCondition.java",1,1,1,1,5,0,4,1,,,,,1,1,1,14,,14,13,4,14,,0,0,0,14,,121,17,72,28,28,32,,,,35,52,27,25,,,,,,2,2,3,1,,,1,,,,0,44,16,16,17,14
File,"AggregateType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,5,2,,0,0,0,2,,11,2,4,3,0,5,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,1,25,2,2,2,2
File,"AggregationMapper.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,27,5,9,8,0,13,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,1,44,0,0,0,0
File,"AggregationMapperTest.java",1,1,1,1,12,0,11,1,,,,,1,0,0,7,,7,7,0,7,,0,0,2,5,,118,12,96,57,60,10,,,,57,68,45,23,,,,,,1,1,1,1,,,1,,,,0,10,7,7,7,7
File,"AggregationProvider.java",2,2,3,1,15,0,14,1,,,,,1,3,0,5,,5,2,0,5,,0,1,0,4,,106,9,87,28,54,10,,,,57,73,30,43,,,,,,4,4,5,1,,,3,,,,0,11,13,13,16,5
File,"ApiInfo.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,9,1,3,2,0,5,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,67,0,0,0,0
File,"Assert.java",2,2,2,1,5,0,5,0,,,,,1,7,0,7,,7,0,0,7,,0,0,0,7,,58,10,45,11,19,3,,,,15,30,11,19,,,,,,2,2,3,1,,,1,,,,0,07,14,14,18,7
