Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AVFrame.java",1,1,1,1,6,0,6,0,,,,,1,1,35,20,,20,19,17,20,,0,0,0,20,,260,50,178,77,123,42,,,,112,138,76,62,,,,,,10,2,10,1,,,1,,,,0,24,33,25,33,20
File,"ActionController.java",1,1,1,1,7,0,6,0,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,41,8,33,12,13,0,,,,14,22,14,8,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,5
File,"ActionDefinition.java",1,1,1,1,3,0,3,0,,,,,1,0,0,11,,11,11,4,11,,0,0,0,11,,58,14,44,19,16,0,,,,21,33,19,14,,,,,,1,1,1,1,,,0,,,,0,00,11,11,11,11
File,"ActionListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,9,3,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ActionParam.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,6,14,,0,0,0,14,,71,16,55,24,19,0,,,,25,40,24,16,,,,,,1,1,1,1,,,0,,,,0,00,14,14,14,14
File,"ApiDemosActivity.java",1,1,1,1,17,2,14,1,,,,,13,0,0,13,,13,13,0,13,,0,0,0,13,,173,30,137,39,97,9,,,,75,91,49,42,,,,,,2,2,2,1,,,1,,,,0,07,15,15,15,13
File,"ApiHelper.java",2,2,2,1,9,0,9,0,,,,,2,4,22,4,,4,0,0,4,,0,3,0,1,,123,20,87,52,52,17,,,,43,53,38,15,,,,,,2,2,2,1,,,1,,,,0,20,8,8,8,4
File,"ApiTestActivity.java",1,1,1,1,9,0,8,0,,,,,24,0,1,62,,62,62,17,62,,12,0,3,47,,564,73,472,101,319,21,,,,242,327,135,192,,,,,,9,9,9,3,,,3,,,,0,04,83,83,84,64
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"AutoTextView.java",1,1,1,1,9,0,9,0,,,,,4,0,1,16,,16,16,18,16,,0,1,2,13,,191,27,162,71,82,2,,,,106,129,68,61,,,,,,3,3,4,1,,,1,,,,0,01,22,22,23,16
File,"BannerAdActivity.java",1,1,1,1,9,1,8,0,,,,,3,0,0,3,,3,3,0,3,,0,0,0,3,,38,8,27,10,14,3,,,,14,18,11,7,,,,,,1,1,1,1,,,0,,,,0,11,3,3,3,3
File,"BaseDevice.java",1,1,1,1,8,0,3,4,,,,,2,0,8,27,,28,28,2,28,,0,0,0,28,,291,43,130,52,55,118,,,,54,93,51,42,,,,,,4,4,4,4,,,2,,,,0,91,36,36,38,33
File,"BaseFragment.java",2,2,2,1,10,0,9,0,,,,,1,0,0,4,,4,4,1,4,,1,0,0,3,,63,10,48,15,23,5,,,,19,31,13,18,,,,,,7,7,7,1,,,3,,,,0,10,11,11,11,4
File,"BaseWidgetView.java",1,1,1,1,8,0,8,0,,,,,1,0,0,2,,7,7,6,7,,0,0,0,7,,54,12,36,22,10,6,,,,26,30,20,10,,,,,,2,2,2,1,,,1,,,,0,17,3,3,3,2
File,"BleMeshControlActivity.java",1,1,1,1,10,0,9,0,,,,,12,0,3,24,,24,24,3,24,,0,6,0,18,,213,30,178,37,120,5,,,,76,111,54,57,,,,,,5,5,7,4,,,3,,,,0,03,33,33,35,27
File,"BleMeshFirmwareUpdateInfo.java",1,1,1,1,9,0,9,0,,,,,1,0,0,1,,1,1,5,1,,0,0,0,1,,46,8,19,10,7,19,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,1,00,1,1,1,1
File,"BleMeshFirmwareUpdateInfoV2.java",1,1,1,1,12,0,12,0,,,,,1,0,0,1,,1,1,8,1,,0,0,0,1,,64,11,25,13,10,28,,,,11,13,12,1,,,,,,1,1,1,1,,,0,,,,1,12,1,1,1,1
File,"BleMeshFirmwareUpgrader.java",2,2,2,1,14,1,12,0,,,,,11,1,0,34,,39,38,12,39,,5,9,0,25,,439,65,348,69,212,26,,,,139,223,79,144,,,,,,7,7,8,7,,,3,,,,0,07,82,82,91,40
File,"BleMeshLocalUpgradeActivity.java",1,1,1,1,13,1,12,0,,,,,10,0,0,23,,23,23,10,23,,0,7,0,16,,283,37,226,44,153,20,,,,117,156,53,103,,,,,,4,4,4,4,,,2,,,,0,09,38,38,39,26
File,"BleUpgrader.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,47,8,36,13,13,3,,,,11,21,10,11,,,,,,3,3,3,1,,,2,,,,0,08,9,9,9,5
File,"BlueDemoMainActivity.java",1,1,1,1,8,0,7,0,,,,,3,0,0,5,,5,5,2,5,,0,0,0,5,,59,12,45,18,22,2,,,,26,32,17,15,,,,,,1,1,1,1,,,0,,,,0,04,5,5,5,5
File,"BottomPopAdActivity.java",1,1,1,1,8,0,7,0,,,,,3,0,0,3,,3,3,0,3,,0,0,0,3,,33,5,24,8,12,4,,,,11,15,9,6,,,,,,1,1,1,1,,,0,,,,0,17,3,3,3,3
File,"BtFirmwareUpdateInfo.java",1,1,1,1,8,0,8,0,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,38,6,16,8,6,16,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,1,00,1,1,1,1
File,"BtFirmwareUpdateInfoV2.java",1,1,1,1,10,0,10,0,,,,,1,0,0,1,,1,1,6,1,,0,0,0,1,,50,8,20,10,8,22,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,1,10,1,1,1,1
File,"Callback.java",0,0,0,0,0,0,0,0,,,,,1,0,28,0,,2,2,0,2,,0,0,0,2,,43,5,33,32,28,5,,,,31,32,32,0,,,,,,0,0,0,0,,,0,,,,0,15,0,0,0,0
File,"CommonUtils.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,15,4,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ConstraintValue.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,6,2,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ControlActivity.java",1,1,1,1,12,1,10,0,,,,,10,0,0,18,,18,18,9,18,,0,4,0,14,,249,48,199,61,129,2,,,,111,142,67,75,,,,,,10,10,10,1,,,1,,,,0,01,30,30,32,18
File,"CustomCircleProgressBar.java",1,1,1,1,8,0,7,0,,,,,2,0,4,13,,13,13,11,13,,0,0,2,11,,171,36,129,52,71,6,,,,81,103,49,54,,,,,,3,3,3,1,,,1,,,,0,05,20,20,20,13
File,"CustomPullDownRefreshListView.java",2,2,2,1,10,0,9,0,,,,,4,0,1,31,,34,34,25,34,,0,3,0,31,,434,72,351,117,216,12,,,,203,271,114,157,,,,,,21,18,27,8,,,7,,,,0,03,68,65,78,45
File,"DataFormat.java",5,1,6,1,21,5,16,0,,,,,1,2,0,14,,12,12,12,14,,1,1,0,12,,345,89,256,42,193,0,,,,129,154,31,123,,,,,,12,4,12,4,,,2,,,,0,00,81,27,85,19
File,"DataValue.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,4,4,0,4,,0,0,0,4,,18,5,13,6,3,0,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DemoDevice.java",1,1,1,1,7,0,7,0,,,,,7,2,9,24,,24,22,1,24,,0,0,0,24,,230,36,171,61,101,23,,,,77,120,70,50,,,,,,4,4,6,3,,,2,,,,0,13,37,37,40,28
File,"Device.java",2,2,2,1,9,0,9,0,,,,,3,2,2,12,,12,10,0,12,,0,0,0,12,,147,23,112,29,66,12,,,,45,80,39,41,,,,,,3,3,4,3,,,2,,,,0,11,27,27,29,16
File,"Device.java",2,2,2,1,9,0,9,0,,,,,3,2,2,12,,12,10,0,12,,0,0,0,12,,147,23,112,29,66,12,,,,45,80,39,41,,,,,,3,3,4,3,,,2,,,,0,11,27,27,29,16
File,"Device.java",2,2,2,1,9,0,9,0,,,,,3,2,2,12,,12,10,0,12,,0,0,0,12,,147,23,112,29,66,12,,,,45,80,39,41,,,,,,3,3,4,3,,,2,,,,0,11,27,27,29,16
File,"Device.java",2,2,2,1,9,0,9,0,,,,,3,2,2,12,,12,10,0,12,,0,0,0,12,,147,23,112,29,66,12,,,,45,80,39,41,,,,,,3,3,4,3,,,2,,,,0,11,27,27,29,16
