Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"APIModule.java",1,1,1,1,5,0,5,0,,,,,1,1,1,4,,4,3,3,4,,0,0,0,4,,45,12,30,12,10,3,,,,14,22,12,10,,,,,,2,2,2,1,,,1,,,,0,10,7,7,7,4
File,"ActivityModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,22,7,12,7,2,3,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,25,2,2,2,2
File,"BaseNiboActivity.java",1,1,1,1,7,1,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,10,16,12,4,3,,,,12,14,12,2,,,,,,1,1,1,1,,,0,,,,0,19,1,1,1,1
File,"BaseNiboFragment.java",1,1,1,1,5,0,3,1,,,,,2,0,1,22,,24,24,1,24,,1,0,1,22,,223,44,122,67,29,57,,,,41,70,44,26,,,,,,2,2,2,1,,,1,,,,0,47,27,27,27,22
File,"BaseNiboFragment.java",1,1,1,1,10,0,7,1,,,,,11,0,4,57,,60,60,18,60,,0,4,13,43,,753,125,532,235,254,97,,,,257,347,197,150,,,,,,5,5,5,5,,,2,,,,0,18,89,88,91,63
File,"BaseNiboPresenter.java",1,1,1,1,3,0,2,0,,,,,2,0,0,12,,12,12,1,12,,0,0,0,12,,90,20,50,30,6,20,,,,11,26,19,7,,,,,,2,2,2,1,,,1,,,,0,40,13,13,13,12
File,"BaseNiboSearchListener.java",1,1,1,1,3,0,2,0,,,,,1,0,0,8,,8,8,0,8,,0,0,0,8,,44,15,29,18,2,0,,,,3,12,10,2,,,,,,1,1,1,1,,,0,,,,0,00,8,8,8,8
File,"BaseSupportAnimator.java",1,1,1,1,6,0,3,3,,,,,3,0,0,9,,21,21,1,21,,4,0,0,17,,197,36,53,33,7,108,,,,21,35,29,6,,,,,,3,3,3,3,,,1,,,,2,04,11,11,11,11
File,"BaseUseCase.java",1,1,1,1,7,0,4,3,,,,,1,0,0,4,,5,5,1,5,,0,1,1,3,,60,11,32,18,9,17,,,,15,22,16,6,,,,,,2,2,2,1,,,1,,,,0,53,6,6,6,4
File,"BottomSheetBehaviorGoogleMapsLike.java",2,2,3,1,13,0,10,2,,,,,8,1,10,46,,48,47,25,48,,2,7,0,39,,830,109,587,157,357,139,,,,273,404,145,259,,,,,,12,12,20,7,,,3,,,,0,24,129,126,162,70
File,"CircularRevealAnimator.java",1,1,1,1,4,0,3,0,,,,,6,0,0,15,,23,23,9,23,,11,0,0,12,,183,33,106,60,29,44,,,,53,74,49,25,,,,,,1,1,1,1,,,0,,,,0,42,15,15,15,15
File,"DefaultObserver.java",1,1,1,1,3,0,2,1,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,23,4,13,9,0,6,,,,2,6,6,0,,,,,,1,1,1,1,,,0,,,,0,46,3,3,3,3
