Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActivityComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,5,10,9,0,3,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"ActivityContext.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,4,8,7,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ActivityModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,2,0,0,1,,32,8,24,17,3,0,,,,12,16,13,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ApplicationComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,20,6,14,13,0,0,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApplicationContext.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,4,8,7,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApplicationModule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,2,0,0,1,,37,9,24,17,3,4,,,,11,15,12,3,,,,,,1,1,1,1,,,0,,,,0,17,3,3,3,3
File,"BaseActivity.java",1,1,1,1,7,0,7,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,42,8,34,15,13,0,,,,15,21,13,8,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"BasePresenter.java",1,1,1,1,3,0,3,0,,,,,2,0,0,6,,6,6,1,6,,0,0,0,6,,41,9,27,12,7,5,,,,8,17,10,7,,,,,,2,2,2,1,,,1,,,,0,19,7,7,7,6
File,"MainActivity.java",1,1,1,1,3,0,3,0,,,,,1,1,1,12,,12,11,1,12,,0,1,1,10,,90,19,71,39,21,0,,,,32,46,28,18,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,12
File,"MessageActivity.java",2,2,2,1,8,0,7,0,,,,,1,1,0,4,,4,3,2,4,,0,2,1,1,,64,13,51,29,20,0,,,,31,40,25,15,,,,,,4,4,4,1,,,1,,,,0,00,8,8,8,4
File,"MvpView.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,3,3,2,0,5,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,67,0,0,0,0
File,"NotifiApplication.java",1,1,1,1,5,0,5,0,,,,,1,1,0,3,,3,2,1,3,,0,0,0,3,,37,11,26,13,8,0,,,,13,18,12,6,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"NotificationUtil.java",1,1,1,1,14,2,12,0,,,,,1,0,9,15,,15,15,0,15,,0,3,0,12,,274,55,219,110,161,1,,,,107,123,79,44,,,,,,1,1,1,1,,,0,,,,0,00,15,15,15,15
File,"PerActivity.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,3,8,7,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,62,0,0,0,0
File,"Presenter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,12,3,5,4,0,4,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,80,0,0,0,0
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.hitherejoe",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.hitherejoe.notifi",1,1,1,1,5,0,5,0,,,,,1,1,0,,1,,2,1,3,,0,0,0,3,,37,11,26,13,8,0,,,,13,18,12,6,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
Public Class,"com.hitherejoe.notifi.NotifiApplication",1,1,1,1,5,0,5,0,1,2,2,0,,1,0,,,,2,1,3,3,0,0,0,3,,26,7,19,6,8,0,,,,6,11,5,6,,,,,,2,2,2,1,,2,1,,33,33,0,00,4,4,4,3
Public Static Method,"com.hitherejoe.notifi.NotifiApplication.get",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.hitherejoe.notifi.NotifiApplication.getComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.hitherejoe.notifi.NotifiApplication.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,2,9,1,6,0,7,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Package,"com.hitherejoe.notifi.injection",0,0,0,0,0,0,0,0,,,,,3,0,0,,3,,0,0,0,,0,0,0,0,,40,11,24,21,0,5,,,,12,15,15,0,,,,,,0,0,0,0,,,0,,,,0,21,0,0,0,0
Public Annotation,"com.hitherejoe.notifi.injection.ActivityContext",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Public Annotation,"com.hitherejoe.notifi.injection.ApplicationContext",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Public Annotation,"com.hitherejoe.notifi.injection.PerActivity",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,5,0,0,0,0,5,,,,0,1,1,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Package,"com.hitherejoe.notifi.injection.component",0,0,0,0,0,0,0,0,,,,,2,0,0,,2,,3,0,3,,3,0,0,0,,38,11,24,22,0,3,,,,15,17,17,0,,,,,,0,0,0,0,,,0,,,,0,12,0,0,0,0
Public Interface,"com.hitherejoe.notifi.injection.component.ActivityComponent",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,1,0,1,1,1,0,0,0,,3,1,2,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Abstract Method,"com.hitherejoe.notifi.injection.component.ActivityComponent.inject",,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Public Interface,"com.hitherejoe.notifi.injection.component.ApplicationComponent",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,2,0,2,2,2,0,0,0,,6,1,5,4,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Abstract Method,"com.hitherejoe.notifi.injection.component.ApplicationComponent.application",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Abstract Method,"com.hitherejoe.notifi.injection.component.ApplicationComponent.context",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,0,00,0,0,0,0
Package,"com.hitherejoe.notifi.injection.module",1,1,1,1,3,0,3,0,,,,,2,0,0,,2,,6,2,6,,4,0,0,2,,69,17,48,34,6,4,,,,23,31,25,6,,,,,,1,1,1,1,,,0,,,,0,08,6,6,6,6
Public Class,"com.hitherejoe.notifi.injection.module.ActivityModule",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,3,1,3,3,2,0,0,1,,17,3,14,8,3,0,,,,4,8,5,3,,,,,,1,1,1,1,,1,0,,0,0,0,00,3,3,3,3
Public Constructor,"com.hitherejoe.notifi.injection.module.ActivityModule.ActivityModule",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.hitherejoe.notifi.injection.module.ActivityModule.provideActivity",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.hitherejoe.notifi.injection.module.ActivityModule.providesContext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
