Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MainActivity.java",1,1,1,1,28,5,16,6,,,,,3,0,1,3,,3,3,0,3,,0,0,1,2,,97,21,57,16,40,20,,,,44,48,17,31,,,,,,1,1,1,1,,,0,,,,0,35,3,3,3,3
File,"NumberPicker.java",2,2,2,1,11,0,9,2,,,,,13,3,30,169,,172,169,89,172,,3,48,17,104,,2860,352,1777,515,1092,731,,,,883,1252,468,784,,,,,,21,21,39,13,,,5,,,,0,41,377,366,413,216
File,"Scroller.java",1,1,1,1,13,0,7,5,,,,,2,1,15,30,,30,29,28,30,,0,5,0,25,,597,71,307,120,187,225,,,,200,249,117,132,,,,,,7,6,8,1,,,3,,,,0,73,44,43,49,30
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.shawnlin",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.shawnlin.numberpicker",2,2,2,1,11,0,8,2,,,,,15,4,45,,2,,198,117,202,,3,53,17,129,,3457,423,2084,635,1279,956,,,,1083,1501,585,916,,,,,,21,21,39,13,,,5,,,,0,46,421,409,462,246
Public Class,"com.shawnlin.numberpicker.NumberPicker",2,2,2,1,12,0,9,2,1,10,10,0,,2,27,,,,151,79,153,153,0,44,16,93,,2810,346,1733,472,1092,731,,,,840,1209,425,784,,,,,,21,21,39,13,,2,5,,97,93,0,42,348,337,382,194
Public Annotation,"com.shawnlin.numberpicker.NumberPicker.Align",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,1,0,1,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,0,0,,0,0,0,00,0,0,0,0
Class,"com.shawnlin.numberpicker.NumberPicker.ChangeCurrentByOneFromLongPressCommand",1,1,1,1,3,0,3,0,2,1,1,0,,0,0,,,,2,1,2,2,0,1,0,1,,16,2,11,5,3,3,,,,4,7,4,3,,,,,,1,1,1,1,,1,0,,0,0,0,27,2,2,2,2
Public Method,"com.shawnlin.numberpicker.NumberPicker.ChangeCurrentByOneFromLongPressCommand.run",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.shawnlin.numberpicker.NumberPicker.ChangeCurrentByOneFromLongPressCommand.setStep",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Interface,"com.shawnlin.numberpicker.NumberPicker.Formatter",0,0,0,0,0,0,0,0,0,0,0,2,,0,0,,,,1,0,1,1,0,0,0,1,,10,1,3,2,0,6,,,,1,2,2,0,,,,,,0,0,0,0,,0,0,,0,0,2,00,0,0,0,0
Public Abstract Method,"com.shawnlin.numberpicker.NumberPicker.Formatter.format",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,1,1,0,6,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,6,00,0,0,0,0
Class,"com.shawnlin.numberpicker.NumberPicker.InputTextFilter",3,3,4,3,19,1,15,3,1,2,2,0,,0,0,,,,3,0,3,3,0,0,1,2,,70,7,49,16,30,14,,,,18,31,12,19,,,,,,9,9,10,7,,2,3,,0,0,0,29,11,11,12,9
