Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CallBackUtil.java",1,1,2,1,9,0,8,0,,,,,8,0,1,15,,18,18,4,18,,0,1,0,17,,211,30,157,65,88,24,,,,86,113,60,53,,,,,,8,8,8,1,,,2,,,,0,15,28,28,31,15
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"MainActivity.java",1,1,1,1,6,1,5,0,,,,,3,0,0,8,,8,8,0,8,,0,2,1,5,,62,16,45,18,21,2,,,,21,30,21,9,,,,,,1,1,1,1,,,0,,,,0,04,8,8,8,8
File,"MainActivity.java",1,1,1,1,6,0,5,0,,,,,2,0,0,4,,4,4,0,4,,0,0,1,3,,37,9,28,14,11,1,,,,15,20,15,5,,,,,,1,1,1,1,,,0,,,,0,04,4,4,4,4
File,"OkhttpUtil.java",1,1,1,1,9,0,3,6,,,,,1,27,8,27,,27,0,0,27,,0,0,0,27,,304,31,95,40,35,182,,,,39,67,40,27,,,,,,1,1,1,1,,,0,,,,1,92,27,27,27,27
File,"RequestUtil.java",2,2,2,1,11,0,9,2,,,,,5,0,0,25,,25,25,19,25,,7,11,0,7,,340,44,244,71,127,74,,,,118,182,82,100,,,,,,7,5,9,1,,,3,,,,0,30,57,54,61,25
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
