Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"GlideHelper.java",1,1,1,1,7,0,7,0,,,,,2,3,0,4,,4,1,0,4,,0,0,0,4,,41,4,34,11,17,3,,,,12,18,12,6,,,,,,2,2,2,1,,,0,,,,0,09,5,5,5,4
File,"ImageBrowseActivity.java",2,1,2,1,21,0,19,2,,,,,3,0,1,4,,4,4,5,4,,0,1,1,2,,119,10,100,40,65,14,,,,79,87,43,44,,,,,,7,4,7,1,,,0,,,,0,14,10,7,10,4
File,"ImageBrowseIntent.java",1,1,1,1,13,0,8,5,,,,,1,4,6,4,,4,0,0,4,,0,0,0,4,,82,11,48,25,32,23,,,,38,43,25,18,,,,,,1,1,1,1,,,0,,,,0,48,4,4,4,4
File,"MainActivity.java",1,1,1,1,11,0,10,2,,,,,5,0,0,6,,6,6,5,6,,0,1,1,4,,69,9,56,16,35,8,,,,33,40,19,21,,,,,,1,1,1,1,,,0,,,,0,14,6,6,6,6
File,"MyAppGlideModule.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,13,4,6,5,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"MyPagerAdapter.java",1,1,1,1,4,0,3,1,,,,,1,0,0,7,,7,7,1,7,,0,0,0,7,,59,11,36,20,8,14,,,,14,22,14,8,,,,,,1,1,1,1,,,0,,,,0,39,7,7,7,7
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.kevin",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.kevin.photo_browse",1,1,1,1,10,0,6,3,,,,,3,4,6,,3,,2,0,6,,0,0,0,6,,125,19,72,43,35,34,,,,51,60,40,20,,,,,,1,1,1,1,,,0,,,,0,47,6,6,6,6
