Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BitmapThread.java",1,1,1,1,11,0,11,0,,,,,1,0,0,2,,2,2,8,2,,0,0,0,2,,45,6,39,18,18,0,,,,24,28,17,11,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"BitmapWorker.java",2,2,2,1,23,4,18,0,,,,,3,6,3,7,,8,2,0,8,,0,2,0,6,,159,32,124,41,81,3,,,,70,92,42,50,,,,,,9,9,9,1,,,2,,,,0,02,20,20,20,7
File,"CompleteDialog.java",1,1,1,1,5,0,5,0,,,,,3,1,0,6,,7,6,2,7,,0,0,0,7,,63,15,48,26,17,0,,,,27,35,23,12,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"ImageAdapter.java",1,1,1,1,7,0,6,0,,,,,4,0,0,6,,7,7,7,7,,0,0,0,7,,77,14,63,30,23,0,,,,36,46,27,19,,,,,,2,2,2,1,,,0,,,,0,00,7,7,7,6
File,"ImageThread.java",1,1,1,1,6,0,6,0,,,,,2,0,0,3,,3,3,2,3,,0,0,0,3,,33,7,26,14,10,0,,,,13,17,13,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ListAdapter.java",1,1,2,1,18,4,14,0,,,,,3,0,0,5,,5,5,2,5,,0,0,0,5,,83,20,63,28,35,0,,,,38,48,28,20,,,,,,3,3,5,1,,,0,,,,0,00,9,9,11,5
File,"MainActivity.java",2,2,2,1,13,2,10,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,42,10,31,13,15,1,,,,15,21,11,10,,,,,,4,4,4,1,,,1,,,,0,03,5,5,5,2
File,"MainFragment.java",1,1,1,1,19,2,16,0,,,,,9,0,4,12,,12,12,4,12,,0,1,0,11,,162,28,134,45,83,0,,,,70,90,49,41,,,,,,4,4,4,3,,,1,,,,0,00,18,18,18,14
File,"SliceDialog.java",1,1,1,1,10,1,8,0,,,,,7,1,0,12,,13,12,2,13,,0,0,0,13,,119,24,95,33,55,0,,,,46,62,36,26,,,,,,3,3,3,1,,,2,,,,0,00,14,14,14,12
File,"ViewActivity.java",2,2,2,1,16,3,13,0,,,,,2,0,0,2,,2,2,0,2,,0,0,1,1,,44,10,33,11,18,1,,,,16,22,11,11,,,,,,4,4,4,1,,,1,,,,0,03,5,5,5,2
File,"ViewFragment.java",3,3,3,1,23,4,18,0,,,,,2,0,0,3,,3,3,3,3,,0,0,0,3,,83,20,63,31,38,0,,,,45,55,31,24,,,,,,5,5,5,1,,,2,,,,0,00,9,9,9,3
Package,"github",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"github.yaa110",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"github.yaa110.piclice",2,2,2,1,15,2,11,0,,,,,3,0,0,,2,,4,0,4,,0,0,2,2,,86,20,64,24,33,2,,,,31,43,22,21,,,,,,4,4,4,1,,,1,,,,0,03,10,10,10,4
Public Class,"github.yaa110.piclice.MainActivity",2,2,2,1,13,2,10,0,1,1,1,0,,0,0,,,,2,0,2,2,0,0,1,1,,33,7,25,7,15,1,,,,9,15,5,10,,,,,,4,4,4,1,,2,1,,0,0,0,04,5,5,5,2
Public Method,"github.yaa110.piclice.MainActivity.onBackPressed",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,2,0,3,1,0,2,3,2,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"github.yaa110.piclice.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,5,17,2,13,1,15,8,1,7,11,2,9,4,4,4,1,1,,,,,0,,1,0,,,0,06,4,4,4,1
Public Class,"github.yaa110.piclice.ViewActivity",4,4,4,1,30,6,23,1,1,1,1,0,,0,0,,,,1,0,1,1,0,0,1,0,,34,7,26,4,18,1,,,,9,15,4,11,,,,,,4,4,4,1,,2,1,,0,0,0,04,4,4,4,1
Protected Method,"github.yaa110.piclice.ViewActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,6,23,2,18,1,16,8,1,9,14,3,11,4,4,4,1,1,,,,,0,,1,0,,,0,04,4,4,4,1
Anonymous Class,"github.yaa110.piclice.ViewActivity.onCreate.(Anon_1)",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"github.yaa110.piclice.ViewActivity.onCreate.(Anon_1).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
