Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MainActivity.java",2,2,2,1,15,3,12,0,,,,,1,0,0,3,,3,3,3,3,,0,0,1,2,,68,18,50,16,29,0,,,,33,40,15,25,,,,,,4,4,4,1,,,2,,,,0,00,6,6,6,3
File,"ProgressView.java",1,1,1,1,9,0,6,1,,,,,2,0,9,15,,15,15,18,15,,0,8,2,5,,299,51,144,67,80,105,,,,98,122,66,56,,,,,,4,4,4,4,,,2,,,,0,73,22,22,22,18
File,"TestFragment.java",1,1,1,1,7,0,7,0,,,,,2,1,0,4,,4,3,0,4,,0,0,0,4,,79,10,39,21,18,30,,,,24,29,19,10,,,,,,1,1,1,1,,,0,,,,0,77,4,4,4,4
File,"Utils.java",1,1,1,1,7,0,4,3,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,70,6,20,11,8,44,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,2,20,4,4,4,4
Package,"android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.jiang",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.jiang.com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.jiang.com.progressview",1,1,1,1,9,0,6,1,,,,,8,5,9,,6,,23,21,28,,0,8,3,17,,544,90,270,126,137,185,,,,173,218,121,97,,,,,,4,4,4,4,,,2,,,,0,69,38,38,38,31
