Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AutoFocusManager.java",2,2,2,1,9,0,9,0,,,,,2,0,3,8,,8,8,6,8,,3,2,1,2,,152,17,99,31,51,36,,,,47,68,29,39,,,,,,4,4,5,1,,,3,,,,0,36,19,19,21,8
File,"CameraConfigurationManager.java",3,3,4,1,23,2,20,0,,,,,2,3,5,13,,13,10,7,13,,8,1,0,4,,366,48,288,90,200,31,,,,156,204,90,114,,,,,,11,11,13,5,,,3,,,,0,11,50,47,58,24
File,"CameraFacing.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,23,3,5,4,0,17,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,3,40,2,2,2,2
File,"CameraManager.java",2,2,2,1,11,0,8,2,,,,,1,0,1,15,,15,15,10,15,,0,0,0,15,,237,27,144,46,76,67,,,,74,107,44,63,,,,,,8,8,9,1,,,3,,,,0,47,33,33,38,15
File,"DecoderActivity.java",1,1,1,1,9,0,9,0,,,,,4,0,1,10,,10,10,6,10,,0,2,3,5,,129,20,106,34,57,3,,,,56,73,35,38,,,,,,3,3,4,1,,,1,,,,0,03,16,16,17,10
File,"OpenCamera.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,52,10,27,13,8,15,,,,14,20,12,8,,,,,,1,1,1,1,,,0,,,,0,56,5,5,5,5
File,"OpenCameraInterface.java",4,4,4,3,32,2,25,4,,,,,1,1,2,2,,2,1,0,2,,0,1,0,1,,99,14,58,15,40,27,,,,32,42,15,27,,,,,,8,8,8,6,,,3,,,,0,47,9,9,9,7
File,"Orientation.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,5,1,4,3,0,0,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"PointsOverlayView.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,2,6,,0,1,0,5,,50,9,41,17,15,0,,,,23,33,18,15,,,,,,3,3,3,1,,,2,,,,0,00,8,8,8,6
File,"QRCodeReaderView.java",1,1,2,1,12,0,8,3,,,,,3,0,1,25,,26,26,11,26,,2,3,2,19,,425,60,265,101,137,102,,,,135,181,85,96,,,,,,6,5,6,5,,,1,,,,0,38,49,46,56,33
File,"QRToViewPointTransformer.java",3,3,3,1,20,1,19,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,51,7,44,19,25,0,,,,24,33,16,17,,,,,,5,5,5,1,,,2,,,,0,00,7,7,7,2
File,"QRToViewPointTransformerShould.java",1,1,1,1,9,1,8,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,90,21,69,53,37,0,,,,44,51,42,9,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"SimpleLog.java",1,1,1,1,4,0,4,0,,,,,1,7,1,7,,7,0,0,7,,0,0,0,7,,48,10,38,11,14,0,,,,10,24,11,13,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,7
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dlazaro66",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.dlazaro66.qrcodereaderview",1,1,2,1,10,0,7,1,,,,,7,7,2,,5,,36,14,43,,2,3,2,36,,619,99,420,187,213,102,,,,214,291,156,135,,,,,,6,5,6,5,,,2,,,,0,24,77,74,84,50
Public Enum Type,"com.dlazaro66.qrcodereaderview.Orientation",1,1,1,1,0,0,0,0,1,0,0,0,,0,0,,,,2,2,2,2,0,0,0,2,,3,0,3,2,0,0,,,,0,1,1,0,,,,,,1,1,1,1,,1,0,,,,0,00,2,2,2,2
Public Method,"com.dlazaro66.qrcodereaderview.Orientation.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.dlazaro66.qrcodereaderview.Orientation.values",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
