Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ChatItemInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,17,3,11,8,1,3,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"MainActivity.java",1,1,1,1,10,0,10,0,,,,,3,0,0,3,,3,3,0,3,,0,0,1,2,,28,3,25,10,13,0,,,,12,16,11,5,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"MainApp.java",1,1,1,1,3,0,3,0,,,,,1,1,1,2,,2,1,0,2,,0,0,0,2,,22,5,14,8,4,3,,,,7,10,7,3,,,,,,1,1,1,1,,,0,,,,0,21,2,2,2,2
File,"QqDecryptUtil.java",5,5,5,2,17,0,17,0,,,,,1,5,4,5,,5,0,0,5,,0,2,0,3,,114,11,100,21,61,3,,,,48,74,23,51,,,,,,8,8,9,5,,,3,,,,0,03,25,25,29,13
File,"QqReader.java",7,7,8,3,36,4,31,0,,,,,1,0,3,4,,4,4,0,4,,0,3,0,1,,175,31,139,37,94,5,,,,67,100,40,60,,,,,,13,13,15,6,,,4,,,,0,04,29,29,35,12
File,"QzoneConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,9,2,4,3,1,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"StringUtils.java",6,6,6,3,21,0,21,0,,,,,1,3,6,3,,3,0,0,3,,0,0,0,3,,83,7,73,13,54,3,,,,38,51,13,38,,,,,,7,7,7,5,,,3,,,,0,04,18,18,18,11
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
