Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"App.java",1,1,1,1,5,0,5,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,22,3,16,8,5,3,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,0,19,2,2,2,2
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseObservable.java",1,1,1,1,10,1,7,1,,,,,3,0,0,7,,8,8,5,8,,1,1,1,5,,114,21,80,37,36,13,,,,49,61,35,26,,,,,,3,3,3,1,,,1,,,,0,16,10,10,10,7
File,"BillingService.java",2,2,3,1,16,3,13,0,,,,,1,0,1,6,,6,6,2,6,,0,0,0,6,,136,32,101,44,57,3,,,,71,87,46,41,,,,,,6,6,8,3,,,2,,,,0,03,15,15,19,8
File,"BillingServiceObservable.java",1,1,1,1,3,0,3,0,,,,,1,1,0,3,,3,2,0,3,,0,1,1,1,,26,7,19,11,4,0,,,,10,14,10,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ConsumePurchaseObservable.java",1,1,1,1,5,0,5,0,,,,,1,1,0,3,,3,2,1,3,,0,1,1,1,,35,8,27,14,8,0,,,,15,20,13,7,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"GetBuyIntentObservable.java",1,1,1,1,11,0,10,0,,,,,1,1,0,3,,3,2,5,3,,0,0,2,1,,64,10,54,31,17,0,,,,34,40,24,16,,,,,,3,3,3,1,,,1,,,,0,00,5,5,5,3
File,"GetBuyIntentResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,20,5,12,6,3,3,,,,6,9,6,3,,,,,,1,1,1,1,,,0,,,,0,25,2,2,2,2
File,"GetPurchasesObservable.java",1,1,1,1,5,0,5,0,,,,,1,1,0,3,,3,2,2,3,,0,0,2,1,,47,9,32,18,9,6,,,,19,24,16,8,,,,,,2,2,2,1,,,1,,,,0,19,4,4,4,3
File,"GetPurchasesResponse.java",1,1,1,1,3,0,3,0,,,,,2,0,0,7,,7,7,5,7,,0,0,0,7,,53,13,37,17,11,3,,,,19,28,17,11,,,,,,1,1,1,1,,,0,,,,0,08,7,7,7,7
File,"GetSkuDetailsObservable.java",1,1,1,1,5,0,5,0,,,,,1,1,0,3,,3,2,2,3,,0,0,2,1,,38,6,32,18,9,0,,,,19,24,16,8,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"GetSkuDetailsResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,22,6,13,7,3,3,,,,7,10,7,3,,,,,,1,1,1,1,,,0,,,,0,23,2,2,2,2
File,"InventoryAdapter.java",1,1,1,1,4,0,4,0,,,,,4,0,0,7,,8,8,4,8,,1,0,0,7,,62,13,49,26,16,0,,,,24,34,24,10,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"InventoryFragment.java",1,1,1,1,9,0,8,0,,,,,12,0,0,21,,21,21,4,21,,0,6,0,15,,210,30,174,50,100,6,,,,76,103,56,47,,,,,,2,2,2,1,,,1,,,,0,03,26,26,26,21
File,"InventoryRowView.java",1,1,1,1,7,1,6,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,39,10,26,18,8,3,,,,20,23,18,5,,,,,,1,1,1,1,,,0,,,,0,12,2,2,2,2
File,"IsBillingSupportedObservable.java",1,1,1,1,5,0,5,0,,,,,1,1,0,3,,3,2,1,3,,0,1,1,1,,36,8,28,15,8,0,,,,16,21,14,7,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
