Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,3,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,3,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ColorItem.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,11,2,6,5,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"Demo.java",1,1,1,1,1,0,1,0,,,,,1,0,0,3,,1,3,10,3,,1,0,0,2,,23,4,16,13,1,3,,,,4,5,4,1,,,,,,1,1,1,1,,,0,,,,0,19,3,3,3,3
File,"DemoAutoSelectActivity.java",1,1,1,1,4,0,4,0,,,,,1,1,0,2,,2,1,0,2,,0,0,1,1,,23,5,18,11,5,0,,,,11,14,10,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DemoBasicActivity.java",1,1,1,1,11,1,9,0,,,,,2,1,1,4,,4,3,1,4,,0,0,1,3,,73,15,58,31,28,0,,,,41,47,30,17,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"DemoColorPagerAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,58,14,44,26,13,0,,,,20,29,20,9,,,,,,1,1,1,1,,,0,,,,0,00,8,8,8,8
File,"DemoCustomView01Activity.java",1,1,1,1,11,1,9,0,,,,,2,1,1,4,,4,3,0,4,,0,0,1,3,,71,14,57,31,28,0,,,,40,46,30,16,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"DemoCustomView01Adapter.java",1,1,1,1,6,0,6,0,,,,,3,0,0,6,,6,6,3,6,,0,0,0,6,,73,13,57,31,21,3,,,,33,42,28,14,,,,,,2,2,2,1,,,1,,,,0,05,7,7,7,6
File,"DemoCustomView02Activity.java",1,1,1,1,11,1,9,0,,,,,1,1,1,3,,3,2,0,3,,0,0,1,2,,59,12,47,26,23,0,,,,34,39,24,15,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
