Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimManager.java",3,2,3,1,17,0,12,4,,,,,1,0,2,5,,5,5,2,5,,0,2,0,3,,118,14,72,21,48,32,,,,39,54,21,33,,,,,,5,5,5,1,,,1,,,,0,44,15,14,15,5
File,"BlurBitmapUtil.java",1,1,1,1,39,6,15,18,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,58,9,25,18,14,24,,,,21,23,18,5,,,,,,1,1,1,1,,,0,,,,0,96,1,1,1,1
File,"DLog.java",1,1,1,1,4,0,4,0,,,,,1,6,1,6,,6,0,0,6,,0,0,0,6,,49,11,33,10,12,5,,,,9,21,10,11,,,,,,2,2,2,1,,,1,,,,0,15,11,11,11,6
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"GalleryItemDecoration.java",2,2,2,1,14,2,10,2,,,,,4,0,0,9,,10,10,7,10,,2,3,0,5,,170,34,100,40,60,36,,,,54,73,41,32,,,,,,5,5,10,1,,,1,,,,0,36,21,21,26,9
File,"GalleryRecyclerView.java",1,1,1,1,9,0,6,2,,,,,3,0,3,30,,31,31,8,31,,1,5,3,22,,381,58,227,71,123,96,,,,115,162,64,98,,,,,,4,4,4,3,,,2,,,,0,42,47,45,48,32
File,"MainActivity.java",1,1,1,1,14,2,9,2,,,,,4,0,2,15,,15,15,5,15,,0,0,6,9,,231,43,151,62,86,37,,,,86,108,61,47,,,,,,3,3,5,1,,,1,,,,0,25,21,21,24,15
File,"OsUtil.java",1,1,1,1,6,0,3,3,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,52,9,23,11,7,20,,,,11,17,11,6,,,,,,1,1,1,1,,,0,,,,0,87,5,5,5,5
File,"RecyclerAdapter.java",1,1,1,1,6,0,6,0,,,,,4,0,0,9,,10,10,5,10,,3,0,0,7,,101,17,71,36,26,13,,,,38,51,32,19,,,,,,2,2,2,1,,,1,,,,0,18,11,11,11,9
File,"ScrollManager.java",1,1,1,1,13,2,7,3,,,,,4,0,1,11,,11,11,4,11,,1,2,0,8,,153,31,87,34,51,35,,,,47,62,34,28,,,,,,3,2,3,1,,,1,,,,0,40,14,13,14,11
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.ryan",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.ryan.rv_gallery",1,1,1,1,11,1,7,2,,,,,14,0,6,,6,,59,21,59,,4,12,3,40,,865,145,510,184,285,210,,,,268,368,175,193,,,,,,5,5,10,3,,,2,,,,0,41,99,95,105,59
Public Class,"com.ryan.rv_gallery.AnimManager",3,2,3,1,17,0,12,4,1,0,0,0,,0,2,,,,5,2,5,5,0,2,0,3,,112,11,69,18,48,32,,,,36,51,18,33,,,,,,5,5,5,1,,1,1,,50,40,0,46,15,14,15,5
Public Method,"com.ryan.rv_gallery.AnimManager.setAnimFactor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.ryan.rv_gallery.AnimManager.setAnimType",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.ryan.rv_gallery.AnimManager.setAnimation",,,,,,,,,,,,,,,,,,,,,,,,,,,8,13,0,13,1,10,0,2,3,0,6,8,1,7,3,2,3,1,3,,,,,0,,1,0,,,0,00,3,2,3,1
Private Method,"com.ryan.rv_gallery.AnimManager.setBottomToTopAnim",,,,,,,,,,,,,,,,,,,,,,,,,,,5,34,1,22,5,16,11,4,16,1,12,17,5,12,5,5,5,1,0,,,,,0,,1,0,,,0,50,5,5,5,1
Private Method,"com.ryan.rv_gallery.AnimManager.setTopToBottomAnim",,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,1,22,5,16,10,4,16,1,12,17,5,12,5,5,5,1,0,,,,,0,,1,0,,,0,45,5,5,5,1
