Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimationBuilder.java",1,1,1,1,6,0,5,0,,,,,2,0,2,38,,38,38,8,38,,1,3,0,34,,294,55,229,66,120,10,,,,118,182,76,106,,,,,,4,4,4,1,,,2,,,,0,04,54,54,54,38
File,"AnimationListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,13,5,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"AnimationSamplesActivity.java",1,1,1,1,27,5,22,0,,,,,1,0,0,7,,7,7,8,7,,0,0,1,6,,228,47,181,55,144,0,,,,72,81,54,27,,,,,,2,2,2,1,,,1,,,,0,00,8,8,8,7
File,"AnimationUpdateListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,4,5,4,0,9,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,80,0,0,0,0
File,"CompoundViewSamplesActivity.java",1,1,1,1,12,2,10,0,,,,,2,0,0,3,,3,3,0,3,,0,1,1,1,,41,9,32,15,18,0,,,,21,25,15,10,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"Group.java",1,1,1,1,5,0,4,0,,,,,1,0,1,12,,12,12,9,12,,0,1,0,11,,100,29,68,28,34,3,,,,40,54,28,26,,,,,,2,2,2,1,,,1,,,,0,04,13,13,13,12
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,2,0,0,8,,8,8,0,8,,0,1,2,5,,83,13,70,26,41,0,,,,30,39,26,13,,,,,,1,1,1,1,,,0,,,,0,00,8,8,8,8
File,"OnRichPathUpdatedListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,11,4,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"PathDataNode.java",7,3,9,1,54,2,46,8,,,,,1,4,1,8,,8,4,2,8,,2,3,0,3,,468,31,379,93,313,78,,,,236,262,76,186,,,,,,46,10,58,3,,,3,,,,0,21,61,25,73,10
File,"PathEvaluator.java",4,4,4,1,16,3,13,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,35,11,21,10,8,3,,,,14,19,11,8,,,,,,4,4,4,1,,,2,,,,0,14,4,4,4,1
File,"PathParser.java",1,1,1,1,7,0,5,2,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,28,7,14,5,5,7,,,,5,9,5,4,,,,,,2,2,2,1,,,1,,,,0,50,3,3,3,2
File,"PathParserCompat.java",4,3,4,2,21,1,14,5,,,,,2,12,0,13,,13,1,2,13,,4,4,0,5,,320,32,200,45,129,88,,,,102,152,53,99,,,,,,11,8,12,8,,,3,,,,0,44,53,48,62,30
File,"PathParserCompatApi21.java",3,3,3,3,15,0,12,2,,,,,1,2,0,2,,2,0,0,2,,1,1,0,0,,45,7,31,9,18,7,,,,14,20,9,11,,,,,,4,4,4,4,,,2,,,,0,23,7,7,7,7
File,"PathUtils.java",1,1,1,1,6,0,6,0,,,,,1,15,0,15,,15,0,0,15,,0,0,0,15,,125,23,99,44,61,3,,,,62,78,44,34,,,,,,1,1,5,1,,,0,,,,0,03,15,15,19,15
