Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Adapter.java",1,1,1,1,7,0,7,0,,,,,2,0,1,8,,8,8,2,8,,0,0,2,6,,118,13,82,32,40,23,,,,40,53,27,26,,,,,,4,3,4,1,,,2,,,,0,28,15,12,15,8
File,"AnotherActivity.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,39,3,13,8,3,23,,,,8,10,7,3,,,,,,1,1,1,1,,,0,,,,1,77,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,3,8,5,1,26,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,3,25,1,1,1,1
File,"ElementGenerationOperator.java",2,2,2,1,11,0,10,0,,,,,3,0,0,11,,11,11,9,11,,0,0,0,11,,140,20,97,32,56,23,,,,50,76,35,41,,,,,,13,12,15,1,,,4,,,,0,24,26,25,29,11
File,"EmptyElement.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,40,5,12,7,2,23,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,1,92,2,2,2,2
File,"Event.java",1,1,1,1,4,0,2,1,,,,,2,0,0,6,,4,6,5,6,,0,0,0,6,,73,9,24,12,6,42,,,,10,16,10,6,,,,,,1,1,1,1,,,0,,,,1,75,6,6,6,6
File,"EventElement.java",1,1,1,1,8,0,4,3,,,,,1,0,5,5,,5,5,2,5,,0,0,0,5,,98,13,36,17,18,53,,,,20,29,17,12,,,,,,4,4,4,4,,,1,,,,1,47,8,8,8,8
File,"FooterElement.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,53,8,22,10,8,23,,,,9,15,8,7,,,,,,3,3,3,3,,,1,,,,1,05,5,5,5,5
File,"GroupComparator.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,50,5,7,6,0,38,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,5,43,0,0,0,0
File,"HeaderElement.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,52,7,22,10,8,23,,,,9,15,8,7,,,,,,3,3,3,3,,,1,,,,1,05,5,5,5,5
File,"IdAggregator.java",1,1,1,1,6,0,6,0,,,,,3,0,0,3,,3,3,0,3,,0,0,0,3,,47,4,20,7,9,23,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,1,15,3,3,3,3
File,"InsertionOrderComparator.java",1,1,1,1,6,0,3,3,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,65,5,16,9,3,44,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,2,75,3,3,3,3
File,"MainActivity.java",1,1,1,1,9,1,8,0,,,,,5,0,0,7,,7,7,5,7,,0,0,1,6,,129,20,85,45,43,24,,,,49,58,42,16,,,,,,2,2,2,1,,,1,,,,0,28,8,8,8,7
File,"MainEspressoTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,1,7,,0,3,0,4,,99,14,56,30,19,29,,,,33,42,24,18,,,,,,2,2,2,1,,,1,,,,0,52,8,8,8,7
File,"ObjectModel.java",1,1,1,1,7,0,7,0,,,,,3,1,1,6,,6,5,2,6,,0,1,0,5,,85,11,46,18,22,28,,,,23,32,20,12,,,,,,3,2,3,1,,,1,,,,0,61,9,8,9,6
File,"RecyclerViewAssertions.java",2,2,2,1,8,0,8,0,,,,,2,1,1,3,,3,2,1,3,,0,1,0,2,,75,11,41,19,18,23,,,,25,33,18,15,,,,,,4,4,4,1,,,1,,,,0,56,6,6,6,3
File,"RxRecyclerViewAdapter.java",1,1,2,1,8,0,6,1,,,,,2,0,1,12,,13,13,2,13,,0,1,4,8,,189,22,106,43,51,61,,,,51,73,37,36,,,,,,11,9,12,1,,,4,,,,0,58,23,21,24,12
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.exallium",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.exallium.rxrecyclerview",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.exallium.rxrecyclerview.app",1,1,1,1,7,0,6,0,,,,,11,1,2,,5,,25,9,26,,0,4,4,18,,460,61,277,134,123,122,,,,155,196,118,78,,,,,,4,4,4,1,,,2,,,,0,44,38,35,38,26
Public Class,"com.exallium.rxrecyclerview.app.Adapter",2,1,2,1,9,0,9,0,1,4,4,0,,0,1,,,,5,0,5,15,0,0,2,3,,81,10,71,21,40,0,,,,29,42,16,26,,,,,,4,3,4,1,,3,2,,0,0,0,00,11,8,11,5
Public Constructor,"com.exallium.rxrecyclerview.app.Adapter.Adapter",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.exallium.rxrecyclerview.app.Adapter.ViewHolder",1,1,1,1,4,0,4,0,2,4,4,0,,0,0,,,,3,2,3,3,0,0,0,3,,21,4,17,7,6,0,,,,8,12,6,6,,,,,,2,2,2,1,,2,0,,33,33,0,00,4,4,4,3
Public Constructor,"com.exallium.rxrecyclerview.app.Adapter.ViewHolder.ViewHolder",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.exallium.rxrecyclerview.app.Adapter.ViewHolder.onBind",,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,6,1,4,0,5,1,0,4,5,1,4,2,2,2,1,0,,,,,0,,0,0,,,0,00,2,2,2,1
Public Method,"com.exallium.rxrecyclerview.app.Adapter.ViewHolder.onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.exallium.rxrecyclerview.app.Adapter.onBindViewHolder",,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,0,18,2,14,0,5,4,1,10,12,2,10,4,2,4,1,6,,,,,0,,1,0,,,0,00,4,2,4,1
Public Method,"com.exallium.rxrecyclerview.app.Adapter.onCreateViewHolder",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.exallium.rxrecyclerview.app.Adapter.postProcessElement",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,5,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.exallium.rxrecyclerview.app.Adapter.preProcessElement",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,0,19,3,15,0,8,4,1,7,10,3,7,4,3,4,1,3,,,,,0,,2,0,,,0,00,4,3,4,1
Public Class,"com.exallium.rxrecyclerview.app.AnotherActivity",1,1,1,1,5,0,5,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,1,0,,8,0,8,3,3,0,,,,3,5,2,3,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Protected Method,"com.exallium.rxrecyclerview.app.AnotherActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,3,0,6,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"com.exallium.rxrecyclerview.app.MainActivity",1,1,1,1,44,7,36,1,1,6,6,0,,0,0,,,,1,5,1,1,0,0,1,0,,80,16,63,23,43,1,,,,27,36,20,16,,,,,,1,1,1,1,,2,0,,0,0,0,02,1,1,1,1
Anonymous Class,"com.exallium.rxrecyclerview.app.MainActivity.(Anon_1)",1,1,1,1,3,0,3,0,2,2,2,0,,0,0,,,,3,0,3,3,0,0,0,3,,17,2,15,1,12,0,,,,4,8,3,5,,,,,,2,2,2,1,,1,1,,0,0,0,00,4,4,4,3
Public Method,"com.exallium.rxrecyclerview.app.MainActivity.(Anon_1).compare",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.exallium.rxrecyclerview.app.MainActivity.(Anon_1).getEmptyEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,0,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.exallium.rxrecyclerview.app.MainActivity.(Anon_1).getGroupKey",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,0,4,0,4,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Method,"com.exallium.rxrecyclerview.app.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,6,44,7,36,11,31,1,21,1,0,18,22,11,11,1,1,1,1,0,,,,,0,,0,0,,,0,03,1,1,1,1
Anonymous Class,"com.exallium.rxrecyclerview.app.MainActivity.onCreate.(Anon_2)",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.exallium.rxrecyclerview.app.MainActivity.onCreate.(Anon_2).call",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,0,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Anonymous Class,"com.exallium.rxrecyclerview.app.MainActivity.onCreate.(Anon_3)",1,1,1,1,4,0,3,1,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,5,1,4,1,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,20,1,1,1,1
Public Method,"com.exallium.rxrecyclerview.app.MainActivity.onCreate.(Anon_3).call",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,3,0,2,1,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,33,1,1,1,1
