Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AmazonClientUploadIT.java",1,1,1,1,20,3,13,3,,,,,2,0,0,52,,52,42,0,42,,0,2,0,40,,1215,218,820,444,574,185,,,,525,570,350,220,,,,,,2,2,2,1,,,1,,,,0,23,53,53,53,52
File,"AwsChunkDecodingInputStream.java",2,2,2,2,14,1,9,2,,,,,1,0,3,5,,5,5,3,5,,0,2,0,3,,138,23,64,24,36,51,,,,35,49,23,26,,,,,,4,4,4,4,,,3,,,,0,80,13,13,13,13
File,"BatchDeleteRequest.java",1,1,1,1,3,0,3,0,,,,,2,0,0,8,,8,8,4,8,,0,0,0,8,,77,16,43,25,8,18,,,,17,27,19,8,,,,,,1,1,1,1,,,0,,,,0,42,8,8,8,8
File,"BatchDeleteResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,42,6,18,13,3,18,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,1,00,2,2,2,2
File,"BetterHeaders.java",1,1,1,1,3,0,2,1,,,,,1,0,9,1,,1,1,0,1,,0,1,0,0,,43,9,15,13,9,19,,,,10,12,12,0,,,,,,1,1,1,1,,,0,,,,1,27,1,1,1,1
File,"Bucket.java",1,1,1,1,4,0,3,1,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,73,13,35,18,9,25,,,,16,24,15,9,,,,,,1,1,1,1,,,0,,,,0,71,7,7,7,7
File,"BucketContents.java",1,1,1,1,5,0,4,1,,,,,1,0,0,8,,8,8,6,8,,0,0,0,8,,108,17,59,38,12,32,,,,23,32,20,12,,,,,,1,1,1,1,,,0,,,,0,54,8,8,8,8
File,"Buckets.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,41,6,17,12,2,18,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,1,06,2,2,2,2
File,"CommonPrefixes.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,34,5,14,11,1,15,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,1,07,1,1,1,1
File,"CompleteMultipartUploadResult.java",1,1,1,1,15,0,7,8,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,55,8,21,15,4,26,,,,11,13,9,4,,,,,,1,1,1,1,,,0,,,,1,24,1,1,1,1
