Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MainActivity.java",2,2,2,1,10,0,10,0,,,,,3,0,3,7,,7,7,5,7,,0,0,3,4,,108,14,94,38,51,0,,,,53,67,36,31,,,,,,3,3,4,1,,,2,,,,0,00,14,14,16,7
File,"RecordApplication.java",1,1,1,1,4,0,3,0,,,,,1,1,1,3,,3,2,0,3,,0,0,1,2,,28,7,20,11,5,1,,,,10,14,9,5,,,,,,1,1,1,1,,,0,,,,0,05,3,3,3,3
File,"RecordService.java",1,1,1,1,7,0,6,0,,,,,2,0,0,13,,13,13,7,13,,0,2,0,11,,140,24,116,44,57,0,,,,66,87,39,48,,,,,,4,4,4,4,,,3,,,,0,00,19,19,20,16
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.glgjing",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.glgjing.recorder",1,1,1,1,7,0,7,0,,,,,6,1,4,,3,,22,12,23,,0,2,4,17,,276,45,230,93,113,1,,,,129,168,84,84,,,,,,4,4,4,4,,,3,,,,0,00,36,36,39,26
Public Class,"com.glgjing.recorder.MainActivity",2,2,2,1,13,1,12,0,1,1,1,0,,0,3,,,,4,5,4,4,0,0,3,1,,89,11,78,22,51,0,,,,37,51,20,31,,,,,,3,3,4,1,,2,2,,60,60,0,00,9,9,11,4
Anonymous Class,"com.glgjing.recorder.MainActivity.(Anon_2)",1,1,1,1,5,0,5,0,1,3,3,0,,0,0,,,,2,0,2,2,0,0,0,2,,14,1,13,3,12,0,,,,7,9,4,5,,,,,,2,2,2,1,,2,0,,0,0,0,00,3,3,3,2
Public Method,"com.glgjing.recorder.MainActivity.(Anon_2).onServiceConnected",,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,9,2,8,0,9,1,0,7,8,3,5,2,2,2,1,0,,,,,0,,0,0,,,0,00,2,2,2,1
Public Method,"com.glgjing.recorder.MainActivity.(Anon_2).onServiceDisconnected",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.glgjing.recorder.MainActivity.onActivityResult",,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,0,8,1,5,0,5,2,0,4,6,1,5,2,2,3,1,0,,,,,0,,1,0,,,0,00,2,2,3,1
Protected Method,"com.glgjing.recorder.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,9,35,4,31,3,25,0,11,4,1,14,19,4,15,3,3,3,1,0,,,,,0,,1,0,,,0,00,3,3,3,1
Anonymous Class,"com.glgjing.recorder.MainActivity.onCreate.(Anon_1)",2,2,2,1,9,0,9,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,11,0,11,1,9,0,,,,4,6,2,4,,,,,,2,2,2,1,,2,1,,0,0,0,00,2,2,2,1
Public Method,"com.glgjing.recorder.MainActivity.onCreate.(Anon_1).onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,1,7,0,5,2,0,4,6,2,4,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Method,"com.glgjing.recorder.MainActivity.onDestroy",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.MainActivity.onRequestPermissionsResult",,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,0,8,1,4,0,2,3,0,2,5,1,4,3,3,4,1,0,,,,,0,,2,0,,,0,00,3,3,4,1
Public Class,"com.glgjing.recorder.RecordApplication",1,1,1,1,4,0,3,0,1,1,1,0,,1,1,,,,2,0,3,3,0,0,1,2,,21,4,16,7,5,1,,,,6,10,5,5,,,,,,1,1,1,1,,2,0,,33,33,0,06,3,3,3,3
Protected Method,"com.glgjing.recorder.RecordApplication.attachBaseContext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"com.glgjing.recorder.RecordApplication.getInstance",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordApplication.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,4,1,2,1,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Class,"com.glgjing.recorder.RecordService",1,1,1,1,7,0,7,0,1,1,1,0,,0,0,,,,12,7,12,12,0,2,0,10,,121,20,101,30,57,0,,,,52,73,25,48,,,,,,4,4,4,4,,2,3,,72,67,0,00,18,18,19,15
Public Class,"com.glgjing.recorder.RecordService.RecordBinder",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.RecordBinder.getRecordService",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"com.glgjing.recorder.RecordService.createVirtualDisplay",,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,4,1,2,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.getsaveDirectory",,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,3,15,3,10,0,10,4,1,6,10,3,7,4,4,4,4,4,,,,,4,,3,4,,,0,00,4,4,4,4
Private Method,"com.glgjing.recorder.RecordService.initRecorder",,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,16,1,13,0,13,2,0,11,13,1,12,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.glgjing.recorder.RecordService.isRunning",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.onBind",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,8,3,6,0,4,1,0,5,6,2,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.onDestroy",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.onStartCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.setConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.setMediaProject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.glgjing.recorder.RecordService.startRecord",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,1,10,1,7,0,5,2,0,6,8,1,7,2,2,3,1,1,,,,,0,,1,0,,,0,00,2,2,3,1
Public Method,"com.glgjing.recorder.RecordService.stopRecord",,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,1,11,1,8,0,5,2,0,7,9,1,8,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
