Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AlertDto.java",1,1,1,1,4,0,4,0,,,,,1,0,0,13,,13,13,5,13,,0,0,0,13,,99,21,70,24,28,8,,,,31,50,23,27,,,,,,6,6,6,1,,,1,,,,0,11,18,18,18,13
File,"AmqpConfiguration.java",1,1,1,1,5,0,5,0,,,,,1,0,0,6,,6,6,4,6,,0,0,0,6,,78,10,58,35,18,10,,,,37,44,28,16,,,,,,1,1,1,1,,,0,,,,0,17,6,6,6,6
File,"AmqpConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,11,,11,11,3,11,,0,0,0,11,,83,14,58,31,16,11,,,,27,39,24,15,,,,,,1,1,1,1,,,0,,,,0,19,11,11,11,11
File,"Annotation.java",1,1,2,1,4,0,4,0,,,,,1,0,0,11,,11,11,3,11,,0,0,0,11,,85,18,56,22,24,11,,,,25,41,19,22,,,,,,8,8,9,5,,,1,,,,0,20,21,21,22,15
File,"AnnotationType.java",1,1,1,1,2,0,2,0,,,,,1,0,0,5,,3,5,6,5,,0,1,0,4,,36,8,20,12,4,8,,,,9,12,8,4,,,,,,1,1,1,1,,,0,,,,0,40,5,5,5,5
File,"ApiLog.java",1,1,1,1,7,0,6,1,,,,,1,2,0,6,,6,4,1,6,,0,1,0,5,,71,10,44,15,25,17,,,,29,36,14,22,,,,,,1,1,1,1,,,0,,,,0,39,6,6,6,6
File,"AppChildrenChangeListener.java",2,1,2,1,17,1,11,4,,,,,1,0,1,7,,7,7,3,7,,0,4,0,3,,169,22,105,40,63,42,,,,72,85,39,46,,,,,,7,5,7,1,,,2,,,,0,40,14,12,15,7
File,"AppController.java",2,2,2,1,12,0,11,0,,,,,1,0,1,7,,7,7,1,7,,0,1,0,6,,132,12,107,44,56,13,,,,59,73,30,43,,,,,,2,2,3,1,,,1,,,,0,12,14,14,15,7
File,"AppHostKeyBuilder.java",1,1,1,1,5,0,3,1,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,49,8,25,15,7,16,,,,13,18,13,5,,,,,,1,1,1,1,,,0,,,,0,64,4,4,4,4
File,"AppInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,55,13,34,21,6,8,,,,15,22,16,6,,,,,,1,1,1,1,,,0,,,,0,24,6,6,6,6
File,"AppInfoPK.java",1,1,1,1,4,0,3,0,,,,,1,0,0,10,,10,10,3,10,,0,0,0,10,,78,16,54,26,19,8,,,,26,41,20,21,,,,,,7,7,8,5,,,1,,,,0,15,18,18,19,14
File,"AppInfoRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,40,7,21,20,0,12,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,57,0,0,0,0
File,"AppInfoService.java",1,1,1,1,11,0,6,5,,,,,1,0,0,5,,5,5,2,5,,0,1,0,4,,90,8,46,25,18,36,,,,26,34,22,12,,,,,,2,2,2,1,,,1,,,,0,78,7,7,7,5
File,"AppMonitorService.java",3,3,3,1,22,0,15,7,,,,,1,0,1,5,,5,5,1,5,,0,1,0,4,,144,10,91,31,55,43,,,,49,69,32,37,,,,,,4,4,5,3,,,2,,,,0,47,17,17,19,9
File,"AppStatusDto.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,4,9,,0,0,0,9,,59,14,37,15,12,8,,,,17,27,15,12,,,,,,1,1,1,1,,,0,,,,0,22,9,9,9,9
File,"AppStatusMonitorService.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,38,4,26,22,3,8,,,,17,19,17,2,,,,,,1,1,1,1,,,0,,,,0,31,1,1,1,1
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,36,4,24,20,3,8,,,,15,17,15,2,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,32,4,20,16,3,8,,,,12,14,12,2,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"Application.java",3,3,3,1,14,1,13,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,47,6,32,22,10,9,,,,22,25,19,6,,,,,,3,3,3,1,,,2,,,,0,28,3,3,3,1
File,"Application.java",3,3,3,1,14,1,13,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,44,6,30,20,10,8,,,,21,24,18,6,,,,,,3,3,3,1,,,2,,,,0,27,3,3,3,1
File,"BackupTask.java",3,3,3,1,18,0,15,3,,,,,1,0,2,4,,4,4,4,4,,0,1,0,3,,128,12,96,48,45,20,,,,55,70,42,28,,,,,,10,10,10,1,,,7,,,,0,21,14,14,14,4
File,"BaseMessage.java",1,1,1,1,4,0,4,0,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,64,13,43,15,18,8,,,,19,29,12,17,,,,,,2,2,2,1,,,1,,,,0,19,9,9,9,8
File,"BinaryAnnotation.java",2,2,2,1,4,0,4,0,,,,,1,0,0,13,,13,13,4,13,,0,0,0,13,,99,20,67,25,30,12,,,,31,50,22,28,,,,,,10,10,11,6,,,1,,,,0,18,26,26,27,18
File,"CacheService.java",1,1,1,1,9,0,5,3,,,,,2,0,5,7,,7,7,3,7,,0,2,0,5,,128,20,75,45,29,33,,,,52,60,41,19,,,,,,2,2,2,1,,,1,,,,0,44,8,8,8,7
File,"CacheService.java",1,1,1,1,9,0,5,3,,,,,2,0,7,7,,7,7,3,7,,0,2,0,5,,133,20,80,47,34,33,,,,57,65,43,22,,,,,,2,2,2,1,,,1,,,,0,41,8,8,8,7
File,"CacheService.java",3,3,4,1,20,2,14,4,,,,,1,0,2,2,,2,2,4,2,,0,1,0,1,,82,12,54,31,21,16,,,,32,44,29,15,,,,,,5,5,5,1,,,2,,,,0,30,7,7,8,2
File,"Collector.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,19,3,5,4,0,11,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,2,20,0,0,0,0
File,"Condition.java",1,1,1,1,5,0,5,0,,,,,1,0,1,12,,12,12,5,12,,0,1,0,11,,111,19,73,24,31,19,,,,30,50,23,27,,,,,,6,6,6,3,,,3,,,,0,26,19,19,21,14
File,"ConditionOrder.java",1,1,1,1,3,0,3,0,,,,,1,0,1,5,,5,5,2,5,,0,0,0,5,,44,10,24,13,6,10,,,,11,17,12,5,,,,,,1,1,1,1,,,0,,,,0,42,5,5,5,5
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,180,0,,0,0,0,0,,0,0,0,0,,246,30,183,182,180,34,,,,181,182,182,0,,,,,,0,0,0,0,,,0,,,,0,19,0,0,0,0
File,"CuratorTest.java",4,3,4,1,50,5,44,0,,,,,3,1,0,3,,3,2,0,3,,0,0,0,3,,110,17,84,23,59,9,,,,43,58,26,32,,,,,,6,5,6,1,,,2,,,,0,11,14,11,14,3
File,"DateUtil.java",2,2,2,1,15,0,8,5,,,,,1,5,4,5,,5,0,0,5,,0,0,0,5,,104,13,54,22,31,37,,,,29,40,22,18,,,,,,4,4,5,3,,,1,,,,0,69,10,10,11,7
File,"DingDingDto.java",1,1,1,1,3,0,3,0,,,,,3,0,0,14,,14,14,5,14,,0,0,0,14,,85,20,57,23,18,8,,,,23,40,23,17,,,,,,1,1,1,1,,,0,,,,0,14,14,14,14,14
File,"DingDingService.java",2,2,2,1,11,0,10,1,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,42,6,27,19,8,9,,,,17,20,16,4,,,,,,2,2,2,1,,,1,,,,0,33,2,2,2,1
File,"DingdingProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,35,8,19,10,4,8,,,,8,13,9,4,,,,,,1,1,1,1,,,0,,,,0,42,4,4,4,4
File,"DockerHostUtil.java",5,5,5,2,24,0,19,4,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,97,8,68,17,42,21,,,,30,45,17,28,,,,,,6,6,6,4,,,3,,,,0,31,15,15,15,8
File,"DubboAutoConfiguration.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,68,10,50,28,16,8,,,,25,33,19,14,,,,,,2,2,3,1,,,1,,,,0,16,7,7,8,5
File,"DubboAutoConfiguration.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,68,10,50,28,16,8,,,,25,33,19,14,,,,,,2,2,3,1,,,1,,,,0,16,7,7,8,5
File,"DubboConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,45,7,30,21,4,8,,,,14,19,15,4,,,,,,1,1,1,1,,,0,,,,0,27,4,4,4,4
File,"DubboConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,43,7,28,21,3,8,,,,14,18,15,3,,,,,,1,1,1,1,,,0,,,,0,29,3,3,3,3
File,"DubboConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,37,6,23,18,2,8,,,,12,15,13,2,,,,,,1,1,1,1,,,0,,,,0,35,2,2,2,2
File,"DubboConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,30,5,17,14,1,8,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,47,1,1,1,1
File,"DubboConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,30,5,17,14,1,8,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,47,1,1,1,1
File,"DubboProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,18,,18,18,9,18,,0,0,0,18,,97,21,68,31,18,8,,,,29,48,30,18,,,,,,1,1,1,1,,,0,,,,0,12,18,18,18,18
File,"DubboProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,18,,18,18,9,18,,0,0,0,18,,97,21,68,31,18,8,,,,29,48,30,18,,,,,,1,1,1,1,,,0,,,,0,12,18,18,18,18
