Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"Instrument.java",2,2,2,1,10,0,10,0,,,,,1,1,1,6,,6,5,0,6,,0,0,0,6,,77,8,66,11,37,3,,,,25,43,11,32,,,,,,3,3,3,3,,,1,,,,0,05,17,17,17,8
File,"ListViewActivity.java",1,1,1,1,8,0,7,0,,,,,4,0,1,9,,9,9,1,9,,0,0,1,8,,87,13,69,25,33,5,,,,29,42,24,18,,,,,,3,2,3,1,,,1,,,,0,07,12,11,12,9
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,4,0,0,4,,4,4,0,4,,0,0,1,3,,38,3,35,13,20,0,,,,18,23,15,8,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"RecyclerViewActivity.java",1,1,1,1,4,0,3,0,,,,,3,0,0,6,,6,6,0,6,,0,0,1,5,,59,13,41,23,11,5,,,,18,27,18,9,,,,,,1,1,1,1,,,0,,,,0,12,6,6,6,6
File,"SlidingLayout.java",2,2,3,1,11,0,9,1,,,,,2,0,11,29,,32,32,15,32,,0,3,3,26,,443,73,317,96,191,57,,,,157,222,88,134,,,,,,19,14,23,8,,,4,,,,0,18,72,63,87,42
File,"WebViewActivity.java",1,1,1,1,6,0,6,1,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,22,4,15,10,4,4,,,,10,12,9,3,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
Package,"lib",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"lib.homhomlib",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
