Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AddNewMessageTask.java",3,3,3,1,16,0,15,0,,,,,2,0,0,4,,4,4,7,4,,0,0,2,2,,97,9,88,43,40,1,,,,55,69,38,31,,,,,,6,6,7,3,,,2,,,,0,01,12,12,13,6
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,4,1,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,3,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"CustomSettings.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,10,0,,0,0,0,0,,20,3,14,13,0,3,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,0,21,0,0,0,0
File,"DateUtils.java",2,2,3,2,17,1,14,0,,,,,1,4,0,4,,4,0,0,4,,0,2,0,2,,86,13,67,40,48,6,,,,46,58,40,18,,,,,,8,8,9,8,,,1,,,,0,09,11,11,13,11
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FixedAspectRatioImageView.java",1,1,1,1,10,0,9,0,,,,,1,0,1,7,,7,7,1,7,,0,1,1,5,,104,16,80,31,44,8,,,,42,54,28,26,,,,,,4,4,6,1,,,2,,,,0,10,11,11,13,7
File,"FixedAspectRatioRoundedImageView.java",1,1,2,1,11,0,9,0,,,,,1,0,1,6,,6,6,1,6,,0,1,1,4,,96,15,73,27,42,8,,,,38,49,25,24,,,,,,4,4,6,1,,,2,,,,0,11,10,10,12,6
File,"FontEditText.java",1,1,1,1,10,1,8,1,,,,,1,0,1,4,,4,4,0,4,,0,1,0,3,,64,12,44,19,23,8,,,,23,31,18,13,,,,,,4,4,4,1,,,2,,,,0,18,7,7,7,4
File,"FontTextView.java",1,1,1,1,9,1,7,1,,,,,1,0,1,5,,5,5,0,5,,0,1,0,4,,72,13,51,23,25,8,,,,27,36,21,15,,,,,,4,4,4,1,,,2,,,,0,16,8,8,8,5
File,"GeneralOptionsMessage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,12,12,5,12,,0,0,0,12,,64,15,49,24,12,0,,,,22,35,23,12,,,,,,1,1,1,1,,,0,,,,0,00,12,12,12,12
File,"GeneralTextMessage.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,23,6,17,10,3,0,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"GlideRoundedImageView.java",1,1,1,1,7,0,6,1,,,,,1,0,0,7,,7,7,3,7,,0,2,1,4,,81,15,55,18,26,11,,,,25,36,17,19,,,,,,3,3,5,1,,,2,,,,0,20,10,10,13,7
File,"LoadMoreMessagesListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,12,3,6,5,0,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,50,0,0,0,0
File,"MainActivity.java",1,1,1,1,22,1,21,0,,,,,5,1,3,7,,7,6,2,7,,0,1,1,5,,163,22,141,51,97,10,,,,84,98,41,57,,,,,,3,3,3,1,,,1,,,,0,07,13,13,13,7
File,"MediaMessage.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,30,6,21,11,6,3,,,,10,15,10,5,,,,,,2,2,2,1,,,1,,,,0,14,4,4,4,3
File,"MediaUtils.java",3,3,3,1,16,0,9,8,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,22,2,13,4,6,8,,,,5,9,4,5,,,,,,3,3,3,1,,,1,,,,0,62,3,3,3,1
File,"Message.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,13,13,6,13,,0,0,0,13,,67,16,48,23,12,3,,,,22,35,23,12,,,,,,1,1,1,1,,,0,,,,0,06,12,12,12,12
File,"MessageExternalUserMediaItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,9,6,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MessageExternalUserMediaViewHolder.java",1,1,1,1,9,1,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,5,19,11,6,3,,,,15,17,11,6,,,,,,1,1,1,1,,,0,,,,0,16,1,1,1,1
File,"MessageExternalUserTextItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,9,6,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MessageExternalUserTextViewHolder.java",1,1,1,1,19,2,16,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,40,6,30,15,14,4,,,,26,28,15,13,,,,,,1,1,1,1,,,0,,,,0,13,1,1,1,1
File,"MessageGeneralOptionsItem.java",1,1,1,1,9,0,9,0,,,,,2,0,0,5,,5,5,1,5,,0,0,0,5,,65,7,58,28,28,0,,,,38,46,27,19,,,,,,3,3,3,1,,,1,,,,0,00,7,7,7,5
File,"MessageGeneralOptionsViewHolder.java",1,1,1,1,6,1,5,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,21,5,16,11,3,0,,,,12,14,11,3,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"MessageGeneralTextItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,31,5,26,17,6,0,,,,12,17,13,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"MessageGeneralTextViewHolder.java",1,1,1,1,6,1,5,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,19,5,14,9,3,0,,,,10,12,9,3,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"MessageInternalUserMediaItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,9,6,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MessageInternalUserTextItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,9,6,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MessageInternalUserTextViewHolder.java",1,1,1,1,19,2,16,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,40,6,30,15,14,4,,,,26,28,15,13,,,,,,1,1,1,1,,,0,,,,0,13,1,1,1,1
File,"MessageInternalUserViewHolder.java",1,1,1,1,9,1,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,5,19,11,6,3,,,,15,17,11,6,,,,,,1,1,1,1,,,0,,,,0,16,1,1,1,1
File,"MessageItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,12,12,6,12,,0,0,0,12,,63,16,44,25,9,3,,,,23,33,24,9,,,,,,1,1,1,1,,,0,,,,0,07,9,9,9,9
File,"MessageItemType.java",1,1,1,1,0,0,0,0,,,,,1,0,1,2,,0,2,7,2,,0,0,0,2,,16,2,11,10,1,3,,,,3,3,3,0,,,,,,1,1,1,1,,,0,,,,0,27,2,2,2,2
