Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Abort.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,1,6,,0,0,1,5,,48,10,30,16,7,8,,,,14,21,14,7,,,,,,1,1,1,1,,,0,,,,0,27,6,6,6,6
File,"Acknowledgement.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,1,8,,0,0,1,7,,63,12,37,19,9,14,,,,16,25,16,9,,,,,,1,1,1,1,,,0,,,,0,38,8,8,8,8
File,"AmfArray.java",2,2,2,1,7,0,7,0,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,89,11,65,25,30,15,,,,33,51,25,26,,,,,,4,4,4,1,,,3,,,,0,23,15,15,15,7
File,"AmfBoolean.java",1,1,1,1,3,0,3,0,,,,,1,0,1,8,,8,8,1,8,,0,0,0,8,,60,12,38,20,12,10,,,,17,26,16,10,,,,,,2,2,2,1,,,0,,,,0,26,11,11,11,8
File,"AmfData.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,37,6,10,9,0,21,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,2,10,0,0,0,0
File,"AmfDecoder.java",9,2,9,9,36,3,33,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,53,6,38,8,29,9,,,,23,26,8,18,,,,,,9,2,9,9,,,1,,,,0,24,9,2,9,9
File,"AmfMap.java",1,1,1,1,11,0,8,2,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,72,9,46,19,23,20,,,,26,36,17,19,,,,,,2,2,2,1,,,1,,,,0,43,7,7,7,4
File,"AmfNull.java",1,1,1,1,3,0,3,0,,,,,1,1,1,5,,5,4,0,5,,0,0,0,5,,45,8,27,16,7,10,,,,11,17,12,5,,,,,,1,1,1,1,,,0,,,,0,37,5,5,5,5
File,"AmfNumber.java",1,1,1,1,3,0,3,0,,,,,1,2,1,10,,10,8,1,10,,0,0,0,10,,73,13,48,23,16,12,,,,22,33,19,14,,,,,,1,1,1,1,,,0,,,,0,25,10,10,10,10
File,"AmfObject.java",1,1,1,1,8,0,6,1,,,,,1,0,1,10,,10,10,2,10,,0,0,0,10,,126,18,86,33,46,24,,,,47,67,32,35,,,,,,4,4,6,3,,,2,,,,0,28,17,17,19,12
