Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CircleBackgroundSpan.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,3,4,,0,1,0,3,,36,7,29,14,13,0,,,,17,22,12,10,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"MainActivity.java",1,1,1,1,53,7,45,1,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,126,19,105,21,87,3,,,,47,50,19,31,,,,,,1,1,1,1,,,0,,,,0,03,2,2,2,2
File,"OnTextClick.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,8,2,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"RoundedBackgroundSpan.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,3,4,,0,1,0,3,,38,7,31,16,14,0,,,,19,24,14,10,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"Slice.java",1,1,1,1,6,0,3,2,,,,,2,0,3,36,,36,36,33,36,,0,0,0,36,,333,52,184,78,78,97,,,,108,146,78,68,,,,,,1,1,1,1,,,0,,,,0,53,36,36,36,36
File,"SpannableTextView.java",1,1,2,1,14,1,8,3,,,,,2,0,0,16,,16,16,2,16,,0,2,0,14,,277,52,155,47,83,70,,,,78,113,52,61,,,,,,10,10,10,1,,,2,,,,0,45,31,31,32,16
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.mpt",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.mpt.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.mpt.android.spannabletextview",1,1,1,1,53,7,45,1,,,,,1,0,0,,1,,2,0,2,,0,0,1,1,,126,19,105,21,87,3,,,,47,50,19,31,,,,,,1,1,1,1,,,0,,,,0,03,2,2,2,2
Public Class,"com.mpt.android.spannabletextview.MainActivity",1,1,1,1,53,7,45,1,2,3,3,0,,0,0,,,,2,0,2,2,0,0,1,1,,113,16,95,11,87,3,,,,37,40,9,31,,,,,,1,1,1,1,,2,0,,0,0,0,03,2,2,2,2
Protected Method,"com.mpt.android.spannabletextview.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,4,104,14,88,7,86,3,18,1,0,36,37,7,30,1,1,1,1,0,,,,,0,,0,0,,,0,03,1,1,1,1
Public Method,"com.mpt.android.spannabletextview.MainActivity.onTextClick",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"com.mpt.android.stv",1,1,1,1,8,0,5,3,,,,,4,0,3,,2,,52,35,52,,0,2,0,50,,610,104,339,125,161,167,,,,186,259,130,129,,,,,,10,10,10,1,,,2,,,,0,49,67,67,68,52
Public Class,"com.mpt.android.stv.Slice",1,1,1,1,4,0,3,0,1,2,2,0,,0,2,,,,20,17,20,20,0,0,0,20,,323,47,179,74,78,97,,,,104,142,74,68,,,,,,1,1,1,1,,1,0,,90,90,0,54,20,20,20,20
Public Static Class,"com.mpt.android.stv.Slice.Builder",1,1,1,1,8,0,4,4,1,2,2,0,,0,1,,,,16,16,16,16,0,0,0,16,,185,21,83,34,41,81,,,,49,66,34,32,,,,,,1,1,1,1,,1,0,,93,93,0,98,16,16,16,16
Public Constructor,"com.mpt.android.stv.Slice.Builder.Builder",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,67,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.backgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.build",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.setCircleRadius",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.setCornerRadius",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.setImageResource",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.setOnTextClick",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.setSliceId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.strike",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,4,1,2,5,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,25,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.style",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.subscript",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,4,1,2,5,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,25,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.superscript",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,4,1,2,5,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,25,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.textColor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.textSize",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.textSizeRelative",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,4,1,2,6,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.Builder.underline",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,4,1,2,5,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,1,25,1,1,1,1
Public Constructor,"com.mpt.android.stv.Slice.Slice",,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,0,19,1,17,0,18,1,0,17,18,1,17,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.getBackgroundColor",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.getCircleRadius",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.getCornerRadius",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.getImageResource",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.getOnTextClick",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.getSliceId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.mpt.android.stv.Slice.getStyle",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
