Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractChannelSecurityConfig.java",1,1,1,1,7,0,7,4,,,,,1,0,0,1,,1,1,2,1,,0,0,1,0,,31,6,20,13,5,9,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,0,45,1,1,1,1
File,"AbstractSessionStrategy.java",1,1,1,1,9,1,7,1,,,,,1,0,0,4,,4,4,5,4,,0,0,2,2,,85,16,51,27,22,18,,,,34,42,27,15,,,,,,4,4,4,1,,,2,,,,0,35,7,7,7,4
File,"AbstractValidateCodeProcessor.java",2,2,2,1,14,1,8,4,,,,,1,0,0,6,,7,7,2,7,,0,4,1,2,,135,21,70,34,32,44,,,,37,50,29,21,,,,,,6,6,6,1,,,1,,,,0,63,12,12,12,6
File,"App.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,9,1,3,2,0,5,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,1,67,0,0,0,0
File,"AsyncController.java",1,1,1,1,10,0,10,0,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,36,6,25,13,11,5,,,,15,18,11,7,,,,,,1,1,1,1,,,0,,,,0,20,2,2,2,2
File,"AuthorizeConfigManager.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,15,4,6,5,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,83,0,0,0,0
File,"AuthorizeConfigProvider.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,3,6,5,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,83,0,0,0,0
File,"BaseResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,23,5,13,6,3,5,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,0,38,3,3,3,3
File,"BrowerSecurityConfig.java",1,1,1,1,17,2,13,5,,,,,1,0,0,2,,2,2,8,2,,0,0,1,1,,101,18,73,49,22,16,,,,40,43,38,5,,,,,,1,1,1,1,,,0,,,,0,22,2,2,2,2
File,"BrowserProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,8,,8,8,4,8,,0,0,0,8,,59,14,31,14,12,14,,,,13,22,14,8,,,,,,1,1,1,1,,,0,,,,0,45,8,8,8,8
File,"BrowserSecurityBeanConfig.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,39,7,25,20,2,7,,,,13,16,14,2,,,,,,1,1,1,1,,,0,,,,0,28,2,2,2,2
File,"BrowserSecurityController.java",2,2,2,1,12,1,7,3,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,74,13,48,36,12,13,,,,32,37,30,7,,,,,,3,3,3,1,,,2,,,,0,27,4,4,4,2
File,"ControllerExceptionHandler.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,31,5,21,16,4,5,,,,13,15,12,3,,,,,,1,1,1,1,,,0,,,,0,24,1,1,1,1
File,"DefaultSmsCodeSender.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,3,8,5,1,5,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,0,62,1,1,1,1
File,"DemoApplication.java",1,1,1,1,6,0,3,3,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,31,6,17,14,1,8,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,0,47,1,1,1,1
File,"DemoAuthorizeConfigProvider.java",1,1,1,1,6,1,3,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,14,11,1,7,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"HelloService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,11,2,4,3,0,5,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,25,0,0,0,0
File,"HelloServiceImpl.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,20,4,11,7,2,5,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,45,1,1,1,1
File,"ImageCode.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,37,10,22,11,6,5,,,,12,17,11,6,,,,,,1,1,1,1,,,0,,,,0,23,4,4,4,4
